cell,run,test_bpb,a3_pct,union,eff_experts,max_residency_pct,pinned_per_layer
plain-s2@1e17,g3_tmoe_s2_1e17,1.2873,32.93,160.75,187.83,15.17,0.00
karen-s2@1e17,g3_tmoe_s2_1e17_karen,1.2881,39.88,152.51,127.87,85.28,0.20
ant_l0.02_g0.5-s0@1e16,g3_tmoe_s0_1e16_ant0p02,1.4952,55.53,49.64,49.57,46.14,0.00
ant_l0.1_g0.5-s0@1e16,g3_tmoe_s0_1e16_ant0p1,1.5068,80.53,24.33,24.33,84.60,7.33
ant_l0.02_g0.9-s0@1e16,g3_tmoe_s0_1e16_ant0p02_g0p9,1.5013,57.72,50.60,50.56,43.75,0.00
auxfree-nomom-s2@1e17,g3_tmoe_s2_1e17_auxfree,1.3005,37.96,150.92,128.23,81.5,0.20
mom-on-plain-s0@1e16,g3_tmoe_s0_1e16_mom,1.4717,28.37,162.80,181.82,16.3,0.00
mom-logratio-s0@1e16,g3_tmoe_s0_1e16_momr,1.4714,28.63,164.6,182.2,20.2,0.00
bursty-s0@1e16,g3_tmoe_s0_1e16_bursty,1.5206,79.19,42.3,33.2,100.0,5.00
momr-b1.0-s0@1e16,g3_tmoe_s0_1e16_momr_b1,1.4686,29.36,168.5,179.0,21.6,0.00
momr-b2.0-s0@1e16,g3_tmoe_s0_1e16_momr_b2,1.4720,30.89,170.8,172.7,34.1,0.00
head-s0@1e16,g3_tmoe_s0_1e16_head,1.4857,37.98,102.3,102.6,41.4,0.00
head_c-center-s0@1e16,g3_tmoe_s0_1e16_head_c,1.4857,30.22,157.2,162.5,31.4,0.00
head_b0.5-s0@1e16,g3_tmoe_s0_1e16_head_b05,1.4765,32.42,127.2,134.8,28.2,0.00
momg-gates-b0.5-s0@1e16,g3_tmoe_s0_1e16_momg_b05,1.4754,28.61,165.6,181.3,20.1,0.00
head_tc-targetcenter-g0.75-s0@1e16,g3_tmoe_s0_1e16_head_tc,1.4751,34.21,123.2,125.2,49.3,0.00
