"# qwen3_5 trained winner downstream, unsloth path, R=8 all layers, adapter (base surface), reload BPB 0.665874 (expected 0.665459). Ten 0-shot tasks, limit 500. Producer: analysis/ple/downstream_trained_unsloth.py"
task,metric,q35_alloc_fitted_B480,q35_alloc_fitted_B480_stderr
arc_easy,acc,0.8040,0.0178
arc_challenge,acc,0.5380,0.0223
hellaswag,acc,0.5840,0.0221
piqa,acc,0.8200,0.0172
sciq,acc,0.9700,0.0076
winogrande,acc,0.6920,0.0207
openbookqa,acc,0.3140,0.0208
boolq,acc,0.8280,0.0169
lambada_openai,acc,0.6900,0.0207
copa,acc,0.8900,0.0314
