"# qwen3_5 trained winner downstream, unsloth path, R=8 all layers, adapter (base surface), reload BPB 0.668888 (expected 0.669046). Ten 0-shot tasks, limit 500. Producer: analysis/residency/downstream_trained_unsloth.py"
task,metric,q35_alloc_uniform_B480,q35_alloc_uniform_B480_stderr
arc_easy,acc,0.8000,0.0179
arc_challenge,acc,0.5260,0.0224
hellaswag,acc,0.5880,0.0220
piqa,acc,0.7880,0.0183
sciq,acc,0.9660,0.0081
winogrande,acc,0.7080,0.0204
openbookqa,acc,0.3240,0.0210
boolq,acc,0.8360,0.0166
lambada_openai,acc,0.6840,0.0208
copa,acc,0.9000,0.0302
