"# qwen3 trained winner downstream, unsloth path, R=8 all layers, adapter (base surface), reload BPB 0.669690 (expected 0.669544). Ten 0-shot tasks, limit 500. Producer: analysis/ple/downstream_trained_unsloth.py"
task,metric,q3_alloc_fitted_B576,q3_alloc_fitted_B576_stderr
arc_easy,acc,0.7440,0.0195
arc_challenge,acc,0.4460,0.0223
hellaswag,acc,0.5140,0.0224
piqa,acc,0.7600,0.0191
sciq,acc,0.9360,0.0110
winogrande,acc,0.6480,0.0214
openbookqa,acc,0.2840,0.0202
boolq,acc,0.7120,0.0203
lambada_openai,acc,0.7100,0.0203
copa,acc,0.7500,0.0435
