"# qwen3 trained winner downstream, unsloth path, R=8 all layers, adapter (base surface), reload BPB 0.692265 (expected 0.692144). Ten 0-shot tasks, limit 500. Producer: analysis/residency/downstream_trained_unsloth.py"
task,metric,q3_alloc_uniform_B576,q3_alloc_uniform_B576_stderr
arc_easy,acc,0.7160,0.0202
arc_challenge,acc,0.4440,0.0222
hellaswag,acc,0.5040,0.0224
piqa,acc,0.7300,0.0199
sciq,acc,0.9560,0.0092
winogrande,acc,0.6060,0.0219
openbookqa,acc,0.2920,0.0204
boolq,acc,0.7160,0.0202
lambada_openai,acc,0.6840,0.0208
copa,acc,0.7500,0.0435
