# temporal-to-free curriculum at 1e17 (CURRICULUM_PLAN.md), pythia-50k tokenizer and the 1e18/1e19 DCLM corpus: final unconstrained test CE per run and delta vs the C0 control of the same grain (full MoE through the router path, same corpus); the recorded g*_moe_s2_1e17 cells used the 16k tokenizer and are not comparable; v<i> = validation loss at the i-th tenth of training; BPB = CE/2.9780; seed sd at 1e18 is ~0.005 CE, win bar 0.010. Producer analysis/residency/curriculum_csv.py
run,arm,grain,reference,test_CE,test_BPB,delta_CE_vs_C0,delta_BPB_vs_C0,recipe,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
cur_g1_1e17_C0,C0,g1,cur_g1_1e17_C0,3.766085,1.2646,+0.0000,+0.0000,[temporal] rolling-residency router installed (evict=min_logit; residency_R=64),4.7205,4.2333,4.0591,3.9562,4.6148,3.8886,3.8370,3.7976,3.7852
cur_g1_1e17_SHD0p01,SHD0p01,g1,cur_g1_1e17_C0,3.729668,1.2524,-0.0364,-0.0122,[temporal] rolling-residency router installed (evict=min_logit; shadow=1),4.7736,4.2396,4.0486,3.9423,3.8926,3.8342,3.7947,3.7580,3.7470
cur_g3_1e17_C0,C0,g3,cur_g3_1e17_C0,3.734205,1.2539,+0.0000,+0.0000,[temporal] rolling-residency router installed (evict=min_logit; residency_R=192),4.7953,4.2610,4.0684,3.9572,3.8928,3.8387,3.7992,3.7627,3.7517,3.7303
cur_g3_1e17_C0b,C0b,g3,cur_g3_1e17_C0,3.732143,1.2532,-0.0021,-0.0007,[temporal] rolling-residency router installed (evict=min_logit; residency_R=192),4.7741,4.2779,4.0718,3.9575,3.8847,3.8360,3.7974,3.7606,3.7494,3.7278
cur_g3_1e17_HET0p4-0p8,HET0p4-0p8,g3,cur_g3_1e17_C0,3.782397,1.2701,+0.0482,+0.0162,[temporal] rolling-residency router installed (evict=min_logit; free_frac_schedule=0:0;1544:0;3089:1),4.8693,4.3334,4.1369,4.0255,3.9609,3.9257,3.9024,3.9219,3.9688,3.9809
cur_g3_1e17_RAMP0p75,RAMP0p75,g3,cur_g3_1e17_C0,3.748982,1.2589,+0.0148,+0.0050,[temporal] rolling-residency router installed (evict=min_logit; iter_schedule=0:18;724:36;1448:72;2172:144;2896:E),4.8135,4.2833,4.0994,3.9884,3.9159,3.8621,3.8194,3.7806,3.7673,3.7454
cur_g3_1e17_SAND,SAND,g3,cur_g3_1e17_C0,3.778155,1.2687,+0.0439,+0.0148,[temporal] rolling-residency router installed (evict=min_logit; iter_schedule=0:E;1930:18;2896:E),4.7809,4.2579,4.0690,3.9568,3.8850,3.9810,3.9247,3.8278,3.8013,3.7742
cur_g3_1e17_SHD0p003,SHD0p003,g3,cur_g3_1e17_C0,3.739820,1.2558,+0.0056,+0.0019,[temporal] rolling-residency router installed (evict=min_logit; shadow=1),4.7714,4.2632,4.0706,3.9582,3.9029,3.8453,3.8050,3.7682,3.7568,3.7357
cur_g3_1e17_SHD0p01,SHD0p01,g3,cur_g3_1e17_C0,3.737312,1.2550,+0.0031,+0.0010,[temporal] rolling-residency router installed (evict=min_logit; shadow=1),4.8142,4.2840,4.0836,3.9673,3.8909,3.8421,3.8032,3.7658,3.7545,3.7334
cur_g3_1e17_SHD0p03,SHD0p03,g3,cur_g3_1e17_C0,3.738988,1.2555,+0.0048,+0.0016,[temporal] rolling-residency router installed (evict=min_logit; shadow=1),4.7722,4.2585,4.0730,3.9608,3.8890,3.8398,3.8030,3.7664,3.7554,3.7348
cur_g3_1e17_SW0p25,SW0p25,g3,cur_g3_1e17_C0,3.803595,1.2772,+0.0694,+0.0233,[temporal] rolling-residency router installed (evict=min_logit; iter_schedule=0:18;965:E),4.8285,4.3137,4.6583,4.0861,3.9850,3.9234,3.8788,3.8373,3.8231,3.7999
cur_g3_1e17_SW0p5,SW0p5,g3,cur_g3_1e17_C0,3.769294,1.2657,+0.0351,+0.0118,[temporal] rolling-residency router installed (evict=min_logit; iter_schedule=0:18;1930:E),4.8071,4.2895,4.1082,4.0055,3.9387,3.8903,3.8432,3.8014,3.7882,3.7649
