"# Downstream accuracy at each BPB-ladder residency: ten 0-shot tasks, limit 500, batched lm_eval (pad-warmed protocol, matches every published downstream table; ~2pt/task sensitivity vs unbatched cold-fill, model-dependent sign - see producer header). Producer: analysis/residency/downstream_ladder.py"
stack,cell,R,arc_easy,arc_challenge,hellaswag,piqa,sciq,winogrande,openbookqa,boolq,lambada_openai,copa,mean_acc
lfm25,free,,0.8200,0.5500,0.4920,0.7700,0.9600,0.6620,0.3160,0.7160,0.5680,0.8600,0.6714
lfm25,4,4,0.7920,0.4700,0.5000,0.7740,0.9340,0.6140,0.2820,0.6860,0.4860,0.7700,0.6308
gemma4,free,,0.8920,0.6400,0.5380,0.8220,0.9800,0.7860,0.3560,0.8360,0.7800,0.9200,0.7550
gemma4,16,16,0.8880,0.6140,0.5340,0.8120,0.9780,0.7380,0.3500,0.8200,0.7680,0.9100,0.7412
gemma4,12,12,0.8780,0.6080,0.5320,0.8180,0.9760,0.7320,0.3520,0.8040,0.7460,0.9500,0.7396
gemma4,8,8,0.8760,0.5900,0.5400,0.8100,0.9720,0.7180,0.3480,0.7960,0.7480,0.8900,0.7288
olmoe,12,12,0.6460,0.3240,0.4760,0.7340,0.9460,0.5760,0.2520,0.6300,0.5260,0.7800,0.5890
olmoe,16,16,0.6600,0.3300,0.4860,0.7560,0.9500,0.6020,0.2640,0.6020,0.5920,0.7300,0.5972
olmoe,24,24,0.6880,0.3840,0.4960,0.7560,0.9540,0.6160,0.2720,0.6320,0.6500,0.7500,0.6198
olmoe,32,32,0.7060,0.3900,0.5100,0.7680,0.9500,0.6560,0.2960,0.6360,0.6740,0.8300,0.6416
qwen3,12,12,0.7280,0.4460,0.5060,0.7860,0.9480,0.6240,0.2860,0.7140,0.6740,0.7800,0.6492
qwen3,16,16,0.7300,0.4800,0.5020,0.7880,0.9680,0.6680,0.3100,0.7560,0.7020,0.8300,0.6734
qwen3,24,24,0.7560,0.4940,0.5140,0.7960,0.9720,0.6740,0.3120,0.7640,0.7280,0.8300,0.6840
qwen3,32,32,0.7940,0.4860,0.5320,0.8060,0.9740,0.7000,0.3100,0.7660,0.7380,0.8700,0.6976
qwen3_5,12,12,0.8160,0.5440,0.5780,0.8060,0.9620,0.7020,0.3120,0.8420,0.6780,0.8500,0.7090
qwen3_5,16,16,0.8220,0.5400,0.5860,0.8120,0.9700,0.7120,0.3140,0.8300,0.6800,0.8800,0.7146
qwen3_5,24,24,0.8100,0.5520,0.5800,0.8060,0.9640,0.7220,0.3160,0.8280,0.7040,0.8700,0.7152
lfm25,8,8,0.7980,0.5140,0.5040,0.7640,0.9540,0.6380,0.2920,0.6900,0.5280,0.8500,0.6532
gemma4,32,32,0.8840,0.6260,0.5440,0.8160,0.9800,0.7820,0.3500,0.8380,0.7720,0.9300,0.7522
qwen3_5,64,64,0.8220,0.5780,0.5820,0.8160,0.9740,0.7140,0.3060,0.8440,0.7420,0.9200,0.7298
qwen3_5,32,32,0.8100,0.5640,0.5900,0.8120,0.9700,0.7140,0.3040,0.8260,0.7260,0.9300,0.7246
