run,budget,regime,grain,layer,mean_swap_rate,p95_burst_len
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,0.99991,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,3,0.99977,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,0.99860,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,5,0.99911,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,6,0.99930,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,7,0.99959,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,0.99910,2047.00
flame38m_g1_temporal,1e18,temporal,coarse 6/64,9,0.99858,2007.40
flame38m_g3_temporal,1e18,temporal,fine 18/192,2,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,3,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,4,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,5,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,6,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,7,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,8,1.00000,2047.00
flame38m_g3_temporal,1e18,temporal,fine 18/192,9,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,3,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,5,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,6,1.00000,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,7,0.99994,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8,0.99994,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,9,0.99982,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,10,0.99921,2047.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,11,0.99890,1987.00
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,12,0.99890,2043.50
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,13,0.99896,1704.75
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,14,0.99805,1555.00
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2,0.99993,2047.00
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,3,0.99983,2047.00
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4,0.99953,2047.00
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2,0.99978,2047.00
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,3,0.99973,2047.00
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4,0.99963,2047.00
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2,0.99761,1359.75
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,3,0.98847,438.10
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4,0.98671,302.80
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2,0.99644,1134.00
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,3,0.99515,826.00
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4,0.99511,694.80
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2,0.99994,2047.00
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,3,0.99998,2047.00
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4,0.99995,2047.00
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2,0.99997,2047.00
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,3,0.99995,2047.00
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4,0.99995,2047.00
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,2,0.99996,2047.00
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,3,0.99999,2047.00
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4,0.99998,2047.00
