run,budget,regime,grain,cache_size_experts,reload_hitrate
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0,0.00000
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,0.03493
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,0.07563
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,0.14675
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,0.25795
flame38m_g1_temporal,1e18,temporal,coarse 6/64,16,0.43738
flame38m_g1_temporal,1e18,temporal,coarse 6/64,32,0.70540
flame38m_g3_temporal,1e18,temporal,fine 18/192,0,0.00000
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,0.01854
flame38m_g3_temporal,1e18,temporal,fine 18/192,2,0.04439
flame38m_g3_temporal,1e18,temporal,fine 18/192,4,0.09075
flame38m_g3_temporal,1e18,temporal,fine 18/192,8,0.16056
flame38m_g3_temporal,1e18,temporal,fine 18/192,16,0.27220
flame38m_g3_temporal,1e18,temporal,fine 18/192,32,0.44126
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0,0.00000
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,0.02360
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2,0.05136
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4,0.10446
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8,0.19775
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,16,0.36088
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,32,0.62449
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1,0.03907
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2,0.09658
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4,0.20326
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,8,0.37245
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,16,0.60635
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,32,0.86636
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,1,0.04300
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2,0.10316
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4,0.21255
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,8,0.38453
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,16,0.61980
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,32,0.87041
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,1,0.15971
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2,0.32506
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4,0.56843
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,8,0.81457
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,16,0.96023
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,32,0.99688
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,0.10256
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2,0.20766
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4,0.36700
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,8,0.57612
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,16,0.80949
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,32,0.97331
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,0.02101
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2,0.04875
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4,0.10546
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,8,0.20532
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,16,0.36770
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,32,0.60404
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,0.01410
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2,0.03671
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4,0.08339
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,8,0.16699
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,16,0.30615
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,32,0.51835
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,1,0.01177
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,2,0.02996
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4,0.06821
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,8,0.13899
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,16,0.25777
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,32,0.44168
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1,0.01669
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,2,0.04022
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,4,0.08738
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,8,0.17020
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,16,0.31016
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,32,0.52633
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,1,0.01237
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,2,0.03174
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,4,0.07043
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,8,0.14213
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,16,0.26663
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,32,0.46139
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,1,0.01173
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,2,0.03047
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,4,0.06903
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,8,0.14096
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,16,0.26582
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,32,0.46265
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,1,0.01344
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,2,0.03248
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,4,0.07135
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,8,0.14313
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,16,0.26884
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,32,0.46428
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,1,0.01295
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2,0.03188
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4,0.07143
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,8,0.14346
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,16,0.26660
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,32,0.45663
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,0,0.00000
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,1,0.01315
