run,budget,regime,grain,routing,set_consistency,mass_consistency
flame38m_g1_temporal,1e18,temporal,coarse 6/64,temporal,0.31244,0.35280
flame38m_g3_temporal,1e18,temporal,fine 18/192,temporal,0.27227,0.31328
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,temporal,0.28328,0.31923
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,full MoE,0.19199,0.21077
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,temporal,0.55528,0.59945
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,temporal,0.57722,0.62218
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,temporal,0.80525,0.82896
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,temporal,0.79186,0.98390
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,temporal,0.37980,0.42856
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,temporal,0.32433,0.36862
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,temporal,0.30217,0.34529
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,temporal,0.34220,0.38179
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,temporal,0.28378,0.31654
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,temporal,0.27927,0.31188
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,temporal,0.28611,0.31070
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,temporal,0.28636,0.31698
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,temporal,0.29367,0.32408
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,temporal,0.30890,0.33903
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,temporal,0.32936,0.37715
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,temporal,0.37955,0.43623
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,temporal,0.39886,0.44366
moe_coarse_1e19,1e19,full,coarse 6/64,temporal,0.16834,0.18609
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,temporal,0.23537,0.28110
