run,budget,regime,grain,tau,swap_rate,retained_mass
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0,0.99924,0.35280
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,0.99523,0.35297
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,0.98153,0.35338
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,0.88932,0.35275
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,0.50675,0.32535
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,0.03853,0.18274
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,0.00000,0.11448
flame38m_g3_temporal,1e18,temporal,fine 18/192,0,1.00000,0.31328
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,0.99998,0.31328
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,0.99959,0.31329
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,0.98030,0.31332
flame38m_g3_temporal,1e18,temporal,fine 18/192,2,0.69143,0.30181
flame38m_g3_temporal,1e18,temporal,fine 18/192,4,0.08959,0.18856
flame38m_g3_temporal,1e18,temporal,fine 18/192,8,0.00002,0.11749
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0,0.99952,0.31923
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,0.98859,0.31898
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,0.96773,0.31881
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,0.83714,0.31436
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2,0.35173,0.26551
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4,0.01559,0.14522
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8,0.00000,0.09413
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,0,0.99977,0.59945
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,0.25,0.99830,0.59945
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,0.5,0.99050,0.59959
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1,0.91648,0.59902
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2,0.52328,0.57497
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4,0.04244,0.44096
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,8,0.00000,0.38890
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,0,0.99971,0.62218
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,0.25,0.99804,0.62221
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,0.5,0.98945,0.62227
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,1,0.89536,0.62113
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2,0.40652,0.58834
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4,0.01162,0.42561
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,8,0.00000,0.38940
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0,0.99093,0.82896
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.25,0.94716,0.82919
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,0.5,0.82933,0.82883
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,1,0.47892,0.82106
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2,0.08791,0.78647
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4,0.00014,0.75403
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,8,0.00000,0.75380
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0,0.99557,0.98390
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.25,0.98740,0.98391
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.5,0.96660,0.98392
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,1,0.86725,0.98392
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2,0.59806,0.98380
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4,0.22541,0.98130
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,8,0.01493,0.96768
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0,0.99996,0.42856
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.25,0.99977,0.42856
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.5,0.99865,0.42858
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,0.98062,0.42832
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2,0.76940,0.41564
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4,0.13792,0.29705
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,8,0.00028,0.19297
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0,0.99996,0.36862
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.25,0.99984,0.36862
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,0.5,0.99904,0.36864
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,0.98537,0.36852
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2,0.76042,0.35201
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4,0.14535,0.23443
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,8,0.00024,0.14356
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0,0.99998,0.34529
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.25,0.99989,0.34529
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,0.5,0.99930,0.34530
