run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,2,0.17125,0.18389
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,3,0.26628,0.30359
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,4,0.31665,0.37417
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,5,0.34215,0.39089
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,6,0.33115,0.37251
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,7,0.33050,0.37319
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,8,0.36166,0.39932
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,9,0.37985,0.42484
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit,all,0.31244,0.35280
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,2,0.15973,0.17607
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,3,0.24258,0.28100
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,4,0.28015,0.33809
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,5,0.30084,0.34816
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,6,0.29041,0.33347
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,7,0.27892,0.32562
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,8,0.29604,0.33879
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,9,0.30950,0.35738
flame38m_g1_temporal,1e18,temporal,coarse 6/64,LRU,all,0.26977,0.31232
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),2,0.12528,0.13713
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),3,0.15874,0.18912
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),4,0.15664,0.19352
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),5,0.16358,0.19780
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),6,0.13896,0.16002
flame38m_g1_temporal,1e18,temporal,coarse 6/64,min_logit+tau*(4.0),7,0.16387,0.20167
