run,budget,regime,grain,ema_beta,layer,swap_rate,set_coverage,mass_coverage
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,2,0.99991,0.17125,0.18389
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,3,0.99977,0.26628,0.30359
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,4,0.99860,0.31665,0.37417
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,5,0.99911,0.34215,0.39089
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,6,0.99930,0.33115,0.37251
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,7,0.99959,0.33050,0.37319
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,8,0.99910,0.36166,0.39932
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,9,0.99858,0.37985,0.42484
flame38m_g1_temporal,1e18,temporal,coarse 6/64,1,all,0.99924,0.31244,0.35280
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,2,0.99852,0.36360,0.38629
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,3,0.99463,0.44826,0.50852
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,4,0.98666,0.49186,0.55843
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,5,0.98759,0.52587,0.58834
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,6,0.99018,0.52083,0.57483
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,7,0.99017,0.52852,0.58434
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,8,0.98342,0.56676,0.61845
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,9,0.97715,0.59258,0.64431
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.5,all,0.98854,0.50479,0.55794
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,2,0.98223,0.56473,0.58529
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,3,0.96296,0.63700,0.67649
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,4,0.93747,0.66961,0.71342
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,5,0.91894,0.69303,0.73713
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,6,0.92197,0.69490,0.73169
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,7,0.92297,0.71064,0.74993
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,8,0.88549,0.74654,0.78269
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,9,0.85474,0.76919,0.80553
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.25,all,0.92335,0.68571,0.72277
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,2,0.83190,0.78335,0.79494
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,3,0.74409,0.83344,0.85157
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,4,0.69455,0.84940,0.86809
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,5,0.68629,0.85041,0.87222
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,6,0.67295,0.85555,0.87217
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,7,0.63992,0.86983,0.88867
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,8,0.58145,0.88644,0.90408
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,9,0.52922,0.89900,0.91661
flame38m_g1_temporal,1e18,temporal,coarse 6/64,0.1,all,0.67255,0.85343,0.87104
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,2,1.00000,0.18071,0.20292
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,3,1.00000,0.22358,0.26322
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,4,1.00000,0.26217,0.30782
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,5,1.00000,0.26237,0.30266
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,6,1.00000,0.26876,0.31421
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,7,1.00000,0.30408,0.34854
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,8,1.00000,0.31111,0.35039
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,9,1.00000,0.36538,0.41658
flame38m_g3_temporal,1e18,temporal,fine 18/192,1,all,1.00000,0.27227,0.31329
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,2,1.00000,0.32538,0.34846
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,3,0.99998,0.35551,0.40886
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,4,1.00000,0.39467,0.45417
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,5,1.00000,0.40564,0.45673
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,6,0.99998,0.40063,0.45321
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,7,0.99998,0.45458,0.50725
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,8,1.00000,0.47126,0.51706
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,9,0.99994,0.52965,0.58488
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.5,all,0.99999,0.41716,0.46633
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,2,0.99896,0.49296,0.51386
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,3,0.99887,0.53356,0.57108
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,4,0.99982,0.55672,0.60319
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,5,0.99969,0.57121,0.61221
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,6,0.99944,0.55824,0.59975
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,7,0.99940,0.61549,0.65795
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,8,0.99876,0.63654,0.67399
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,9,0.99806,0.68921,0.73241
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.25,all,0.99913,0.58174,0.62055
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,2,0.98632,0.74554,0.75825
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,3,0.96657,0.80958,0.82560
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,4,0.98464,0.80361,0.82534
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,5,0.98461,0.81436,0.83435
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,6,0.97733,0.79623,0.81631
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,7,0.97377,0.83539,0.85581
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,8,0.96199,0.84686,0.86499
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,9,0.93419,0.87359,0.89361
flame38m_g3_temporal,1e18,temporal,fine 18/192,0.1,all,0.97118,0.81565,0.83428
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,2,1.00000,0.11391,0.11604
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,3,1.00000,0.14872,0.16183
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,4,1.00000,0.16229,0.17124
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,5,1.00000,0.18300,0.19506
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,6,1.00000,0.22725,0.25066
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,7,0.99994,0.26477,0.29826
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,8,0.99994,0.29271,0.33464
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,9,0.99982,0.31738,0.37010
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,10,0.99921,0.38032,0.43947
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,11,0.99890,0.40370,0.46452
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,12,0.99890,0.38968,0.44855
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,13,0.99896,0.37497,0.42194
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,14,0.99805,0.42398,0.47763
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,1,all,0.99952,0.28328,0.31923
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,2,0.99982,0.30800,0.31442
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,3,1.00000,0.32587,0.34749
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,4,0.99988,0.32965,0.34883
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,5,0.99982,0.35558,0.38014
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,6,0.99890,0.40367,0.44153
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,7,0.99713,0.45450,0.50227
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,8,0.99597,0.47566,0.53044
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,9,0.99511,0.49556,0.56157
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,10,0.98663,0.56040,0.63141
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,11,0.98015,0.58174,0.64886
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,12,0.98357,0.56773,0.63821
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,13,0.98632,0.56726,0.62762
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,14,0.97454,0.61331,0.67808
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.5,all,0.99214,0.46453,0.51160
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,2,0.99279,0.50213,0.50969
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,3,0.99298,0.51156,0.52832
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,4,0.99182,0.52015,0.53604
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,5,0.98986,0.54595,0.56588
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,6,0.97777,0.59274,0.62030
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,7,0.96684,0.64014,0.67577
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,8,0.95860,0.65215,0.69127
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,9,0.95035,0.67149,0.71429
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,10,0.91512,0.72091,0.76978
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,11,0.89021,0.73940,0.78329
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,12,0.90767,0.72913,0.77801
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,13,0.90651,0.73010,0.77375
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,14,0.85699,0.76798,0.81543
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.25,all,0.94596,0.64030,0.67399
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,2,0.91463,0.71161,0.71615
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,3,0.90144,0.72747,0.73575
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,4,0.88966,0.74316,0.75174
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,5,0.87286,0.76098,0.77097
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,6,0.80777,0.79843,0.81054
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,7,0.76881,0.82048,0.83819
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,8,0.76435,0.82532,0.84317
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,9,0.73766,0.83603,0.85456
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,10,0.67074,0.85999,0.88454
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,11,0.63178,0.87058,0.89063
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,12,0.65541,0.86414,0.88844
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,13,0.64704,0.86587,0.88783
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,14,0.56271,0.89065,0.91523
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,0.1,all,0.75576,0.81344,0.82983
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1,2,0.99993,0.45029,0.48984
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1,3,0.99983,0.58487,0.63315
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,1,4,0.99953,0.63067,0.67535
