"# Per-layer effective expert count of the UNTRAINED OLMoE, on the audited held-out slice (the same tokens the training-time log scores). regime=free is the released model with no residency; regime=imposed is residency R=k applied at eval only, untrained. eff_load = 1/sum(p^2) over dispatch, range 1..E, higher is more balanced. eff_tok = exp(mean token routing entropy). Producer: analysis/residency/effective_experts_baseline.py"
regime,layer,E,k,eff_load,eff_load_frac_of_E,eff_tok,n_tokens
free,0,64,8,58.707,0.9173,47.314,16384
free,1,64,8,62.015,0.9690,52.856,16384
free,2,64,8,59.093,0.9233,52.048,16384
free,3,64,8,58.848,0.9195,49.692,16384
free,4,64,8,58.282,0.9107,51.850,16384
free,5,64,8,55.995,0.8749,51.165,16384
free,6,64,8,53.908,0.8423,49.628,16384
free,7,64,8,57.051,0.8914,47.902,16384
free,8,64,8,56.587,0.8842,45.437,16384
free,9,64,8,58.140,0.9084,41.896,16384
free,10,64,8,57.230,0.8942,37.836,16384
free,11,64,8,56.590,0.8842,37.579,16384
free,12,64,8,56.059,0.8759,34.038,16384
free,13,64,8,55.300,0.8641,32.832,16384
free,14,64,8,56.848,0.8882,32.588,16384
free,15,64,8,50.221,0.7847,32.945,16384
imposed,0,64,8,35.770,0.5589,5.622,16384
imposed,1,64,8,46.509,0.7267,6.401,16384
imposed,2,64,8,52.469,0.8198,6.830,16384
imposed,3,64,8,29.584,0.4622,6.987,16384
imposed,4,64,8,24.041,0.3756,7.118,16384
imposed,5,64,8,21.595,0.3374,7.230,16384
imposed,6,64,8,18.609,0.2908,7.261,16384
imposed,7,64,8,14.355,0.2243,7.374,16384
imposed,8,64,8,13.618,0.2128,7.289,16384
imposed,9,64,8,16.954,0.2649,6.879,16384
imposed,10,64,8,14.665,0.2291,6.857,16384
imposed,11,64,8,18.106,0.2829,6.475,16384
imposed,12,64,8,21.387,0.3342,6.103,16384
imposed,13,64,8,17.877,0.2793,6.522,16384
imposed,14,64,8,20.517,0.3206,6.394,16384
imposed,15,64,8,16.278,0.2543,6.698,16384
