active_params_M,panel,token,expert,num_experts_E,topk_k,moe_layer
8,full MoE  (top-k),0,3,64,6,6
8,full MoE  (top-k),0,5,64,6,6
8,full MoE  (top-k),0,9,64,6,6
8,full MoE  (top-k),0,13,64,6,6
8,full MoE  (top-k),0,48,64,6,6
8,full MoE  (top-k),0,62,64,6,6
8,full MoE  (top-k),1,4,64,6,6
8,full MoE  (top-k),1,6,64,6,6
8,full MoE  (top-k),1,8,64,6,6
8,full MoE  (top-k),1,12,64,6,6
8,full MoE  (top-k),1,27,64,6,6
8,full MoE  (top-k),1,45,64,6,6
8,full MoE  (top-k),2,4,64,6,6
8,full MoE  (top-k),2,6,64,6,6
8,full MoE  (top-k),2,38,64,6,6
8,full MoE  (top-k),2,51,64,6,6
8,full MoE  (top-k),2,54,64,6,6
8,full MoE  (top-k),2,59,64,6,6
8,full MoE  (top-k),3,0,64,6,6
8,full MoE  (top-k),3,20,64,6,6
8,full MoE  (top-k),3,25,64,6,6
8,full MoE  (top-k),3,31,64,6,6
8,full MoE  (top-k),3,51,64,6,6
8,full MoE  (top-k),3,58,64,6,6
8,full MoE  (top-k),4,24,64,6,6
8,full MoE  (top-k),4,26,64,6,6
8,full MoE  (top-k),4,37,64,6,6
8,full MoE  (top-k),4,54,64,6,6
8,full MoE  (top-k),4,56,64,6,6
8,full MoE  (top-k),4,62,64,6,6
8,full MoE  (top-k),5,10,64,6,6
8,full MoE  (top-k),5,19,64,6,6
8,full MoE  (top-k),5,26,64,6,6
8,full MoE  (top-k),5,38,64,6,6
8,full MoE  (top-k),5,39,64,6,6
8,full MoE  (top-k),5,62,64,6,6
8,full MoE  (top-k),6,6,64,6,6
8,full MoE  (top-k),6,12,64,6,6
8,full MoE  (top-k),6,36,64,6,6
8,full MoE  (top-k),6,38,64,6,6
8,full MoE  (top-k),6,44,64,6,6
8,full MoE  (top-k),6,45,64,6,6
8,full MoE  (top-k),7,5,64,6,6
8,full MoE  (top-k),7,9,64,6,6
8,full MoE  (top-k),7,18,64,6,6
8,full MoE  (top-k),7,20,64,6,6
8,full MoE  (top-k),7,31,64,6,6
8,full MoE  (top-k),7,59,64,6,6
8,full MoE  (top-k),8,5,64,6,6
8,full MoE  (top-k),8,20,64,6,6
8,full MoE  (top-k),8,28,64,6,6
8,full MoE  (top-k),8,39,64,6,6
8,full MoE  (top-k),8,47,64,6,6
8,full MoE  (top-k),8,59,64,6,6
8,full MoE  (top-k),9,0,64,6,6
8,full MoE  (top-k),9,8,64,6,6
8,full MoE  (top-k),9,20,64,6,6
8,full MoE  (top-k),9,31,64,6,6
8,full MoE  (top-k),9,58,64,6,6
8,full MoE  (top-k),9,59,64,6,6
8,full MoE  (top-k),10,1,64,6,6
8,full MoE  (top-k),10,11,64,6,6
8,full MoE  (top-k),10,25,64,6,6
8,full MoE  (top-k),10,49,64,6,6
8,full MoE  (top-k),10,61,64,6,6
8,full MoE  (top-k),10,63,64,6,6
8,full MoE  (top-k),11,16,64,6,6
8,full MoE  (top-k),11,22,64,6,6
8,full MoE  (top-k),11,34,64,6,6
8,full MoE  (top-k),11,35,64,6,6
8,full MoE  (top-k),11,52,64,6,6
8,full MoE  (top-k),11,58,64,6,6
8,full MoE  (top-k),12,0,64,6,6
8,full MoE  (top-k),12,4,64,6,6
8,full MoE  (top-k),12,10,64,6,6
8,full MoE  (top-k),12,31,64,6,6
8,full MoE  (top-k),12,51,64,6,6
8,full MoE  (top-k),12,59,64,6,6
8,full MoE  (top-k),13,2,64,6,6
8,full MoE  (top-k),13,3,64,6,6
8,full MoE  (top-k),13,7,64,6,6
8,full MoE  (top-k),13,14,64,6,6
8,full MoE  (top-k),13,23,64,6,6
8,full MoE  (top-k),13,54,64,6,6
8,full MoE  (top-k),14,5,64,6,6
8,full MoE  (top-k),14,11,64,6,6
8,full MoE  (top-k),14,17,64,6,6
8,full MoE  (top-k),14,20,64,6,6
8,full MoE  (top-k),14,48,64,6,6
8,full MoE  (top-k),14,59,64,6,6
8,full MoE  (top-k),15,24,64,6,6
