# expert output similarity per run and MoE layer (analysis/probes/expert_similarity.py, N sampled tokens from one cached test micro-batch, every routed expert evaluated on the same inputs, ungated, shared expert excluded); cos_* are mean cosines between expert outputs, relerr_* relative output differences, layer_relchange_* the relative change of the gated layer output when the displaced expert's output is swapped for the substitute's at the same gate, cos_weights the mean pairwise cosine of flattened expert weights; regime init = random initialisation of the same shape. Prediction test vs substitution_tolerance.csv: n_pair_layers=84; spearman_layerchange_gap_vs_subst_gap=0.094; spearman_cos_gap_vs_subst_gap=0.405; n_model_layers=168; spearman_layerchange_vs_subst_within_models=0.070. Producer analysis/residency/expert_similarity.py
run,budget,regime,grain,seed,experts,topk,n_tokens,layer,cos_all,cos_sel_nextbest,cos_sel_random,cos_sel_stale,cos_weights,cos_within_topk,frac_has_stale,layer_relchange_nextbest,layer_relchange_random,layer_relchange_stale,layer_relchange_zero,mean_gate_displaced,mean_out_norm,relerr_all,relerr_sel_nextbest,relerr_sel_random,relerr_sel_stale,tokens_sha256
flame38m_g1_moe,1e18,full,1,1,64,6,2048,2,0.03792,0.09908,0.02945,0.04046,0.00195,0.14925,0.99902,0.35572,0.40653,0.40242,0.26714,0.07789,0.79377,1.46904,1.42980,1.42191,1.42028,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,3,0.03628,0.08168,0.02580,0.03851,0.00194,0.11968,0.99658,0.38898,0.44224,0.42788,0.27905,0.09529,0.91326,1.45583,1.40054,1.36305,1.38083,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,4,0.03499,0.08115,0.02950,0.03945,0.00204,0.10967,0.99854,0.39109,0.43767,0.42936,0.28453,0.09358,1.00369,1.43277,1.40045,1.36771,1.38311,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,5,0.03302,0.06892,0.02814,0.03920,0.00221,0.09498,0.99756,0.39715,0.42440,0.41805,0.28846,0.09189,1.08286,1.46847,1.41066,1.40061,1.39452,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,6,0.04468,0.08009,0.03294,0.04368,0.00295,0.11323,0.99658,0.37293,0.39485,0.39315,0.28299,0.08763,1.16885,1.44178,1.44563,1.44513,1.43817,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,7,0.03708,0.07681,0.03376,0.04489,0.00373,0.10413,0.99707,0.37896,0.38958,0.39123,0.28635,0.08636,1.44933,1.45171,1.45659,1.50045,1.47919,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,8,0.03457,0.06098,0.02371,0.03117,0.00369,0.08588,0.99707,0.38494,0.39049,0.39223,0.28828,0.07947,1.65204,1.45117,1.48029,1.53394,1.50765,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe,1e18,full,1,1,64,6,2048,9,0.06942,0.08814,0.04829,0.05829,0.00467,0.11757,0.99609,0.35674,0.35416,0.35676,0.27959,0.06561,1.86384,1.40858,1.51729,1.63731,1.58328,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,2,0.04950,0.11500,0.03319,0.04098,0.00194,0.17293,0.99609,0.35051,0.40457,0.40596,0.26945,0.04975,0.66742,1.45418,1.47030,1.49169,1.48444,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,3,0.04015,0.08645,0.03176,0.04469,0.00166,0.11883,0.99805,0.41648,0.46385,0.45191,0.29090,0.08852,0.87748,1.46934,1.37335,1.36080,1.36532,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,4,0.03074,0.07990,0.02022,0.03083,0.00167,0.11548,0.99414,0.40072,0.45365,0.44783,0.28842,0.09375,0.91121,1.43228,1.39334,1.36546,1.37812,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,5,0.03088,0.07189,0.03023,0.03682,0.00218,0.10228,0.99902,0.38686,0.41848,0.41879,0.27927,0.08891,1.03782,1.45581,1.41880,1.39580,1.40095,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,6,0.03859,0.07629,0.03270,0.04108,0.00240,0.10575,0.99463,0.39120,0.41209,0.40877,0.28474,0.09525,1.11561,1.43031,1.42074,1.43289,1.42430,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,7,0.03685,0.07218,0.02351,0.03461,0.00315,0.09665,0.99561,0.38520,0.40881,0.40260,0.28470,0.09044,1.25599,1.43761,1.42850,1.44570,1.44431,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,8,0.03205,0.07281,0.02711,0.03444,0.00388,0.10666,0.99756,0.37992,0.38990,0.39031,0.28622,0.08869,1.64931,1.48155,1.46672,1.54770,1.51441,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s2,1e18,full,1,2,64,6,2048,9,0.05619,0.08313,0.04089,0.04716,0.00496,0.12268,0.99609,0.35136,0.35336,0.35940,0.27541,0.07383,2.01901,1.46236,1.55980,1.64855,1.58954,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s3,1e18,full,1,3,64,6,2048,2,0.03929,0.12202,0.02357,0.04102,0.00228,0.18186,0.99756,0.34089,0.40799,0.40490,0.26519,0.07823,0.83197,1.47041,1.43126,1.42633,1.42536,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s3,1e18,full,1,3,64,6,2048,3,0.04498,0.08850,0.03984,0.05017,0.00200,0.12471,0.99609,0.38489,0.42133,0.40796,0.28102,0.08798,0.94602,1.44093,1.39954,1.38672,1.39577,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s3,1e18,full,1,3,64,6,2048,4,0.03952,0.08120,0.03024,0.04391,0.00232,0.10976,0.99902,0.38725,0.40676,0.40309,0.28505,0.09213,1.00859,1.41908,1.42115,1.43761,1.42627,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_moe_s3,1e18,full,1,3,64,6,2048,5,0.03529,0.07143,0.03165,0.04239,0.00237,0.09984,0.99512,0.38422,0.39879,0.39362,0.28009,0.08944,1.14210,1.41829,1.41527,1.43240,1.43498,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
