model,task,acc,acc_norm,stderr
flame38m_dense_local,arc_challenge,0.178328,0.221843,0.011186
flame38m_dense_local,arc_easy,0.340488,0.326178,0.009724
flame38m_dense_local,boolq,0.39633,,0.008555
flame38m_dense_local,copa,0.53,,0.050161
flame38m_dense_local,hellaswag,0.259311,0.256025,0.004374
flame38m_dense_local,lambada_openai,0.027751,,0.002288
flame38m_dense_local,openbookqa,0.128,0.254,0.014956
flame38m_dense_local,piqa,0.565288,0.552231,0.011566
flame38m_dense_local,sciq,0.455,0.437,0.015755
flame38m_dense_local,winogrande,0.507498,,0.014051
flame38m_g1_moe,arc_challenge,0.183447,0.217577,0.01131
flame38m_g1_moe,arc_easy,0.363636,0.347643,0.009871
flame38m_g1_moe,boolq,0.377064,,0.008477
flame38m_g1_moe,copa,0.56,,0.049889
flame38m_g1_moe,hellaswag,0.267078,0.257917,0.004415
flame38m_g1_moe,lambada_openai,0.082282,,0.003828
flame38m_g1_moe,openbookqa,0.144,0.242,0.015717
flame38m_g1_moe,piqa,0.570185,0.566921,0.01155
flame38m_g1_moe,sciq,0.492,0.434,0.015817
flame38m_g1_moe,winogrande,0.487766,,0.014048
flame38m_g1_moe_s2,arc_challenge,0.183447,0.21843,0.01131
flame38m_g1_moe_s2,arc_easy,0.353956,0.328283,0.009812
flame38m_g1_moe_s2,boolq,0.493884,,0.008744
flame38m_g1_moe_s2,copa,0.57,,0.049757
flame38m_g1_moe_s2,hellaswag,0.260406,0.258614,0.00438
flame38m_g1_moe_s2,lambada_openai,0.049486,,0.003022
flame38m_g1_moe_s2,openbookqa,0.126,0.224,0.014856
flame38m_g1_moe_s2,piqa,0.579434,0.566921,0.011518
flame38m_g1_moe_s2,sciq,0.459,0.431,0.015766
flame38m_g1_moe_s2,winogrande,0.486977,,0.014048
flame38m_g1_moe_s3,arc_challenge,0.183447,0.215017,0.01131
flame38m_g1_moe_s3,arc_easy,0.342593,0.337121,0.009738
flame38m_g1_moe_s3,boolq,0.589297,,0.008604
flame38m_g1_moe_s3,copa,0.6,,0.049237
flame38m_g1_moe_s3,hellaswag,0.261502,0.26419,0.004386
flame38m_g1_moe_s3,lambada_openai,0.067533,,0.003496
flame38m_g1_moe_s3,openbookqa,0.13,0.256,0.015055
flame38m_g1_moe_s3,piqa,0.575082,0.570185,0.011534
flame38m_g1_moe_s3,sciq,0.479,0.443,0.015805
flame38m_g1_moe_s3,winogrande,0.492502,,0.014051
flame38m_g1_temporal,arc_challenge,0.183447,0.236348,0.01131
flame38m_g1_temporal,arc_easy,0.37037,0.357323,0.009909
flame38m_g1_temporal,boolq,0.442813,,0.008688
flame38m_g1_temporal,copa,0.56,,0.049889
flame38m_g1_temporal,hellaswag,0.265186,0.263294,0.004405
flame38m_g1_temporal,lambada_openai,0.072967,,0.003623
flame38m_g1_temporal,openbookqa,0.14,0.26,0.015533
flame38m_g1_temporal,piqa,0.576714,0.57617,0.011528
flame38m_g1_temporal,sciq,0.499,0.436,0.015819
flame38m_g1_temporal,winogrande,0.479084,,0.01404
