run,iteration,train_lm_loss,final_test_ce,seed
flame512_dense,5,1.052880E+01,,1234
flame512_dense,10,9.639944E+00,,1234
flame512_dense,15,8.896849E+00,,1234
flame512_dense,20,8.211534E+00,,1234
flame512_dense,25,7.674590E+00,,1234
flame512_dense,30,7.290729E+00,,1234
flame512_dense,35,7.034879E+00,,1234
flame512_dense,40,6.879397E+00,,1234
flame512_dense,45,6.735834E+00,,1234
flame512_dense,50,6.618399E+00,,1234
flame512_dense,55,6.501471E+00,,1234
flame512_dense,60,6.432790E+00,,1234
flame512_dense,65,6.364982E+00,,1234
flame512_dense,70,6.320304E+00,,1234
flame512_dense,75,6.278860E+00,,1234
flame512_dense,80,6.233253E+00,,1234
flame512_dense,85,6.171352E+00,,1234
flame512_dense,90,6.119545E+00,,1234
flame512_dense,95,6.079462E+00,,1234
flame512_dense,100,6.036903E+00,,1234
flame512_dense,105,5.984191E+00,,1234
flame512_dense,110,5.940236E+00,,1234
flame512_dense,115,5.936694E+00,,1234
flame512_dense,120,5.894971E+00,,1234
flame512_dense,125,5.851115E+00,,1234
flame512_dense,130,5.801121E+00,,1234
flame512_dense,135,5.743044E+00,,1234
flame512_dense,140,5.715714E+00,,1234
flame512_dense,145,5.683819E+00,,1234
flame512_dense,150,5.659405E+00,,1234
flame512_dense,155,5.609389E+00,,1234
flame512_dense,160,5.579226E+00,,1234
flame512_dense,165,5.566363E+00,,1234
flame512_dense,170,5.522149E+00,,1234
flame512_dense,175,5.497992E+00,,1234
flame512_dense,180,5.463968E+00,,1234
flame512_dense,185,5.439253E+00,,1234
flame512_dense,190,5.399908E+00,,1234
flame512_dense,195,5.385822E+00,,1234
flame512_dense,200,5.356059E+00,,1234
flame512_dense,205,5.317983E+00,,1234
flame512_dense,210,5.311806E+00,,1234
flame512_dense,215,5.280985E+00,,1234
flame512_dense,220,5.266512E+00,,1234
flame512_dense,225,5.236049E+00,,1234
flame512_dense,230,5.208629E+00,,1234
flame512_dense,235,5.187582E+00,,1234
flame512_dense,240,5.160650E+00,,1234
flame512_dense,245,5.154334E+00,,1234
flame512_dense,250,5.126203E+00,,1234
flame512_dense,255,5.120278E+00,,1234
flame512_dense,260,5.116915E+00,,1234
flame512_dense,265,5.075519E+00,,1234
flame512_dense,270,5.062894E+00,,1234
flame512_dense,275,5.041319E+00,,1234
flame512_dense,280,5.037548E+00,,1234
flame512_dense,285,5.022958E+00,,1234
flame512_dense,290,4.999629E+00,,1234
flame512_dense,295,4.983974E+00,,1234
flame512_dense,300,4.962294E+00,,1234
flame512_dense,305,4.970655E+00,,1234
flame512_dense,310,4.957186E+00,,1234
flame512_dense,315,4.938268E+00,,1234
flame512_dense,320,4.913919E+00,,1234
flame512_dense,325,4.905371E+00,,1234
flame512_dense,330,4.894211E+00,,1234
flame512_dense,335,4.878877E+00,,1234
flame512_dense,340,4.866413E+00,,1234
flame512_dense,345,4.862601E+00,,1234
flame512_dense,350,4.850896E+00,,1234
flame512_dense,355,4.841309E+00,,1234
flame512_dense,360,4.829321E+00,,1234
flame512_dense,365,4.818325E+00,,1234
flame512_dense,370,4.804679E+00,,1234
flame512_dense,375,4.797403E+00,,1234
flame512_dense,380,4.774579E+00,,1234
flame512_dense,385,4.757609E+00,,1234
flame512_dense,390,4.764225E+00,,1234
flame512_dense,395,4.758139E+00,,1234
flame512_dense,400,4.747263E+00,,1234
flame512_dense,405,4.741399E+00,,1234
flame512_dense,410,4.737657E+00,,1234
flame512_dense,415,4.717674E+00,,1234
flame512_dense,420,4.704377E+00,,1234
flame512_dense,425,4.692419E+00,,1234
flame512_dense,430,4.688623E+00,,1234
flame512_dense,435,4.679227E+00,,1234
flame512_dense,440,4.669028E+00,,1234
flame512_dense,445,4.653769E+00,,1234
flame512_dense,450,4.649360E+00,,1234
flame512_dense,455,4.641200E+00,,1234
flame512_dense,460,4.644440E+00,,1234
flame512_dense,465,4.656696E+00,,1234
flame512_dense,470,4.657260E+00,,1234
flame512_dense,475,4.638717E+00,,1234
flame512_dense,480,4.615060E+00,,1234
flame512_dense,485,4.604235E+00,,1234
flame512_dense,490,4.585528E+00,,1234
flame512_dense,495,4.586736E+00,,1234
flame512_dense,500,4.566920E+00,,1234
flame512_dense,505,4.573644E+00,,1234
flame512_dense,510,4.569337E+00,,1234
flame512_dense,515,4.564080E+00,,1234
flame512_dense,520,4.558804E+00,,1234
flame512_dense,525,4.557393E+00,,1234
flame512_dense,530,4.536483E+00,,1234
flame512_dense,535,4.529935E+00,,1234
flame512_dense,540,4.525864E+00,,1234
flame512_dense,545,4.525301E+00,,1234
flame512_dense,550,4.507444E+00,,1234
flame512_dense,555,4.509779E+00,,1234
flame512_dense,560,4.494678E+00,,1234
flame512_dense,565,4.499689E+00,,1234
flame512_dense,570,4.480973E+00,,1234
flame512_dense,575,4.493396E+00,,1234
flame512_dense,580,4.497163E+00,,1234
flame512_dense,585,4.473218E+00,,1234
flame512_dense,590,4.464912E+00,,1234
flame512_dense,595,4.451543E+00,,1234
flame512_dense,600,4.449620E+00,,1234
flame512_dense,605,4.435391E+00,,1234
flame512_dense,610,4.441355E+00,,1234
flame512_dense,615,4.422905E+00,,1234
flame512_dense,620,4.419306E+00,,1234
flame512_dense,625,4.421114E+00,,1234
flame512_dense,630,4.418305E+00,,1234
flame512_dense,635,4.403035E+00,,1234
flame512_dense,640,4.401379E+00,,1234
flame512_dense,645,4.396165E+00,,1234
flame512_dense,650,4.407116E+00,,1234
flame512_dense,655,4.388421E+00,,1234
