"# OLMoE residency frontier, training-free, gate_mass=preserve, min_logit. Surfaces: base and the 100M T=1 distillation winner (csurf_distill100M). swap_rate = mean resident-set changes/token/layer (fetch-bandwidth axis); memory axis = total resident slots (uniform R: R*16; R_map cells list slots). Producer: analysis/residency/frontier_olmoe.py"
stage,surface,cell,R,swaps,free_set,R_map,bpb,swap_rate,n_seq,secs
smoke,base,free,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.670219,0.0000,16,6.9
smoke,base,R8_s1,8,1,,,0.838229,0.9990,16,7.5
smoke,base,R8_via_uniform_R_map,8,1,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8,0.838229,0.9990,16,6.5
smoke,base,R8_s4,8,4,,,0.679696,3.6420,16,7.1
smoke,distill100M,R8_s1,8,1,,,0.782119,0.9990,16,6.4
smoke,base,free,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.670219,0.0000,16,6.8
smoke,base,R8_s1,8,1,,,0.838229,0.9990,16,7.6
smoke,base,R8_via_uniform_R_map,8,1,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8,0.838229,0.9990,16,6.5
smoke,base,R8_s4,8,4,,,0.679696,3.6420,16,7.5
smoke,distill100M,R8_s1,8,1,,,0.782119,0.9990,16,6.8
smoke,base,free,8,1,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.670219,0.0000,16,6.8
smoke,base,R8_s1,8,1,,,0.838229,0.9990,16,7.6
smoke,base,R8_via_uniform_R_map,8,1,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8,0.838229,0.9990,16,6.8
smoke,base,R8_s4,8,4,,,0.679696,3.6420,16,7.0
smoke,distill100M,R8_s1,8,1,,,0.782119,0.9990,16,6.5
grid,base,R8_s1,8,1,,,0.838229,0.9990,16,6.5
grid,base,R8_s2,8,2,,,0.729367,1.9832,16,6.8
grid,base,R8_s4,8,4,,,0.679696,3.6420,16,7.0
grid,base,R12_s1,12,1,,,0.795202,0.9998,16,6.7
grid,base,R12_s2,12,2,,,0.712898,1.9964,16,6.8
grid,base,R12_s4,12,4,,,0.676430,3.8886,16,7.1
grid,base,R16_s1,16,1,,,0.768745,1.0000,16,6.7
grid,base,R16_s2,16,2,,,0.703328,1.9988,16,6.7
grid,base,R16_s4,16,4,,,0.674902,3.9570,16,7.0
grid,base,R24_s1,24,1,,,0.734770,1.0000,16,6.4
grid,base,R24_s2,24,2,,,0.691794,1.9995,16,6.6
grid,base,R24_s4,24,4,,,0.673108,3.9831,16,6.8
grid,base,R32_s1,32,1,,,0.713638,1.0000,16,6.5
grid,base,R32_s2,32,2,,,0.684721,1.9996,16,6.6
grid,base,R32_s4,32,4,,,0.672008,3.9832,16,6.8
grid,distill100M,R8_s1,8,1,,,0.782119,0.9990,16,6.5
grid,distill100M,R8_s2,8,2,,,0.728404,1.9841,16,6.7
grid,distill100M,R8_s4,8,4,,,0.704319,3.6527,16,6.9
grid,distill100M,R12_s1,12,1,,,0.760069,0.9998,16,6.4
grid,distill100M,R12_s2,12,2,,,0.720062,1.9964,16,6.6
grid,distill100M,R12_s4,12,4,,,0.703052,3.8872,16,6.8
grid,distill100M,R16_s1,16,1,,,0.746110,1.0000,16,6.4
grid,distill100M,R16_s2,16,2,,,0.714924,1.9987,16,6.6
grid,distill100M,R16_s4,16,4,,,0.702419,3.9546,16,6.9
grid,distill100M,R24_s1,24,1,,,0.729084,1.0000,16,6.4
grid,distill100M,R24_s2,24,2,,,0.709117,1.9995,16,6.6
grid,distill100M,R24_s4,24,4,,,0.701698,3.9828,16,6.8
grid,distill100M,R32_s1,32,1,,,0.718636,1.0000,16,6.4
grid,distill100M,R32_s2,32,2,,,0.705975,1.9997,16,6.6
grid,distill100M,R32_s4,32,4,,,0.701412,3.9858,16,6.8
layers,base,solo_L00_R8,8,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.676894,1.0000,16,6.2
layers,base,solo_L00_R12,12,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.675276,1.0000,16,6.2
layers,base,solo_L00_R16,16,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.674310,1.0000,16,6.2
layers,base,solo_L00_R24,24,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.672833,1.0000,16,6.2
layers,base,solo_L01_R8,8,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.676083,1.0000,16,6.2
layers,base,solo_L01_R12,12,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.675314,1.0000,16,6.2
layers,base,solo_L01_R16,16,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.674261,1.0000,16,6.2
layers,base,solo_L01_R24,24,1,"0,2,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.673011,1.0000,16,6.2
layers,base,solo_L02_R8,8,1,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.675066,0.9999,16,6.2
layers,base,solo_L02_R12,12,1,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.674232,1.0000,16,6.5
layers,base,solo_L02_R16,16,1,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.673546,1.0000,16,6.4
layers,base,solo_L02_R24,24,1,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15",,0.672357,1.0000,16,6.2
layers,base,solo_L03_R8,8,1,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15",,0.674926,0.9999,16,6.2
layers,base,solo_L03_R12,12,1,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15",,0.673994,1.0000,16,6.2
layers,base,solo_L03_R16,16,1,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15",,0.673440,1.0000,16,6.2
layers,base,solo_L03_R24,24,1,"0,1,2,4,5,6,7,8,9,10,11,12,13,14,15",,0.672647,1.0000,16,6.2
layers,base,solo_L04_R8,8,1,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",,0.674692,0.9994,16,6.2
layers,base,solo_L04_R12,12,1,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",,0.673420,0.9999,16,6.2
layers,base,solo_L04_R16,16,1,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",,0.672937,1.0000,16,6.2
layers,base,solo_L04_R24,24,1,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15",,0.671987,1.0000,16,6.2
layers,base,solo_L05_R8,8,1,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15",,0.673974,0.9985,16,6.2
layers,base,solo_L05_R12,12,1,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15",,0.672943,0.9998,16,6.3
layers,base,solo_L05_R16,16,1,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15",,0.672216,0.9999,16,6.2
layers,base,solo_L05_R24,24,1,"0,1,2,3,4,6,7,8,9,10,11,12,13,14,15",,0.671469,1.0000,16,6.2
layers,base,solo_L06_R8,8,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",,0.675254,0.9982,16,6.2
layers,base,solo_L06_R12,12,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",,0.673859,0.9998,16,6.2
layers,base,solo_L06_R16,16,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",,0.673090,1.0000,16,6.2
layers,base,solo_L06_R24,24,1,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15",,0.672116,1.0000,16,6.2
layers,base,solo_L07_R8,8,1,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15",,0.675517,0.9988,16,6.3
layers,base,solo_L07_R12,12,1,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15",,0.674397,0.9998,16,6.2
