"# qwen3 residency frontier, training-free, unsloth path, min_logit. Surfaces: base (zero-init LoRA no-op) and the 100M T=1 distillation adapter. swap_rate = resident changes/token/layer. Memory axis = R x n_layers slots. Producer: analysis/ple/frontier_qwen.py"
stage,surface,cell,R,swaps,bpb,swap_rate,n_seq,secs
smoke,base,R8_s1,8,1,0.734379,0.9973,16,26.3
smoke,base,R8_s4,8,4,0.620173,3.3158,16,6.3
smoke,distill100M,R8_s1,8,1,0.667688,0.9976,16,5.4
grid,base,R8_s2,8,2,0.653407,1.9458,16,5.7
grid,base,R12_s1,12,1,0.692374,0.9994,16,5.4
grid,base,R12_s2,12,2,0.639049,1.9834,16,5.6
grid,base,R12_s4,12,4,0.617805,3.6734,16,6.1
grid,base,R16_s1,16,1,0.671973,0.9999,16,5.3
grid,base,R16_s2,16,2,0.632613,1.9940,16,5.7
grid,base,R16_s4,16,4,0.617267,3.8313,16,6.2
grid,base,R24_s1,24,1,0.651623,1.0000,16,5.3
grid,base,R24_s2,24,2,0.625297,1.9986,16,5.6
grid,base,R24_s4,24,4,0.616296,3.9403,16,6.1
grid,base,R32_s1,32,1,0.640804,1.0000,16,5.3
grid,base,R32_s2,32,2,0.622458,1.9994,16,5.6
grid,base,R32_s4,32,4,0.616061,3.9698,16,6.2
grid,distill100M,R8_s2,8,2,0.640630,1.9498,16,5.6
grid,distill100M,R8_s4,8,4,0.631207,3.3380,16,6.1
grid,distill100M,R12_s1,12,1,0.656484,0.9995,16,5.3
grid,distill100M,R12_s2,12,2,0.637677,1.9855,16,5.6
grid,distill100M,R12_s4,12,4,0.630949,3.6954,16,6.1
grid,distill100M,R16_s1,16,1,0.650951,0.9999,16,5.3
grid,distill100M,R16_s2,16,2,0.635664,1.9949,16,5.6
grid,distill100M,R16_s4,16,4,0.630905,3.8469,16,6.1
grid,distill100M,R24_s1,24,1,0.643937,1.0000,16,5.3
grid,distill100M,R24_s2,24,2,0.633537,1.9988,16,5.6
grid,distill100M,R24_s4,24,4,0.630586,3.9449,16,6.1
grid,distill100M,R32_s1,32,1,0.639418,1.0000,16,5.3
grid,distill100M,R32_s2,32,2,0.632559,1.9995,16,5.7
grid,distill100M,R32_s4,32,4,0.630514,3.9714,16,6.1
