"# qwen3_5 residency frontier, training-free, unsloth path, min_logit. Surfaces: base (zero-init LoRA no-op) and the 100M T=1 distillation adapter. swap_rate = resident changes/token/layer. Memory axis = R x n_layers slots. Producer: analysis/ple/frontier_qwen.py"
stage,surface,cell,R,swaps,bpb,swap_rate,n_seq,secs
smoke,base,R8_s1,8,1,0.679174,0.9996,16,7.9
smoke,base,R8_s4,8,4,0.627309,3.6481,16,6.8
smoke,distill100M,R8_s1,8,1,0.663090,0.9997,16,4.6
smoke,base,R8_s1,8,1,0.680169,0.9996,16,6.8
smoke,base,R8_s4,8,4,0.627321,3.6481,16,6.3
smoke,distill100M,R8_s1,8,1,0.663083,0.9997,16,4.7
grid,base,R8_s2,8,2,0.642403,1.9841,16,5.4
grid,base,R12_s1,12,1,0.669601,1.0000,16,4.7
grid,base,R12_s2,12,2,0.638686,1.9986,16,5.2
grid,base,R12_s4,12,4,0.626596,3.9231,16,6.3
grid,base,R16_s1,16,1,0.663839,1.0000,16,4.8
grid,base,R16_s2,16,2,0.636928,1.9999,16,5.3
grid,base,R16_s4,16,4,0.626584,3.9839,16,6.5
grid,base,R24_s1,24,1,0.657506,1.0000,16,4.7
grid,base,R24_s2,24,2,0.635683,2.0000,16,5.2
grid,base,R24_s4,24,4,0.626123,3.9991,16,6.3
grid,base,R32_s1,32,1,0.654228,1.0000,16,4.7
grid,base,R32_s2,32,2,0.634482,2.0000,16,5.2
grid,base,R32_s4,32,4,0.626078,3.9999,16,6.3
grid,distill100M,R8_s2,8,2,0.642181,1.9885,16,5.3
grid,distill100M,R8_s4,8,4,0.636647,3.7087,16,6.3
grid,distill100M,R12_s1,12,1,0.659505,1.0000,16,4.6
grid,distill100M,R12_s2,12,2,0.641301,1.9990,16,5.2
grid,distill100M,R12_s4,12,4,0.636890,3.9393,16,6.3
grid,distill100M,R16_s1,16,1,0.657330,1.0000,16,4.6
grid,distill100M,R16_s2,16,2,0.641265,1.9999,16,5.2
grid,distill100M,R16_s4,16,4,0.636921,3.9875,16,6.3
grid,distill100M,R24_s1,24,1,0.654273,1.0000,16,4.6
grid,distill100M,R24_s2,24,2,0.641135,2.0000,16,5.2
grid,distill100M,R24_s4,24,4,0.637040,3.9993,16,6.3
grid,distill100M,R32_s1,32,1,0.652899,1.0000,16,4.6
grid,distill100M,R32_s2,32,2,0.640717,2.0000,16,5.2
grid,distill100M,R32_s4,32,4,0.637212,3.9999,16,6.3
grid,base,R64_s1,64,1,0.647297,1.0000,16,7.9
grid,distill100M,R64_s1,64,1,0.649032,1.0000,16,4.6
