"# Per-layer functional displacement under residency (imposed: mask from the free forward's own logits, R=k min-logit from position 0, same scan as router_wasserstein.csv). rel_out = sum||y_masked-y_free|| / sum||y_free|| over the routed-experts module output on identical inputs; cos = mean token cosine(y_masked, y_free); usage_tv = total variation between dataset-mean free and masked-renormalised router distributions (aggregate expert-usage shift). Teacher-forced WildChat, base IT checkpoints. Producer: analysis/residency/functional_displacement.py"
model,family,R,layer,rel_out,cos,usage_tv,rel_to_input,n_tokens,verify_tie_flip_rate
lfm25-8b-a1b,lfm,4,0,0.35496,0.89326,0.19637,0.01061,17778,0.00565
lfm25-8b-a1b,lfm,4,1,0.44357,0.88135,0.12605,0.01055,17778,0.00565
lfm25-8b-a1b,lfm,4,2,0.37432,0.90713,0.10664,0.00883,17778,0.00565
lfm25-8b-a1b,lfm,4,3,0.10136,0.92939,0.14396,0.02942,17778,0.00565
lfm25-8b-a1b,lfm,4,4,0.27916,0.93501,0.23108,0.00819,17778,0.00565
lfm25-8b-a1b,lfm,4,5,0.33822,0.91847,0.13183,0.00959,17778,0.00565
lfm25-8b-a1b,lfm,4,6,0.36594,0.90276,0.14444,0.01144,17778,0.00565
lfm25-8b-a1b,lfm,4,7,0.25976,0.94646,0.14297,0.01487,17778,0.00565
lfm25-8b-a1b,lfm,4,8,0.30741,0.91264,0.27447,0.01070,17778,0.00565
lfm25-8b-a1b,lfm,4,9,0.34011,0.91101,0.18374,0.01083,17778,0.00565
lfm25-8b-a1b,lfm,4,10,0.34430,0.90871,0.20179,0.01218,17778,0.00565
lfm25-8b-a1b,lfm,4,11,0.26742,0.93924,0.20976,0.02255,17778,0.00565
lfm25-8b-a1b,lfm,4,12,0.28515,0.93750,0.28340,0.01461,17778,0.00565
lfm25-8b-a1b,lfm,4,13,0.28595,0.92916,0.20421,0.01310,17778,0.00565
lfm25-8b-a1b,lfm,4,14,0.46581,0.86632,0.19436,0.02676,17778,0.00565
lfm25-8b-a1b,lfm,4,15,0.22153,0.89473,0.21196,0.03599,17778,0.00565
lfm25-8b-a1b,lfm,4,16,0.37517,0.88962,0.23330,0.02761,17778,0.00565
lfm25-8b-a1b,lfm,4,17,0.45027,0.88638,0.21580,0.03113,17778,0.00565
lfm25-8b-a1b,lfm,4,18,0.40004,0.89869,0.20173,0.03562,17778,0.00565
lfm25-8b-a1b,lfm,4,19,0.21795,0.91151,0.21926,0.03462,17778,0.00565
lfm25-8b-a1b,lfm,4,20,0.34070,0.91457,0.21162,0.03862,17778,0.00565
lfm25-8b-a1b,lfm,4,21,0.34938,0.92238,0.25064,0.05391,17778,0.00565
olmoe-0125-instruct,olmoe,8,0,0.46271,0.83419,0.23457,0.00704,18703,0.00000
olmoe-0125-instruct,olmoe,8,1,0.31585,0.83155,0.25155,0.00693,18703,0.00000
olmoe-0125-instruct,olmoe,8,2,0.12168,0.83532,0.20202,0.00519,18703,0.00000
olmoe-0125-instruct,olmoe,8,3,0.33018,0.83895,0.22028,0.00585,18703,0.00000
olmoe-0125-instruct,olmoe,8,4,0.36428,0.85131,0.18978,0.00581,18703,0.00000
olmoe-0125-instruct,olmoe,8,5,0.46751,0.84494,0.19591,0.00635,18703,0.00000
olmoe-0125-instruct,olmoe,8,6,0.41236,0.84505,0.22562,0.00716,18703,0.00000
olmoe-0125-instruct,olmoe,8,7,0.49191,0.82439,0.21279,0.00820,18703,0.00000
olmoe-0125-instruct,olmoe,8,8,0.49247,0.79192,0.17797,0.01042,18703,0.00000
olmoe-0125-instruct,olmoe,8,9,0.47273,0.78275,0.21380,0.01371,18703,0.00000
olmoe-0125-instruct,olmoe,8,10,0.52204,0.76783,0.20422,0.01725,18703,0.00000
olmoe-0125-instruct,olmoe,8,11,0.50560,0.79007,0.17307,0.01809,18703,0.00000
olmoe-0125-instruct,olmoe,8,12,0.54734,0.78711,0.17906,0.02277,18703,0.00000
olmoe-0125-instruct,olmoe,8,13,0.51620,0.79495,0.17473,0.02351,18703,0.00000
olmoe-0125-instruct,olmoe,8,14,0.51071,0.80696,0.20235,0.03182,18703,0.00000
olmoe-0125-instruct,olmoe,8,15,0.46589,0.84193,0.23075,0.04844,18703,0.00000
qwen35-35b-a3b-instruct,qwen35,8,0,0.92236,0.72664,0.45012,0.00832,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,1,0.88296,0.73963,0.35954,0.01010,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,2,0.72742,0.80260,0.30919,0.00795,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,3,0.64784,0.77620,0.45387,0.00662,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,4,0.67573,0.80369,0.45066,0.00797,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,5,0.57407,0.84275,0.41702,0.00734,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,6,0.54356,0.85437,0.38681,0.00693,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,7,0.48124,0.86094,0.41067,0.00649,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,8,0.45140,0.87478,0.45399,0.00577,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,9,0.48301,0.87228,0.44396,0.00645,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,10,0.59848,0.83681,0.39728,0.00885,17881,0.00000
qwen35-35b-a3b-instruct,qwen35,8,11,0.70917,0.79982,0.38593,0.01092,17881,0.00000
