"# gpt-oss downstream deltas: ten 0-shot tasks (limit 500), free routing vs untrained R=k min_logit residency on the same model. Instruct-only models: accuracy deltas are the domain-neutral measure; no BPB cells by design. Producer: analysis/ple/gptoss_downstream.py"
model,arm,E,k,arc_easy,arc_challenge,hellaswag,piqa,sciq,winogrande,openbookqa,boolq,lambada_openai,copa,mean_acc
gptoss20b_R4,free,32,4,0.7640,0.4160,0.4240,0.7560,0.9100,0.6580,0.2680,0.7500,0.1780,0.8000,0.5924
gptoss20b_R4,R4,32,4,0.7000,0.3480,0.4020,0.7420,0.8780,0.6460,0.2560,0.6480,0.1480,0.7900,0.5558
gptoss20b_R6,R6,32,4,0.7220,0.3780,0.4120,0.7420,0.8880,0.6620,0.2580,0.7120,0.1620,0.7900,0.5726
gptoss20b_R8,R8,32,4,0.7320,0.4000,0.4120,0.7520,0.9020,0.6680,0.2640,0.6460,0.1660,0.8100,0.5752
gptoss120b_R4,free,128,4,0.7860,0.4820,0.4380,0.7780,0.9420,0.7260,0.2760,0.8520,0.0660,0.7600,0.6106
gptoss120b_R4,R4,128,4,0.7540,0.3820,0.3880,0.7580,0.8940,0.6480,0.2640,0.7380,0.0480,0.7600,0.5634
gptoss120b_R6,R6,128,4,0.7520,0.4160,0.4020,0.7660,0.8940,0.6680,0.2500,0.7660,0.0560,0.7400,0.5710
gptoss120b_R8,R8,128,4,0.7600,0.4260,0.4000,0.7700,0.9060,0.6560,0.2540,0.7860,0.0540,0.8000,0.5812
gptoss120b_R12,R12,128,4,0.7660,0.4380,0.4200,0.7540,0.9120,0.6560,0.2660,0.7760,0.0580,0.8000,0.5846
gptoss120b_R16,R16,128,4,0.7760,0.4340,0.4060,0.7860,0.9040,0.6720,0.2580,0.7820,0.0540,0.7300,0.5802
gptoss120b_R32,R32,128,4,0.7620,0.4440,0.4280,0.7740,0.9100,0.6860,0.2740,0.8160,0.0660,0.7600,0.5920
