"# Granularity-law ladder, training-free, min_logit <=1 swap/token, base checkpoints, byte-identical audited slice per tokenizer. damage = bpb - free bpb of the same model. Producer: analysis/ple/granularity_ladder.py"
model,E,k,cell,R,frac_pct,bpb,damage,n_seq,secs
lfm25,32,4,free,,,0.730741,,16,4.4
lfm25,32,4,R4,4,12.50,0.788010,+0.057269,16,1.9
gemma4,128,8,free,,,0.645284,,16,11.3
gemma4,128,8,R16,16,12.50,0.671420,+0.026136,16,5.6
gemma4,128,8,R12,12,9.38,0.681895,+0.036612,16,4.7
gemma4,128,8,R8,8,6.25,0.699615,+0.054331,16,4.7
lfm25,32,4,free,,,0.730734,,16,5.6
lfm25,32,4,R8,8,25.00,0.761297,+0.030563,16,2.0
gemma4,128,8,free,,,0.644585,,16,7.5
gemma4,128,8,R32,32,25.00,0.654574,+0.009989,16,5.7
