# imposition dose curve at 1e19 (full 20-iteration test split, BPB = CE/2.9780, producer analysis/residency/impose_dose_csv.py from sweep_eval.csv imposeR<R> rows); moe_coarse_1e19: temporal at R=6 reads 1.0678 BPB, imposed full MoE first beats it at R=48 (8k), crossing near R=42 (7.0k); moe_fine_g3_1e19: temporal at R=18 reads 1.0652 BPB, imposed full MoE first beats it at R=192 (11k), crossing near R=157 (8.7k)
run,grain,E,k,R,R_over_k,test_CE,test_BPB,delta_bpb_vs_unconstrained
moe_coarse_1e19,1,64,6,6,1.00,4.414184,1.4823,+0.4312
moe_coarse_1e19,1,64,6,12,2.00,3.735960,1.2545,+0.2034
moe_coarse_1e19,1,64,6,24,4.00,3.313241,1.1126,+0.0615
moe_coarse_1e19,1,64,6,48,8.00,3.145990,1.0564,+0.0053
moe_coarse_1e19,1,64,6,64,10.67,3.130150,1.0511,+0.0000
moe_fine_g3_1e19,3,192,18,18,1.00,4.928258,1.6549,+0.5945
moe_fine_g3_1e19,3,192,18,36,2.00,4.074250,1.3681,+0.3077
moe_fine_g3_1e19,3,192,18,72,4.00,3.416032,1.1471,+0.0867
moe_fine_g3_1e19,3,192,18,144,8.00,3.178169,1.0672,+0.0068
moe_fine_g3_1e19,3,192,18,192,10.67,3.157783,1.0604,+0.0000
