"# Generative benchmarks under decode-time residency: batch=1, chat template, greedy, prefill free, stateful rule on generated tokens only (decode_state.py, parity-tested vs the batch scan). Same deterministic first-N items across arms. Producer: analysis/residency/instruct_genbench.py"
model,E,k,arm,R,task,metric,value,limit,max_gen_toks,secs
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,sample_len,10.000000,10,640,299
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,10,640,299
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match_stderr,strict-match",0.000000,10,640,299
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.700000,10,640,299
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match_stderr,flexible-extract",0.152753,10,640,299
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,sample_len,10.000000,10,640,277
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,"exact_match,strict-match",0.100000,10,640,277
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,"exact_match_stderr,strict-match",0.100000,10,640,277
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.400000,10,640,277
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,"exact_match_stderr,flexible-extract",0.163299,10,640,277
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,640,680
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,640,680
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.685000,200,640,680
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,640,661
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,640,661
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.685000,200,640,661
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,1024,1370
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,1024,1370
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.260000,200,1024,1370
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,640,623
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,640,623
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.685000,200,640,623
olmoe_instruct,64,8,free,,ifeval,sample_len,200.000000,200,640,1689
olmoe_instruct,64,8,free,,ifeval,"prompt_level_strict_acc,none",0.565000,200,640,1689
olmoe_instruct,64,8,free,,ifeval,"inst_level_strict_acc,none",0.682390,200,640,1689
olmoe_instruct,64,8,free,,ifeval,"prompt_level_loose_acc,none",0.620000,200,640,1689
olmoe_instruct,64,8,free,,ifeval,"inst_level_loose_acc,none",0.735849,200,640,1689
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,1024,1262
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,1024,1262
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.260000,200,1024,1262
lfm25_instruct,32,4,free,,ifeval,sample_len,200.000000,200,1024,4069
lfm25_instruct,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.255000,200,1024,4069
lfm25_instruct,32,4,free,,ifeval,"inst_level_strict_acc,none",0.440252,200,1024,4069
lfm25_instruct,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.265000,200,1024,4069
lfm25_instruct,32,4,free,,ifeval,"inst_level_loose_acc,none",0.443396,200,1024,4069
lfm25_instruct,32,4,free,,humaneval_instruct,sample_len,164.000000,full,1024,1057
lfm25_instruct,32,4,free,,humaneval_instruct,"pass@1,create_test",0.646341,full,1024,1057
lfm25_instruct,32,4,free,,mmlu_flan_cot_fewshot,sample_len,228.000000,4,1024,1512
lfm25_instruct,32,4,free,,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.100877,4,1024,1512
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,1024,1753
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,1024,1753
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.260000,200,1024,1753
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,1024,1751
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,strict-match",0.000000,200,1024,1751
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.260000,200,1024,1751
lfm25_instruct,32,4,R4,4,ifeval,sample_len,200.000000,200,1024,5911
lfm25_instruct,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.250000,200,1024,5911
lfm25_instruct,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.427673,200,1024,5911
lfm25_instruct,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.260000,200,1024,5911
lfm25_instruct,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.433962,200,1024,5911
lfm25_instruct,32,4,R4,4,humaneval_instruct,sample_len,164.000000,full,1024,1677
lfm25_instruct,32,4,R4,4,humaneval_instruct,"pass@1,create_test",0.518293,full,1024,1677
lfm25_instruct,32,4,R4,4,mmlu_flan_cot_fewshot,sample_len,228.000000,4,1024,1931
lfm25_instruct,32,4,R4,4,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.048246,4,1024,1931
