"# Self-CE of instruct models on their own frozen greedy trajectories (gen_trajectories.py, 500 WildChat prompts). Prefill free, temporal rule enforced from first response token (scan warmed on prompt), CE on response tokens only, batch=1, min_logit <=1 swap/token, model-own gate convention. bits_per_byte over utf8 response bytes. Producer: analysis/residency/instruct_selfce.py"
model,E,k,arm,R,frac_pct,ce_nats_per_tok,bits_per_byte,ce_think,ce_answer,think_tokens,answer_tokens,resp_tokens,resp_bytes,n_traj,secs
olmoe_instruct,64,8,free,,,0.353810,0.120532,,0.353810,0,175920,175920,745002,496,12.3
olmoe_instruct,64,8,R8,8,12.50,1.296664,0.441733,,1.296664,0,175920,175920,745002,496,10.6
lfm25_instruct,32,4,free,,,0.395934,0.124121,0.405152,0.248259,176368,11009,187377,862317,498,11.5
lfm25_instruct,32,4,R4,4,12.50,0.703713,0.220607,0.703105,0.713456,176368,11009,187377,862317,498,12.6
gemma4_instruct,128,8,free,,,0.139135,0.047382,,0.139135,0,170114,170114,720675,497,31.3
gemma4_instruct,128,8,R8,8,6.25,0.518822,0.176682,,0.518822,0,170114,170114,720675,497,30.0
gemma4_instruct,128,8,R16,16,12.50,0.349836,0.119135,,0.349836,0,170114,170114,720675,497,29.7
qwen35_instruct,256,8,free,,,0.228289,0.083507,0.248478,0.227740,5029,185029,190058,749587,498,42.5
qwen35_instruct,256,8,R8,8,3.12,0.437633,0.160084,0.541872,0.434800,5029,185029,190058,749587,498,41.7
qwen35_instruct,256,8,R32,32,12.50,0.341400,0.124883,0.404386,0.339688,5029,185029,190058,749587,498,41.3
olmoe_instruct,64,8,R8cold,8,12.50,1.294084,0.440854,,1.294084,0,175920,175920,745002,496,17.8
lfm25_instruct,32,4,R4cold,4,12.50,0.703549,0.220556,0.702976,0.712728,176368,11009,187377,862317,498,16.7
gemma4_instruct,128,8,R8cold,8,6.25,0.518822,0.176682,,0.518822,0,170114,170114,720675,497,35.4
gemma4_instruct,128,8,R16cold,16,12.50,0.349836,0.119135,,0.349836,0,170114,170114,720675,497,30.4
qwen35_instruct,256,8,R8cold,8,3.12,0.434682,0.159005,0.517589,0.432428,5029,185029,190058,749587,498,46.8
qwen35_instruct,256,8,R32cold,32,12.50,0.336159,0.122966,0.378244,0.335016,5029,185029,190058,749587,498,43.8
