model,age_admissions,shipped_survival,fifo_box_survival
"8M active, coarse (6 of 64 experts)",0,1.0000,1
"8M active, coarse (6 of 64 experts)",1,0.8037,1
"8M active, coarse (6 of 64 experts)",2,0.5799,1
"8M active, coarse (6 of 64 experts)",3,0.4338,1
"8M active, coarse (6 of 64 experts)",4,0.3242,1
"8M active, coarse (6 of 64 experts)",5,0.2557,1
"8M active, coarse (6 of 64 experts)",6,0.1963,0
"8M active, coarse (6 of 64 experts)",7,0.1689,0
"8M active, coarse (6 of 64 experts)",8,0.1324,0
"8M active, coarse (6 of 64 experts)",9,0.1096,0
"8M active, coarse (6 of 64 experts)",10,0.0959,0
"8M active, coarse (6 of 64 experts)",11,0.0822,0
"8M active, coarse (6 of 64 experts)",12,0.0685,0
"8M active, coarse (6 of 64 experts)",13,0.0685,0
"8M active, coarse (6 of 64 experts)",14,0.0639,0
"8M active, coarse (6 of 64 experts)",15,0.0594,0
"8M active, coarse (6 of 64 experts)",16,0.0594,0
"8M active, coarse (6 of 64 experts)",17,0.0594,0
"8M active, coarse (6 of 64 experts)",18,0.0365,0
"8M active, coarse (6 of 64 experts)",19,0.0320,0
"8M active, coarse (6 of 64 experts)",20,0.0183,0
"8M active, coarse (6 of 64 experts)",21,0.0183,0
"8M active, coarse (6 of 64 experts)",22,0.0137,0
"8M active, coarse (6 of 64 experts)",23,0.0091,0
"8M active, coarse (6 of 64 experts)",24,0.0091,0
"8M active, coarse (6 of 64 experts)",25,0.0091,0
"8M active, coarse (6 of 64 experts)",26,0.0091,0
"8M active, coarse (6 of 64 experts)",27,0.0091,0
"8M active, coarse (6 of 64 experts)",28,0.0000,0
"8M active, coarse (6 of 64 experts)",29,0.0000,0
"8M active, coarse (6 of 64 experts)",30,0.0000,0
"8M active, coarse (6 of 64 experts)",31,0.0000,0
"8M active, coarse (6 of 64 experts)",32,0.0000,0
"15M active, coarse (6 of 64 experts)",0,1.0000,1
"15M active, coarse (6 of 64 experts)",1,0.8037,1
"15M active, coarse (6 of 64 experts)",2,0.5936,1
"15M active, coarse (6 of 64 experts)",3,0.4429,1
"15M active, coarse (6 of 64 experts)",4,0.3562,1
"15M active, coarse (6 of 64 experts)",5,0.2922,1
"15M active, coarse (6 of 64 experts)",6,0.2192,0
"15M active, coarse (6 of 64 experts)",7,0.1872,0
"15M active, coarse (6 of 64 experts)",8,0.1644,0
"15M active, coarse (6 of 64 experts)",9,0.1187,0
"15M active, coarse (6 of 64 experts)",10,0.1096,0
"15M active, coarse (6 of 64 experts)",11,0.1050,0
"15M active, coarse (6 of 64 experts)",12,0.0731,0
"15M active, coarse (6 of 64 experts)",13,0.0685,0
"15M active, coarse (6 of 64 experts)",14,0.0639,0
"15M active, coarse (6 of 64 experts)",15,0.0548,0
"15M active, coarse (6 of 64 experts)",16,0.0548,0
"15M active, coarse (6 of 64 experts)",17,0.0502,0
"15M active, coarse (6 of 64 experts)",18,0.0411,0
"15M active, coarse (6 of 64 experts)",19,0.0274,0
"15M active, coarse (6 of 64 experts)",20,0.0274,0
"15M active, coarse (6 of 64 experts)",21,0.0228,0
"15M active, coarse (6 of 64 experts)",22,0.0091,0
"15M active, coarse (6 of 64 experts)",23,0.0046,0
"15M active, coarse (6 of 64 experts)",24,0.0046,0
"15M active, coarse (6 of 64 experts)",25,0.0046,0
"15M active, coarse (6 of 64 experts)",26,0.0046,0
"15M active, coarse (6 of 64 experts)",27,0.0046,0
"15M active, coarse (6 of 64 experts)",28,0.0046,0
"15M active, coarse (6 of 64 experts)",29,0.0046,0
"15M active, coarse (6 of 64 experts)",30,0.0046,0
"15M active, coarse (6 of 64 experts)",31,0.0046,0
"15M active, coarse (6 of 64 experts)",32,0.0046,0
"38M active, coarse (6 of 64 experts)",0,1.0000,1
"38M active, coarse (6 of 64 experts)",1,0.7558,1
"38M active, coarse (6 of 64 experts)",2,0.5484,1
"38M active, coarse (6 of 64 experts)",3,0.3963,1
"38M active, coarse (6 of 64 experts)",4,0.2811,1
"38M active, coarse (6 of 64 experts)",5,0.2442,1
"38M active, coarse (6 of 64 experts)",6,0.2028,0
"38M active, coarse (6 of 64 experts)",7,0.1613,0
"38M active, coarse (6 of 64 experts)",8,0.1336,0
"38M active, coarse (6 of 64 experts)",9,0.1198,0
"38M active, coarse (6 of 64 experts)",10,0.1014,0
"38M active, coarse (6 of 64 experts)",11,0.0783,0
"38M active, coarse (6 of 64 experts)",12,0.0783,0
"38M active, coarse (6 of 64 experts)",13,0.0691,0
"38M active, coarse (6 of 64 experts)",14,0.0599,0
"38M active, coarse (6 of 64 experts)",15,0.0599,0
"38M active, coarse (6 of 64 experts)",16,0.0553,0
"38M active, coarse (6 of 64 experts)",17,0.0507,0
"38M active, coarse (6 of 64 experts)",18,0.0415,0
"38M active, coarse (6 of 64 experts)",19,0.0415,0
"38M active, coarse (6 of 64 experts)",20,0.0369,0
"38M active, coarse (6 of 64 experts)",21,0.0276,0
"38M active, coarse (6 of 64 experts)",22,0.0276,0
"38M active, coarse (6 of 64 experts)",23,0.0276,0
"38M active, coarse (6 of 64 experts)",24,0.0276,0
"38M active, coarse (6 of 64 experts)",25,0.0230,0
"38M active, coarse (6 of 64 experts)",26,0.0230,0
"38M active, coarse (6 of 64 experts)",27,0.0230,0
"38M active, coarse (6 of 64 experts)",28,0.0230,0
"38M active, coarse (6 of 64 experts)",29,0.0230,0
"38M active, coarse (6 of 64 experts)",30,0.0184,0
"38M active, coarse (6 of 64 experts)",31,0.0184,0
"38M active, coarse (6 of 64 experts)",32,0.0184,0
