model,window_tokens_or_stat,value
"8M active, coarse (6 of 64 experts)",1,0.4897
"8M active, coarse (6 of 64 experts)",2,0.5998
"8M active, coarse (6 of 64 experts)",4,0.7203
"8M active, coarse (6 of 64 experts)",6,0.7734
"8M active, coarse (6 of 64 experts)",8,0.8098
"8M active, coarse (6 of 64 experts)",12,0.8867
"8M active, coarse (6 of 64 experts)",16,0.9168
"8M active, coarse (6 of 64 experts)",24,0.9485
"8M active, coarse (6 of 64 experts)",32,0.9651
"8M active, coarse (6 of 64 experts)",48,0.9842
"8M active, coarse (6 of 64 experts)",64,0.9921
"8M active, coarse (6 of 64 experts)",96,0.9952
"8M active, coarse (6 of 64 experts)",mean_interval,6.0547
"8M active, coarse (6 of 64 experts)",median_interval,2.0000
"15M active, coarse (6 of 64 experts)",1,0.5024
"15M active, coarse (6 of 64 experts)",2,0.5808
"15M active, coarse (6 of 64 experts)",4,0.7044
"15M active, coarse (6 of 64 experts)",6,0.7536
"15M active, coarse (6 of 64 experts)",8,0.7932
"15M active, coarse (6 of 64 experts)",12,0.8748
"15M active, coarse (6 of 64 experts)",16,0.9057
"15M active, coarse (6 of 64 experts)",24,0.9437
"15M active, coarse (6 of 64 experts)",32,0.9580
"15M active, coarse (6 of 64 experts)",48,0.9826
"15M active, coarse (6 of 64 experts)",64,0.9897
"15M active, coarse (6 of 64 experts)",96,0.9960
"15M active, coarse (6 of 64 experts)",mean_interval,6.4089
"15M active, coarse (6 of 64 experts)",median_interval,1.0000
"38M active, coarse (6 of 64 experts)",1,0.4388
"38M active, coarse (6 of 64 experts)",2,0.5556
"38M active, coarse (6 of 64 experts)",4,0.6653
"38M active, coarse (6 of 64 experts)",6,0.7393
"38M active, coarse (6 of 64 experts)",8,0.7973
"38M active, coarse (6 of 64 experts)",12,0.8736
"38M active, coarse (6 of 64 experts)",16,0.9189
"38M active, coarse (6 of 64 experts)",24,0.9459
"38M active, coarse (6 of 64 experts)",32,0.9610
"38M active, coarse (6 of 64 experts)",48,0.9785
"38M active, coarse (6 of 64 experts)",64,0.9849
"38M active, coarse (6 of 64 experts)",96,0.9897
"38M active, coarse (6 of 64 experts)",mean_interval,7.1017
"38M active, coarse (6 of 64 experts)",median_interval,2.0000
