model,nomination_protocol,eviction_kernel,set_coverage,ci_lo,ci_hi,swap_rate,eff_experts,union,max_residency
"8M active, coarse (6 of 64 experts)",trace,"min_logit (shipped, logged)",0.4498,0.4300,0.4977,1.0000,23.86,44,0.1537
"8M active, coarse (6 of 64 experts)",trace,lru = FIFO (box on admissions),0.2626,0.2367,0.2960,0.8219,31.17,44,0.5845
"8M active, coarse (6 of 64 experts)",trace,LRD (refresh on demand),0.4178,0.3935,0.4680,0.8676,26.06,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=1",0.2945,0.2603,0.3432,0.8219,31.24,44,0.5890
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=2",0.4186,0.3995,0.4711,0.8858,27.25,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=4",0.4224,0.3995,0.4756,0.8858,26.12,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=8",0.4300,0.4079,0.4680,0.8630,24.28,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=16",0.3189,0.2823,0.3653,0.7808,22.57,44,0.6484
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=32",0.3196,0.2770,0.3653,0.7443,19.27,44,0.7991
"8M active, coarse (6 of 64 experts)",trace,"box-W demand count, W=64",0.3044,0.2747,0.3402,0.7489,18.21,44,0.8858
"8M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.5 (tau~2 tok)",0.4231,0.4018,0.4779,0.8950,25.69,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.25 (tau~4 tok)",0.4414,0.4178,0.4871,0.8995,23.86,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.125 (tau~8 tok)",0.4505,0.4285,0.4962,0.8539,21.62,44,0.9224
"8M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.0625 (tau~16 tok)",0.3250,0.2892,0.3706,0.7900,20.10,44,0.7078
"8M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.03125 (tau~32 tok)",0.3097,0.2725,0.3508,0.7626,18.61,44,0.8721
