"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
arc_easy,acc,0.7698,0.6364,0.6713,0.7020,0.0094,-0.0678,+0.0307,0.4918,0.2616,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6751,0.0096,-0.0926,+0.0135,0.3872,0.2978,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
arc_challenge,acc,0.4667,0.3055,0.3439,0.3558,0.0140,-0.1109,+0.0119,0.3120,0.2382,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3788,0.0142,-0.1186,+0.0068,0.2319,0.1878,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
hellaswag,acc,0.5847,0.4864,0.4859,0.4787,0.0050,-0.1060,-0.0072,-0.0783,-0.0051,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6458,0.0048,-0.1351,-0.0069,-0.1249,-0.0674,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
piqa,acc,0.7845,0.7242,0.7280,0.7388,0.0102,-0.0457,+0.0108,0.2421,0.0630,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
piqa,acc_norm,0.7971,0.7203,0.7367,0.7367,0.0103,-0.0604,+0.0000,0.2135,0.2135,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
winogrande,acc,0.6938,0.5691,0.5991,0.5833,0.0139,-0.1105,-0.0158,0.1139,0.2406,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
openbookqa,acc,0.3260,0.2600,0.2200,0.2460,0.0193,-0.0800,+0.0260,-0.2121,-0.6061,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3840,0.0218,-0.0600,+0.0160,0.1429,-0.0857,ce_free_0_1_15_200M,"0,1,15",200015872,0.791767
