group,name,metric,value,note
trained_cell,ce_free2,final_bpb,0.81444,"CE surface, NO PLE, MoE layers 0-1 unconstrained, +87.5% resident memory"
trained_cell,ce_free2,recovery_pct,93.18,"CE surface, NO PLE, MoE layers 0-1 unconstrained, +87.5% resident memory"
trained_cell,ce_free2,train_tokens,50003968,
trained_cell,ce_free2,rank,off,
trained_cell,ce_free2,lora_r,32,
trained_cell,ce_free2,free_set,first 2,
trained_cell,ce_free2,ple_params,0,
trained_cell,ce_free2,mb_x_accum,16x1,
trained_cell,ce_free2,table_wd,0.0,
trained_cell,ce_free2,calib_init,False,
trained_cell,ce_free2,ple_start_tokens,0,
trained_cell,ce_free2,final_swap_rate,0.999685,
trained_cell,ce_free2,final_usage_entropy,0.998008,
trained_cell,ce_free2,bpb_curve,10M:0.839348|20M:0.825441|30M:0.819173|40M:0.816263|50M:0.814440,
trained_cell,ce_free2,train_bpb_curve,10M:0.938298|20M:0.861255|30M:0.846554|40M:0.842027|50M:0.842427,
trained_cell,ce_free_0_1_14_15,final_bpb,0.786275,"CE surface, NO PLE, MoE layers 0/1/14/15 unconstrained, +175.0% resident memory"
trained_cell,ce_free_0_1_14_15,recovery_pct,94.53,"CE surface, NO PLE, MoE layers 0/1/14/15 unconstrained, +175.0% resident memory"
trained_cell,ce_free_0_1_14_15,train_tokens,50003968,
trained_cell,ce_free_0_1_14_15,rank,off,
trained_cell,ce_free_0_1_14_15,lora_r,32,
trained_cell,ce_free_0_1_14_15,free_set,"0,1,14,15",
trained_cell,ce_free_0_1_14_15,ple_params,0,
trained_cell,ce_free_0_1_14_15,mb_x_accum,16x1,
trained_cell,ce_free_0_1_14_15,table_wd,0.0,
trained_cell,ce_free_0_1_14_15,calib_init,False,
trained_cell,ce_free_0_1_14_15,ple_start_tokens,0,
trained_cell,ce_free_0_1_14_15,final_swap_rate,0.999709,
trained_cell,ce_free_0_1_14_15,final_usage_entropy,0.998171,
trained_cell,ce_free_0_1_14_15,bpb_curve,10M:0.801246|20M:0.791596|30M:0.788088|40M:0.786252|50M:0.786275,
trained_cell,ce_free_0_1_14_15,train_bpb_curve,10M:0.893532|20M:0.825025|30M:0.813651|40M:0.811012|50M:0.812320,
trained_cell,ce_free_0_1_14_15_250M,final_bpb,0.781199,"CE surface, NO PLE, MoE layers 0/1/14/15 unconstrained, +175.0% resident memory"
trained_cell,ce_free_0_1_14_15_250M,recovery_pct,94.78,"CE surface, NO PLE, MoE layers 0/1/14/15 unconstrained, +175.0% resident memory"
trained_cell,ce_free_0_1_14_15_250M,train_tokens,250019840,
trained_cell,ce_free_0_1_14_15_250M,rank,off,
trained_cell,ce_free_0_1_14_15_250M,lora_r,32,
trained_cell,ce_free_0_1_14_15_250M,free_set,"0,1,14,15",
trained_cell,ce_free_0_1_14_15_250M,ple_params,0,
trained_cell,ce_free_0_1_14_15_250M,mb_x_accum,16x1,
trained_cell,ce_free_0_1_14_15_250M,table_wd,0.0,
trained_cell,ce_free_0_1_14_15_250M,calib_init,False,
trained_cell,ce_free_0_1_14_15_250M,ple_start_tokens,0,
trained_cell,ce_free_0_1_14_15_250M,final_swap_rate,0.999727,
trained_cell,ce_free_0_1_14_15_250M,final_usage_entropy,0.998487,
trained_cell,ce_free_0_1_14_15_250M,bpb_curve,10M:0.801246|20M:0.791596|30M:0.788088|40M:0.786252|50M:0.786275|60M:0.784560|70M:0.784062|80M:0.783782|90M:0.783184|100M:0.783358|110M:0.783233|120M:0.782688|130M:0.782659|140M:0.782858|150M:0.782432|160M:0.781951|170M:0.781992|180M:0.782275|190M:0.782090|200M:0.781871|210M:0.781490|220M:0.781767|230M:0.781671|240M:0.781255|250M:0.781199,
trained_cell,ce_free_0_1_14_15_250M,train_bpb_curve,10M:0.893532|20M:0.825025|30M:0.813651|40M:0.811012|50M:0.812320|60M:0.807752|70M:0.808844|80M:0.809427|90M:0.811748|100M:0.808863|110M:0.807523|120M:0.808017|130M:0.807038|140M:0.804934|150M:0.809717|160M:0.806007|170M:0.805821|180M:0.806849|190M:0.805229|200M:0.803817|210M:0.807217|220M:0.804474|230M:0.806613|240M:0.806566|250M:0.806443,
trained_cell,ce_free_0_1_15,final_bpb,0.79781,"CE surface, NO PLE, MoE layers 0/1/15 unconstrained, +131.2% resident memory"
trained_cell,ce_free_0_1_15,recovery_pct,93.98,"CE surface, NO PLE, MoE layers 0/1/15 unconstrained, +131.2% resident memory"
trained_cell,ce_free_0_1_15,train_tokens,50003968,
trained_cell,ce_free_0_1_15,rank,off,
