"# Length-mechanism analysis on the recovered surfaces (paired items, constrained vs free). cap-hit = within 8 tokens of the cell budget; blow-up = cap-hit either arm or >2x paired counterpart. toW/toR = flips right->wrong / wrong->right (WritingBench: critic-score delta beyond +-1 subset SD). bw_toW/bw_toR = blow-up count within each flip direction. wrong_bw/wrong_nb = constrained-arm wrong count among blown / non-blown scoreable items over n_bw/n_nb (WritingBench: MEAN critic-score DROP instead of counts). dlen = mean paired length delta (tokens); dlen_cap = part from cap-hit items. Producer: analysis/residency/length_extension.py"
surface,cell,n,dlen,dlen_cap,toW,toR,bw_toW,bw_toR,bw_all,wrong_bw,n_bw,wrong_nb,n_nb
MMLU,OLMoE,228,81.2,0.0,50,28,21,13,92,55,92,69,136
WritingBench,gemma4_base R16,150,-17.0,0.0,19,15,1,0,1,2.600,1,0.051,149
WritingBench,gemma4_base R8,150,-27.1,0.0,26,14,2,0,2,0.600,2,0.066,148
WritingBench,gemma4_d12 R16,150,11.1,0.0,26,26,0,0,0,0.000,0,-0.003,150
WritingBench,gemma4_d12 R8,150,8.8,18.4,21,15,2,0,2,2.000,2,0.015,148
WritingBench,lfm25 R4,150,57.5,2.1,24,5,15,3,53,0.502,53,0.202,97
WritingBench,oss120 R16,150,-102.9,-18.8,17,19,9,10,63,-0.010,63,0.025,87
WritingBench,oss120 R4,150,-114.1,-47.9,26,14,15,7,61,0.095,61,0.070,89
WritingBench,oss20 R4,150,-104.6,-58.3,17,7,12,7,48,0.292,48,0.118,102
WritingBench,qwen35_base R32,150,20.4,33.0,20,8,6,0,12,0.833,12,0.062,138
WritingBench,qwen35_base R8,150,51.7,47.8,22,8,3,2,14,0.786,14,0.081,136
WritingBench,qwen35_r2 R32,150,-36.2,-22.0,28,11,8,3,14,0.186,14,0.062,136
WritingBench,qwen35_r2 R8,150,-15.0,2.6,27,10,5,4,15,0.360,15,0.076,135
