# gemma MBPP dumps re-scored offline from stored raw generations (analysis/residency/mbpp_rescore.py): whole_block = the rule the recorded mbpp_gemma rows used (last fenced block executed verbatim), function_only = the model's `if __name__` self-test scaffold and trailing top-level asserts dropped before exec; stored = the recorded pass@1. 2026-09-04
record_arm,n,whole_block,stored,function_only,flipped,fail_to_pass,pass_to_fail
gemma4_base_rho0p5_m8192_R16,500,0.8860,0.8860,0.8960,5,5,0
gemma4_base_rho0p5_m8192_R8,500,0.7940,0.7920,0.8400,23,23,0
gemma4_ce_d7code_R16,500,0.8480,0.8420,0.8520,2,2,0
gemma4_ce_d7code_R8,500,0.7560,0.7500,0.7660,9,7,2
gemma4_ce_d7code_free,500,0.8860,0.8780,0.8840,3,1,2
gemma4_ce_d7code_m8192_R16,500,0.8920,0.8900,0.8940,3,2,1
gemma4_ce_d7code_m8192_R8,500,0.7980,0.7980,0.8120,9,8,1
gemma4_ce_d7code_m8192_free,500,0.9060,0.9020,0.9080,1,1,0
gemma4_ce_d7code_s1_R16,500,0.8580,0.8480,0.8620,6,4,2
gemma4_ce_d7code_s1_R8,500,0.7800,0.7740,0.7900,5,5,0
gemma4_ce_d7code_s1_free,500,0.8800,0.8800,0.8800,2,1,1
gemma4_ce_d7code_s1_m8192_R16,500,0.8880,0.8880,0.8900,7,4,3
gemma4_ce_d7code_s1_m8192_R8,500,0.8420,0.8360,0.8460,2,2,0
gemma4_ce_d7code_s1_m8192_free,500,0.8980,0.8960,0.8980,2,1,1
gemma4_ce_d7code_s2_R16,500,0.8560,0.8480,0.8500,3,0,3
gemma4_ce_d7code_s2_R8,500,0.7620,0.7540,0.7820,12,11,1
gemma4_ce_d7code_s2_free,500,0.8720,0.8720,0.8740,1,1,0
gemma4_ce_d7code_s2_m8192_R16,500,0.8740,0.8740,0.8700,2,0,2
gemma4_ce_d7code_s2_m8192_R8,500,0.8060,0.8060,0.8180,6,6,0
gemma4_ce_d7code_s2_m8192_free,500,0.9040,0.9020,0.9040,2,1,1
