# Qwen MBPP: stock lm_eval mbpp_instruct rows (3-shot, primed fence, first block, 1536 budget; re-scored offline from stored raw generations, reproducing the recorded aggregates) paired per item against the same record under the unified mbpp_chat producer (500 problems, 8192 budget, last block whole). Diagnostic; producer analysis/residency/mbpp_stock_pair.py
stock_record,unified_record,arm,n,stock,unified,delta_pts,agree,stock_fail_unified_pass,stock_pass_unified_fail,stock_at_cap_among_rescued,unified_capped_among_lost,paired_z
qwen35_code_base,qwen35_instruct_mbpp,free,500,0.7940,0.8000,+0.6,453,25,22,5,0,+0.44
qwen35_code_base,qwen35_instruct_mbpp,R8,500,0.7520,0.7520,+0.0,426,37,37,3,1,+0.00
qwen35_code_base,qwen35_instruct_mbpp,R32,500,0.7640,0.7900,+2.6,433,40,27,2,1,+1.59
qwen35_code_rebuild,qwen35_ce_rebuild_mbpp,free,500,0.7700,0.8020,+3.2,444,36,20,2,0,+2.14
qwen35_code_rebuild,qwen35_ce_rebuild_mbpp,R8,500,0.7680,0.7780,+1.0,443,31,26,5,0,+0.66
qwen35_code_rebuild,qwen35_ce_rebuild_mbpp,R32,500,0.7900,0.7920,+0.2,433,34,33,7,0,+0.12
qwen35_ce_digit10_code,qwen35_ce_digit10_mbpp,free,500,0.7740,0.8080,+3.4,447,35,18,4,2,+2.34
qwen35_ce_digit10_code,qwen35_ce_digit10_mbpp,R8,500,0.7660,0.7760,+1.0,437,34,29,7,1,+0.63
qwen35_ce_digit10_code,qwen35_ce_digit10_mbpp,R32,500,0.7720,0.8040,+3.2,434,41,25,10,1,+1.97
qwen35_ce_digit3_code,qwen35_ce_digit3_mbpp,free,500,0.7720,0.8060,+3.4,445,36,19,8,0,+2.29
qwen35_ce_digit3_code,qwen35_ce_digit3_mbpp,R8,500,0.7580,0.7880,+3.0,435,40,25,6,0,+1.86
qwen35_ce_digit3_code,qwen35_ce_digit3_mbpp,R32,500,0.7820,0.7920,+1.0,449,28,23,4,1,+0.70
qwen35_ce_online_klT2_lr3e-5_rho0_code,qwen35_ce_online_klT2_lr3e-5_rho0_mbpp,R8,500,0.7640,0.7700,+0.6,449,27,24,4,1,+0.42
qwen35_ce_online_klT2_lr3e-5_rho0_code,qwen35_ce_online_klT2_lr3e-5_rho0_mbpp,R32,500,0.7760,0.8000,+2.4,448,32,20,2,1,+1.66
qwen35_ce_online_klT2_mix_rho0_code,qwen35_ce_online_klT2_mix_rho0_mbpp,R8,500,0.7680,0.7820,+1.4,445,31,24,2,1,+0.94
qwen35_ce_online_klT2_mix_rho0_code,qwen35_ce_online_klT2_mix_rho0_mbpp,R32,500,0.7840,0.8040,+2.0,440,35,25,8,2,+1.29
qwen35_ce_online_klT2_mix39_rho0_code,qwen35_ce_online_klT2_mix39_rho0_mbpp,R8,500,0.7760,0.7840,+0.8,440,32,28,3,0,+0.52
qwen35_ce_online_klT2_mix39_rho0_code,qwen35_ce_online_klT2_mix39_rho0_mbpp,R32,500,0.7740,0.8000,+2.6,445,34,21,6,0,+1.75
qwen35_ce_online_klT2_mix_cont_rho0_code,qwen35_ce_online_klT2_mix_cont_rho0_mbpp,R8,500,0.7680,0.7600,-0.8,430,33,37,4,3,-0.48
qwen35_ce_online_klT2_mix_cont_rho0_code,qwen35_ce_online_klT2_mix_cont_rho0_mbpp,R32,500,0.7880,0.7720,-1.6,444,24,32,7,3,-1.07
qwen35_ce_online_fullpool_half_rho0_code,qwen35_ce_online_fullpool_half_rho0_mbpp,R8,500,0.7560,0.7760,+2.0,444,33,23,6,0,+1.34
qwen35_ce_online_fullpool_half_rho0_code,qwen35_ce_online_fullpool_half_rho0_mbpp,R32,500,0.7740,0.7840,+1.0,451,27,22,1,0,+0.71
qwen35_ce_online_fullpool_full_rho0_code,qwen35_ce_online_fullpool_full_rho0_mbpp,free,500,0.7840,0.7980,+1.4,451,28,21,9,0,+1.00
qwen35_ce_online_fullpool_full_rho0_code,qwen35_ce_online_fullpool_full_rho0_mbpp,R8,500,0.7640,0.7900,+2.6,441,36,23,3,0,+1.69
qwen35_ce_online_fullpool_full_rho0_code,qwen35_ce_online_fullpool_full_rho0_mbpp,R32,500,0.7660,0.8080,+4.2,447,37,16,5,0,+2.88
qwen35_remoe_lr1e-4_rho0_code,qwen35_remoe_lr1e-4_rho0_mbpp,free,500,0.7940,0.8040,+1.0,449,28,23,3,1,+0.70
qwen35_skliar_C128_lam0_code,qwen35_skliar_C128_lam0_mbpp,R8,500,0.8060,0.8100,+0.4,456,23,21,4,1,+0.30
qwen35_skliar_C128_lam0p4_code,qwen35_skliar_C128_lam0p4_mbpp,R8,500,0.7860,0.8320,+4.6,437,43,20,5,0,+2.90
qwen35_skliar_C8_lam0p4_code,qwen35_skliar_C8_lam0p4_mbpp,R8,500,0.7440,0.7600,+1.6,430,39,31,6,1,+0.96
qwen35_ce_online_think_code,qwen35_ce_online_think_mbpp,free,500,0.7800,0.8720,+9.2,426,60,14,2,3,+5.35
qwen35_ce_online_think_code,qwen35_ce_online_think_mbpp,R8,500,0.7640,0.8240,+6.0,408,61,31,4,6,+3.13
qwen35_ce_online_think_code,qwen35_ce_online_think_mbpp,R32,500,0.7780,0.8380,+6.0,414,58,28,4,6,+3.23
qwen35_think_on_fulln_code,qwen35_think_on_fulln_mbpp,free,500,0.8040,0.8680,+6.4,426,53,21,4,0,+3.72
qwen35_think_on_fulln_code,qwen35_think_on_fulln_mbpp,R8,500,0.7500,0.8040,+5.4,393,67,40,0,2,+2.61
qwen35_think_on_fulln_code,qwen35_think_on_fulln_mbpp,R32,500,0.7660,0.8580,+9.2,410,68,22,1,0,+4.85
