run,budget,regime,grain,layer,window_w,stride,positions_per_seq,n_sequences,token_jaccard_shift,context_jaccard_shift,context_over_token
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,6,26,79,64,0.50161,0.67385,1.3434
flame38m_g1_temporal,1e18,temporal,coarse 6/64,3,6,26,79,64,0.46759,0.72515,1.5508
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,6,26,79,64,0.45046,0.74844,1.6615
flame38m_g1_temporal,1e18,temporal,coarse 6/64,5,6,26,79,64,0.4597,0.74162,1.6133
flame38m_g1_temporal,1e18,temporal,coarse 6/64,6,6,26,79,64,0.48198,0.75214,1.5605
flame38m_g1_temporal,1e18,temporal,coarse 6/64,7,6,26,79,64,0.51022,0.75538,1.4805
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,6,26,79,64,0.52018,0.74675,1.4356
flame38m_g1_temporal,1e18,temporal,coarse 6/64,9,6,26,79,64,0.50454,0.71529,1.4177
flame38m_g1_moe,1e18,full,coarse 6/64,2,6,26,79,64,0.87759,0.25969,0.2959
flame38m_g1_moe,1e18,full,coarse 6/64,3,6,26,79,64,0.8524,0.39407,0.4623
flame38m_g1_moe,1e18,full,coarse 6/64,4,6,26,79,64,0.83815,0.49803,0.5942
flame38m_g1_moe,1e18,full,coarse 6/64,5,6,26,79,64,0.83002,0.5385,0.6488
flame38m_g1_moe,1e18,full,coarse 6/64,6,6,26,79,64,0.82712,0.56427,0.6822
flame38m_g1_moe,1e18,full,coarse 6/64,7,6,26,79,64,0.85123,0.58644,0.6889
flame38m_g1_moe,1e18,full,coarse 6/64,8,6,26,79,64,0.84592,0.61086,0.7221
flame38m_g1_moe,1e18,full,coarse 6/64,9,6,26,79,64,0.8404,0.61633,0.7334
flame38m_g3_temporal,1e18,temporal,fine 18/192,2,18,74,28,64,0.32901,0.69558,2.1142
flame38m_g3_temporal,1e18,temporal,fine 18/192,3,18,74,28,64,0.33781,0.73536,2.1768
flame38m_g3_temporal,1e18,temporal,fine 18/192,4,18,74,28,64,0.37506,0.74505,1.9865
flame38m_g3_temporal,1e18,temporal,fine 18/192,5,18,74,28,64,0.39783,0.74657,1.8766
flame38m_g3_temporal,1e18,temporal,fine 18/192,6,18,74,28,64,0.41258,0.76655,1.8579
flame38m_g3_temporal,1e18,temporal,fine 18/192,7,18,74,28,64,0.40927,0.76127,1.8601
flame38m_g3_temporal,1e18,temporal,fine 18/192,8,18,74,28,64,0.42066,0.77645,1.8458
flame38m_g3_temporal,1e18,temporal,fine 18/192,9,18,74,28,64,0.38676,0.72602,1.8772
flame38m_g3_moe,1e18,full,fine 18/192,2,18,74,28,64,0.87657,0.35493,0.4049
flame38m_g3_moe,1e18,full,fine 18/192,3,18,74,28,64,0.82544,0.5673,0.6873
flame38m_g3_moe,1e18,full,fine 18/192,4,18,74,28,64,0.83563,0.56728,0.6789
flame38m_g3_moe,1e18,full,fine 18/192,5,18,74,28,64,0.85218,0.56139,0.6588
flame38m_g3_moe,1e18,full,fine 18/192,6,18,74,28,64,0.8391,0.61899,0.7377
flame38m_g3_moe,1e18,full,fine 18/192,7,18,74,28,64,0.83941,0.60963,0.7263
flame38m_g3_moe,1e18,full,fine 18/192,8,18,74,28,64,0.83922,0.64151,0.7644
flame38m_g3_moe,1e18,full,fine 18/192,9,18,74,28,64,0.84089,0.66782,0.7942
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2,6,26,79,64,0.55533,0.69276,1.2475
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,3,6,26,79,64,0.54025,0.73869,1.3673
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4,6,26,79,64,0.54439,0.76099,1.3979
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,5,6,26,79,64,0.54179,0.75826,1.3996
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,6,6,26,79,64,0.49996,0.77394,1.548
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,7,6,26,79,64,0.49551,0.76768,1.5493
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8,6,26,79,64,0.46099,0.7815,1.6953
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,9,6,26,79,64,0.4631,0.78948,1.7048
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,10,6,26,79,64,0.47434,0.81211,1.7121
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,11,6,26,79,64,0.46795,0.78164,1.6703
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,12,6,26,79,64,0.49985,0.78818,1.5769
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,13,6,26,79,64,0.5103,0.77256,1.5139
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,14,6,26,79,64,0.49556,0.72196,1.4569
moe_coarse_1e19,1e19,full,coarse 6/64,2,6,26,79,64,0.92462,0.25889,0.28
moe_coarse_1e19,1e19,full,coarse 6/64,3,6,26,79,64,0.89001,0.51744,0.5814
moe_coarse_1e19,1e19,full,coarse 6/64,4,6,26,79,64,0.87238,0.58632,0.6721
moe_coarse_1e19,1e19,full,coarse 6/64,5,6,26,79,64,0.85901,0.60487,0.7042
moe_coarse_1e19,1e19,full,coarse 6/64,6,6,26,79,64,0.86534,0.55361,0.6398
moe_coarse_1e19,1e19,full,coarse 6/64,7,6,26,79,64,0.86482,0.53648,0.6203
moe_coarse_1e19,1e19,full,coarse 6/64,8,6,26,79,64,0.85769,0.54625,0.6369
moe_coarse_1e19,1e19,full,coarse 6/64,9,6,26,79,64,0.81164,0.64074,0.7894
moe_coarse_1e19,1e19,full,coarse 6/64,10,6,26,79,64,0.83008,0.59929,0.722
moe_coarse_1e19,1e19,full,coarse 6/64,11,6,26,79,64,0.83476,0.57504,0.6889
moe_coarse_1e19,1e19,full,coarse 6/64,12,6,26,79,64,0.83782,0.59747,0.7131
moe_coarse_1e19,1e19,full,coarse 6/64,13,6,26,79,64,0.83165,0.61234,0.7363
moe_coarse_1e19,1e19,full,coarse 6/64,14,6,26,79,64,0.82809,0.63176,0.7629
