label,run,budget,regime,layer,split,demand_AUC,n_score_rows,n_fit_rows,base_rate
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,sequence,0.9197,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,3,sequence,0.9188,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,4,sequence,0.9192,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,5,sequence,0.9211,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,6,sequence,0.9302,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,7,sequence,0.9377,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,8,sequence,0.9463,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,9,sequence,0.9467,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,10,sequence,0.9529,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,11,sequence,0.9563,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,12,sequence,0.9522,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,13,sequence,0.9507,2489152,400000,0.0938
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,14,sequence,0.9532,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,2,sequence,0.5699,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,3,sequence,0.566,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,4,sequence,0.5693,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,5,sequence,0.5877,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,6,sequence,0.6156,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,7,sequence,0.6294,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,8,sequence,0.6301,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,9,sequence,0.6319,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,10,sequence,0.6393,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,11,sequence,0.6517,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,12,sequence,0.6658,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,13,sequence,0.6776,2489152,400000,0.0938
moe_coarse_1e19,moe_coarse_1e19,1e19,full,14,sequence,0.698,2489152,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,2,sequence,0.9754,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,3,sequence,0.9762,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,4,sequence,0.9782,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,5,sequence,0.9781,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,6,sequence,0.9787,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,7,sequence,0.9788,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,8,sequence,0.9797,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,9,sequence,0.9797,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,10,sequence,0.9813,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,11,sequence,0.9816,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,12,sequence,0.9818,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,13,sequence,0.9823,7467456,400000,0.0938
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,14,sequence,0.9852,7467456,400000,0.0938
