label,run,budget,layer,variant,split,feature,null_type,median_AUC_floor,n_experts
flame192_g3_moe,flame192_g3_moe,1e18,2,kwin,sequence,token,iid,0.5017,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kwin,sequence,token,circular,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kwin,sequence,context,iid,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kwin,sequence,context,circular,0.4998,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kwin,sequence,token,iid,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kwin,sequence,token,circular,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kwin,sequence,context,iid,0.5004,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kwin,sequence,context,circular,0.5005,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kwin,sequence,token,iid,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kwin,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kwin,sequence,context,iid,0.5012,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kwin,sequence,context,circular,0.5004,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kwin,sequence,token,iid,0.5007,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kwin,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kwin,sequence,context,iid,0.5006,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kwin,sequence,context,circular,0.5012,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kwin,sequence,token,iid,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kwin,sequence,token,circular,0.5005,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kwin,sequence,context,iid,0.5003,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kwin,sequence,context,circular,0.5004,192
flame192_g3_moe,flame192_g3_moe,1e18,7,kwin,sequence,token,iid,0.4993,192
flame192_g3_moe,flame192_g3_moe,1e18,7,kwin,sequence,token,circular,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,7,kwin,sequence,context,iid,0.4976,192
flame192_g3_moe,flame192_g3_moe,1e18,7,kwin,sequence,context,circular,0.5014,192
flame192_g3_moe,flame192_g3_moe,1e18,8,kwin,sequence,token,iid,0.4994,192
flame192_g3_moe,flame192_g3_moe,1e18,8,kwin,sequence,token,circular,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,8,kwin,sequence,context,iid,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,8,kwin,sequence,context,circular,0.4996,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kwin,sequence,token,iid,0.5015,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kwin,sequence,token,circular,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kwin,sequence,context,iid,0.4999,192
flame192_g3_moe,flame192_g3_moe,1e18,9,kwin,sequence,context,circular,0.5008,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kfull,sequence,token,iid,0.5006,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kfull,sequence,token,circular,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kfull,sequence,context,iid,0.5013,192
flame192_g3_moe,flame192_g3_moe,1e18,2,kfull,sequence,context,circular,0.5027,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kfull,sequence,token,iid,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kfull,sequence,token,circular,0.4997,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kfull,sequence,context,iid,0.5004,192
flame192_g3_moe,flame192_g3_moe,1e18,3,kfull,sequence,context,circular,0.5031,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kfull,sequence,token,iid,0.4991,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kfull,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kfull,sequence,context,iid,0.4998,192
flame192_g3_moe,flame192_g3_moe,1e18,4,kfull,sequence,context,circular,0.503,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kfull,sequence,token,iid,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kfull,sequence,token,circular,0.5001,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kfull,sequence,context,iid,0.5,192
flame192_g3_moe,flame192_g3_moe,1e18,5,kfull,sequence,context,circular,0.5036,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kfull,sequence,token,iid,0.4993,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kfull,sequence,token,circular,0.5005,192
flame192_g3_moe,flame192_g3_moe,1e18,6,kfull,sequence,context,iid,0.5002,192
