label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,weighted,15617,15993.2,0.8826
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,static,15617,15991.9,0.8897
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,weighted,7135,15955.9,0.9383
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,static,7135,15983.8,0.9321
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,weighted,8189,15989.4,0.8901
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,static,8189,15990.8,0.8603
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,weighted,6151,15837.2,0.85
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,static,6151,15986.2,0.8992
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,weighted,11821,15921.9,0.9019
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,static,11821,15989.4,0.9046
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,weighted,16851,15986.0,0.9027
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,static,16851,15991.9,0.9096
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,weighted,6852,15998.3,0.8439
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,static,6852,15997.4,0.925
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,weighted,12437,15999.2,0.8603
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,static,12437,15996.2,0.8758
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,weighted,4438,15973.5,0.8722
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,static,4438,15986.6,0.8941
s0_TEMPORAL,g3_tmoe_s0_1e16,2,9,weighted,8818,15992.9,0.8931
s0_TEMPORAL,g3_tmoe_s0_1e16,2,9,static,8818,15995.8,0.9261
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,weighted,12226,15986.8,0.9023
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,static,12226,15990.6,0.884
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,weighted,9653,15972.1,0.8649
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,static,9653,15984.2,0.8938
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,weighted,16064,15976.2,0.8712
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,static,16064,15988.9,0.8835
s0_TEMPORAL,g3_tmoe_s0_1e16,2,13,weighted,5365,15994.6,0.8628
s0_TEMPORAL,g3_tmoe_s0_1e16,2,13,static,5365,15995.6,0.8809
s0_TEMPORAL,g3_tmoe_s0_1e16,2,14,weighted,13684,15998.2,0.8413
s0_TEMPORAL,g3_tmoe_s0_1e16,2,14,static,13684,15996.1,0.8626
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,weighted,10802,15981.1,0.8898
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,static,10802,15992.8,0.9215
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,weighted,12571,15978.3,0.8519
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,static,12571,15993.2,0.8813
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,weighted,11827,15987.0,0.8808
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,static,11827,15988.4,0.7849
