label,run,budget,regime,layer,expert,variant,n_tokens,eff_vocab,dispersion
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,0,weighted,13235,10928.7,0.859
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,0,static,13235,27056.0,0.9427
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,1,weighted,12773,13796.2,0.8805
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,1,static,12773,25955.3,0.9389
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,2,weighted,12950,13603.6,0.8792
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,2,static,12950,24942.7,0.9352
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,3,weighted,12523,5943.1,0.8027
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,3,static,12523,25107.4,0.9358
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,4,weighted,12570,749.2,0.6114
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,4,static,12570,24855.7,0.9349
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,5,weighted,12834,10241.5,0.853
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,5,static,12834,28069.3,0.9461
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,6,weighted,12146,19898.9,0.9143
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,6,static,12146,33907.5,0.9636
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,7,weighted,12221,9971.7,0.8505
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,7,static,12221,19489.8,0.9124
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,8,weighted,11065,7835.3,0.8282
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,8,static,11065,18319.8,0.9067
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,9,weighted,13695,7324.3,0.822
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,9,static,13695,25996.1,0.939
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,10,weighted,10266,13791.1,0.8805
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,10,static,10266,28576.3,0.9478
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,11,weighted,11459,6923.6,0.8168
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,11,static,11459,25428.1,0.937
flame38m_g1_moe,flame38m_g1_moe,1e18,full,2,12,weighted,12140,6838.3,0.8157
