label,run,budget,layer,variant,split,n_experts,n_probed,n_omitted,omission_reason
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,2,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,3,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,4,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,5,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,6,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,7,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,8,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,9,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,10,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,11,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,12,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,13,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,14,kwin,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,2,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,3,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,4,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,5,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,6,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,7,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,8,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,9,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,10,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,11,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,12,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,13,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,14,kfull,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,2,base,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,3,base,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,4,base,sequence,64,64,0,
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,5,base,sequence,64,64,0,
