label,run,budget,regime,variant,window,split,depth_L,first_layer,last_layer,n_layers,slope_per_normdepth,slope_nd_lo95,slope_nd_hi95,slope_per_layer,slope_ix_lo95,slope_ix_hi95,linear_r2,quadratic_r2,curvature,curvature_lo95,curvature_hi95,vertex_layer,vertex_lo95,vertex_hi95,vertex_identified,rising_slope,rising_lo95,rising_hi95,median_at_first_layer,median_at_last_layer
s0_TEMPORAL,g3_tmoe_s0_1e16,1e16,temporal,kfull,,position,4,2,4,3,0.1026,0.0534,0.1354,0.02565,0.01334,0.03385,0.938,1.0,0.1832,-0.14,0.4257,1.88,-6.66,8.76,,0.0568,-0.0276,0.1396,0.126,0.1773
temporal_fine_1e19,temporal_fine_g3_1e19,1e19,temporal,kfull,18,position,14,2,14,13,0.0658,0.0542,0.0747,0.0047,0.00384,0.00534,0.903,0.905,-0.0124,-0.0595,0.0234,45.17,-270.17,279.6,,0.0658,0.0538,0.0742,0.0567,0.13
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,1e17,temporal,kfull,,position,6,2,6,5,-0.0195,-0.0538,0.0292,-0.00325,-0.00896,0.00486,0.611,0.781,-0.0522,-0.2426,0.1681,2.88,-5.81,13.28,,0.0354,-0.1122,0.1989,0.0862,0.0741
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,kfull,6,position,14,2,14,13,0.066,0.0559,0.0779,0.00472,0.00397,0.00561,0.549,0.936,-0.2341,-0.2815,-0.1729,9.97,9.54,10.86,,0.1624,0.1265,0.1867,0.0321,0.0963
s0_FULL,g3_moe_s0_1e16_sigmoid,1e16,full,kfull,,position,4,2,4,3,0.0893,0.059,0.119,0.02232,0.01475,0.02975,0.996,1.0,0.0372,-0.1428,0.2932,-1.8,-23.94,26.97,,0.08,0.013,0.1326,-0.3244,-0.2797
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,1e16,full,base,,position,4,2,4,3,0.049,0.0197,0.0898,0.01225,0.00492,0.02245,0.942,1.0,-0.084,-0.3136,0.0876,4.17,-12.94,13.47,,0.049,0.0197,0.0898,-0.3029,-0.2784
s2_FULL,v16k_sweep_s2_1e17,1e17,full,kfull,,position,6,2,6,5,-0.0179,-0.0792,0.0305,-0.00298,-0.01319,0.00508,0.041,0.1,-0.1098,-0.4143,0.1839,3.51,-3.12,12.16,,-0.1446,-0.4021,0.0993,-0.244,-0.2585
moe_coarse_1e19,moe_coarse_1e19,1e19,full,kfull,6,position,14,2,14,13,0.0944,0.0791,0.1202,0.00674,0.00562,0.00858,0.682,0.733,-0.1087,-0.1826,-0.0026,14.08,11.04,53.52,,0.0944,0.0792,0.1202,-0.299,-0.1691
flame38m_g3_temporal,flame38m_g3_temporal,1e18,temporal,kfull,18,position,9,2,9,8,0.0356,0.0177,0.0489,0.00395,0.0018,0.00536,0.59,0.594,0.0141,-0.052,0.0797,-5.89,-52.88,72.62,,0.2092,0.0648,0.3172,0.1166,0.1609
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,kfull,6,position,9,2,9,8,0.0284,0.0007,0.0462,0.00315,-2e-05,0.00521,0.224,0.436,-0.1242,-0.2374,-0.0317,6.53,5.48,9.28,,0.0747,0.0311,0.1004,0.0645,0.1137
flame38m_g3_moe,flame38m_g3_moe,1e18,full,kfull,18,position,9,2,9,8,0.1379,0.1217,0.1537,0.01532,0.01365,0.01705,0.968,0.969,-0.0219,-0.1026,0.0561,33.82,-197.14,195.67,,0.1379,0.1227,0.1541,-0.2867,-0.1689
flame38m_g1_moe,flame38m_g1_moe,1e18,full,kfull,6,position,9,2,9,8,0.1429,0.1163,0.1689,0.01588,0.01306,0.0188,0.964,0.965,-0.017,-0.1409,0.097,43.39,-153.7,163.91,,0.1429,0.1154,0.167,-0.2723,-0.1522
s0_TEMPORAL,g3_tmoe_s0_1e16,1e16,temporal,kfull,,sequence,4,2,4,3,0.1026,0.0534,0.1354,0.02565,0.01334,0.03385,0.938,1.0,0.1832,-0.14,0.4257,1.88,,,0,0.0568,-0.0276,0.1396,0.126,0.1773
temporal_fine_1e19,temporal_fine_g3_1e19,1e19,temporal,kfull,18,sequence,14,2,14,13,0.0397,0.031,0.051,0.00284,0.00221,0.00364,0.655,0.756,-0.0658,-0.1068,-0.0154,12.23,,,0,0.046,0.0354,0.0592,0.0529,0.0968
s2_TEMPORAL,tmoe_minlogit_sh1_s2_1e17,1e17,temporal,kfull,,sequence,6,2,6,5,-0.0195,-0.0538,0.0292,-0.00325,-0.00896,0.00486,0.611,0.781,-0.0522,-0.2426,0.1681,2.88,,,0,0.0354,-0.1122,0.1989,0.0862,0.0741
temporal_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,kfull,6,sequence,14,2,14,13,0.059,0.0464,0.074,0.00422,0.00332,0.00528,0.426,0.941,-0.2739,-0.3323,-0.2052,9.51,9.09,10.28,1,0.1704,0.1344,0.1948,0.0236,0.0827
s0_FULL,g3_moe_s0_1e16_sigmoid,1e16,full,kfull,,sequence,4,2,4,3,0.0893,0.059,0.119,0.02232,0.01475,0.02975,0.996,1.0,0.0372,-0.1428,0.2932,-1.8,,,0,0.08,0.013,0.1326,-0.3244,-0.2797
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,1e16,full,base,,sequence,4,2,4,3,0.049,0.0197,0.0898,0.01225,0.00492,0.02245,0.942,1.0,-0.084,-0.3136,0.0876,4.17,,,0,0.049,0.0197,0.0898,-0.3029,-0.2784
s2_FULL,v16k_sweep_s2_1e17,1e17,full,kfull,,sequence,6,2,6,5,-0.0179,-0.0792,0.0305,-0.00298,-0.01319,0.00508,0.041,0.1,-0.1098,-0.4143,0.1839,3.51,,,0,-0.1446,-0.4021,0.0993,-0.244,-0.2585
moe_coarse_1e19,moe_coarse_1e19,1e19,full,kfull,6,sequence,14,2,14,13,0.0928,0.0775,0.1158,0.00663,0.00554,0.00827,0.675,0.722,-0.104,-0.1715,-0.0018,14.25,,,0,0.0928,0.0775,0.1158,-0.305,-0.1762
flame38m_g3_temporal,flame38m_g3_temporal,1e18,temporal,kfull,18,sequence,9,2,9,8,0.0072,-0.0058,0.025,0.0008,-0.00065,0.00277,0.085,0.104,-0.0156,-0.0725,0.0611,7.57,,,0,0.0062,-0.0151,0.0271,0.1139,0.1273
