run,regime,budget,layer,feature,window,null,preserves,median_AUC,excess_over_chance,n_experts,label_autocorr_lag1
flame192_g3_moe,full,1e18,2,token,0,real,nothing destroyed (the measurement),0.9571,0.4571,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,flat-roll,partial document + position,0.4998,-0.0002,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,seq-roll,document + near-position,0.5272,0.0272,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,perm-b,position only,0.4978,-0.0022,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,perm-t,document only,0.504,0.004,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,iid,nothing,0.4999,-0.0001,24,0.0031
flame192_g3_moe,full,1e18,2,token,0,synth,autocorrelation only,0.4987,-0.0013,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,real,nothing destroyed (the measurement),0.6395,0.1395,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,flat-roll,partial document + position,0.505,0.005,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,seq-roll,document + near-position,0.6626,0.1626,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,perm-b,position only,0.4973,-0.0027,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,perm-t,document only,0.5159,0.0159,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,iid,nothing,0.5005,0.0005,24,0.0031
flame192_g3_moe,full,1e18,2,context,18,synth,autocorrelation only,0.4994,-0.0006,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,real,nothing destroyed (the measurement),0.6265,0.1265,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,flat-roll,partial document + position,0.503,0.003,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,seq-roll,document + near-position,0.6426,0.1426,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,perm-b,position only,0.4968,-0.0032,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,perm-t,document only,0.5169,0.0169,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,iid,nothing,0.5009,0.0009,24,0.0031
flame192_g3_moe,full,1e18,2,context,32,synth,autocorrelation only,0.4997,-0.0003,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,real,nothing destroyed (the measurement),0.5824,0.0824,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,flat-roll,partial document + position,0.4987,-0.0013,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,seq-roll,document + near-position,0.5206,0.0206,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,perm-b,position only,0.4987,-0.0013,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,perm-t,document only,0.5058,0.0058,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,iid,nothing,0.4969,-0.0031,24,0.0031
flame192_g3_temporal,temporal,1e18,2,token,0,synth,autocorrelation only,0.4991,-0.0009,24,0.0031
flame192_g3_temporal,temporal,1e18,2,context,18,real,nothing destroyed (the measurement),0.7104,0.2104,24,0.0031
flame192_g3_temporal,temporal,1e18,2,context,18,flat-roll,partial document + position,0.4982,-0.0018,24,0.0031
flame192_g3_temporal,temporal,1e18,2,context,18,seq-roll,document + near-position,0.5886,0.0886,24,0.0031
