label,run,budget,regime,layer,expert,split,usage_count,oracle_token_AUC,mi_over_H,n_token_ids,frac_score_rows_backoff
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,0,sequence,14178,0.634,0.1533,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,1,sequence,11479,0.6157,0.1751,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,2,sequence,12943,0.6049,0.1479,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,3,sequence,12242,0.656,0.1869,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,4,sequence,11651,0.6555,0.1886,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,5,sequence,11260,0.6306,0.1697,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,6,sequence,13282,0.6802,0.2112,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,7,sequence,10987,0.6297,0.1714,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,8,sequence,11584,0.6374,0.2115,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,9,sequence,11222,0.6447,0.1847,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,10,sequence,11365,0.5764,0.1111,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,11,sequence,12933,0.627,0.1503,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,12,sequence,13082,0.6604,0.1699,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,13,sequence,13483,0.6204,0.1367,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,14,sequence,10864,0.6046,0.1417,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,15,sequence,13732,0.6217,0.1345,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,16,sequence,11307,0.6149,0.147,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,17,sequence,12395,0.6204,0.1339,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,18,sequence,12930,0.6248,0.1785,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,19,sequence,11947,0.6146,0.1567,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,20,sequence,13264,0.603,0.148,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,21,sequence,12516,0.604,0.1515,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,22,sequence,13152,0.6331,0.1513,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,23,sequence,11115,0.6228,0.1546,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,24,sequence,11222,0.5819,0.136,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,25,sequence,13072,0.6066,0.1087,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,26,sequence,13324,0.6122,0.1706,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,27,sequence,12402,0.5822,0.1289,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,28,sequence,11475,0.6398,0.1716,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,29,sequence,12030,0.6883,0.2423,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,30,sequence,13276,0.63,0.1548,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,31,sequence,12627,0.7485,0.2493,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,32,sequence,12636,0.6175,0.1357,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,33,sequence,10605,0.5864,0.1229,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,34,sequence,11977,0.6164,0.2078,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,35,sequence,12307,0.6326,0.1976,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,36,sequence,11793,0.658,0.1578,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,37,sequence,10196,0.6455,0.2366,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,38,sequence,12663,0.5944,0.1218,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,39,sequence,12705,0.5994,0.1496,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,40,sequence,12367,0.6013,0.1598,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,41,sequence,12547,0.5953,0.1359,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,42,sequence,11059,0.5836,0.1562,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,43,sequence,11716,0.6064,0.1466,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,44,sequence,11474,0.6079,0.148,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,45,sequence,14065,0.6472,0.1862,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,46,sequence,12982,0.5947,0.1337,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,47,sequence,12218,0.6101,0.1425,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,48,sequence,13768,0.6199,0.133,15781,0.2628
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,2,49,sequence,12131,0.6168,0.1335,15781,0.2628
