label,run,budget,regime,grain,layer,E,k,PR_median,generalist_frac,router_entropy,eff_rank,strong_corr_pairs,dist2centroid_mean,pairwise_cos_med,pairwise_cos_p99,geometry_note
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,2,192,18,0.2497,0.0104,0.8628,30.39,302,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,3,192,18,0.2045,0.0,0.8356,35.28,218,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,4,192,18,0.2033,0.0052,0.8365,39.09,147,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,5,192,18,0.2,0.0,0.8355,39.33,156,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,6,192,18,0.2189,0.0,0.8476,42.98,132,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,7,192,18,0.2573,0.0156,0.8687,36.44,204,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,8,192,18,0.3206,0.0573,0.891,33.91,213,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_moe,flame192_g3_moe,1e18,full,fine 18/192,9,192,18,0.6354,0.8698,0.9587,24.52,385,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,2,192,18,0.6736,0.7083,0.9609,44.57,72,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,3,192,18,0.3436,0.3802,0.9121,59.85,232,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,4,192,18,0.4343,0.4583,0.9362,66.6,54,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,5,192,18,0.5064,0.5052,0.9438,55.32,15,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,6,192,18,0.5309,0.5521,0.9477,65.15,9,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,7,192,18,0.6212,0.6667,0.9549,53.62,19,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,8,192,18,0.6958,0.7292,0.9627,51.47,9,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame192_g3_temporal,flame192_g3_temporal,1e18,temporal,fine 18/192,9,192,18,0.6864,0.8021,0.9633,40.45,38,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,2,64,6,0.246,0.0156,0.8186,25.78,9,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,3,64,6,0.1727,0.0,0.7604,29.2,12,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,4,64,6,0.1854,0.0,0.7642,28.43,8,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,5,64,6,0.1826,0.0,0.766,29.58,17,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,6,64,6,0.1962,0.0,0.7909,30.55,16,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,7,64,6,0.2066,0.0,0.7884,27.69,11,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,8,64,6,0.2228,0.0156,0.8127,26.59,22,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_moe,flame38m_g1_moe,1e18,full,coarse 6/64,9,64,6,0.3492,0.0625,0.8715,22.86,22,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,64,6,0.6903,0.7969,0.9529,28.64,4,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,3,64,6,0.2637,0.125,0.8728,42.23,1,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,64,6,0.3532,0.1562,0.8997,40.96,1,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,5,64,6,0.425,0.3125,0.9164,39.9,2,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,6,64,6,0.5106,0.5312,0.9335,35.48,0,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,7,64,6,0.4812,0.4531,0.9329,35.06,1,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,64,6,0.5419,0.5469,0.937,34.74,0,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g1_temporal,flame38m_g1_temporal,1e18,temporal,coarse 6/64,9,64,6,0.5863,0.7031,0.9406,30.82,2,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
flame38m_g3_moe,flame38m_g3_moe,1e18,full,fine 18/192,2,192,18,0.295,0.0469,0.8816,32.69,184,,,,checkpoint unreadable: ModuleNotFoundError: No module named 'megatron'
