label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,2,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,3,63,0.1608,0.0783,2.053
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,4,63,0.1644,0.0783,2.1
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,5,63,0.1653,0.0783,2.111
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,6,63,0.1633,0.0783,2.085
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,7,63,0.1537,0.0783,1.962
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,8,63,0.1549,0.0783,1.978
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,9,63,0.1548,0.0783,1.976
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,10,63,0.1575,0.0783,2.011
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,11,63,0.1574,0.0783,2.01
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,12,63,0.1604,0.0783,2.049
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,13,63,0.156,0.0783,1.992
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,2,14,63,0.1643,0.0783,2.097
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,3,2,63,0.1608,0.0783,2.053
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,3,3,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,3,4,63,0.1912,0.0783,2.441
