run,beta,setcov,masscov,swaprate,union,eff,maxres
g3_tmoe_s2_1e17,0,32.93,37.71,100.00,160.8,187.8,15.2
g3_tmoe_s2_1e17,0.25,32.96,37.74,100.00,162.0,187.9,15.0
g3_tmoe_s2_1e17,0.5,32.90,37.69,100.00,163.3,187.8,15.2
g3_tmoe_s2_1e17,1.0,32.72,37.51,100.00,165.6,187.5,14.6
g3_tmoe_s2_1e17,2.0,31.99,36.73,100.00,169.5,185.1,15.7
g3_tmoe_s0_1e16_mom,0,28.38,31.65,100.00,162.8,181.8,15.9
g3_tmoe_s0_1e16_mom,0.25,28.44,31.75,100.00,163.9,182.6,15.3
g3_tmoe_s0_1e16_mom,0.5,28.48,31.81,100.00,165.0,183.0,15.3
g3_tmoe_s0_1e16_mom,1.0,28.39,31.80,100.00,167.2,183.4,16.0
g3_tmoe_s0_1e16_mom,2.0,27.85,31.35,100.00,170.3,181.9,16.4
