run,budget,regime,arm,layer,depth_frac,dist_from_middle,test_CE,native_CE,cost,mean_swap_rate
flame38m_g1_temporal,1e18,temporal,unmask_one,2,0.0000,3.5000,3.951986,3.909461,0.042525,0.99991
flame38m_g1_temporal,1e18,temporal,unmask_one,3,0.1429,2.5000,3.955806,3.909461,0.046345,0.99977
flame38m_g1_temporal,1e18,temporal,unmask_one,4,0.2857,1.5000,3.944429,3.909461,0.034968,0.9986
flame38m_g1_temporal,1e18,temporal,unmask_one,5,0.4286,0.5000,3.943144,3.909461,0.033683,0.99911
flame38m_g1_temporal,1e18,temporal,unmask_one,6,0.5714,0.5000,3.942055,3.909461,0.032594,0.9993
flame38m_g1_temporal,1e18,temporal,unmask_one,7,0.7143,1.5000,3.939506,3.909461,0.030045,0.99959
flame38m_g1_temporal,1e18,temporal,unmask_one,8,0.8571,2.5000,3.946873,3.909461,0.037412,0.9991
flame38m_g1_temporal,1e18,temporal,unmask_one,9,1.0000,3.5000,3.967399,3.909461,0.057938,0.99858
flame38m_g1_moe,1e18,full,impose_one,2,0.0000,3.5000,4.329959,3.918461,0.411498,
flame38m_g1_moe,1e18,full,impose_one,3,0.1429,2.5000,4.191581,3.918461,0.273120,
flame38m_g1_moe,1e18,full,impose_one,4,0.2857,1.5000,4.171071,3.918461,0.252610,
flame38m_g1_moe,1e18,full,impose_one,5,0.4286,0.5000,4.137540,3.918461,0.219079,
flame38m_g1_moe,1e18,full,impose_one,6,0.5714,0.5000,4.159401,3.918461,0.240940,
flame38m_g1_moe,1e18,full,impose_one,7,0.7143,1.5000,4.102463,3.918461,0.184002,
flame38m_g1_moe,1e18,full,impose_one,8,0.8571,2.5000,4.133515,3.918461,0.215054,
flame38m_g1_moe,1e18,full,impose_one,9,1.0000,3.5000,4.384915,3.918461,0.466454,
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,2,0.0000,6.0000,3.198879,3.178993,0.019886,1.0
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,3,0.0833,5.0000,3.192138,3.178993,0.013145,1.0
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,4,0.1667,4.0000,3.186571,3.178993,0.007578,1.0
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,5,0.2500,3.0000,3.185121,3.178993,0.006128,1.0
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,6,0.3333,2.0000,3.189000,3.178993,0.010007,1.0
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,7,0.4167,1.0000,3.191094,3.178993,0.012101,0.99994
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,8,0.5000,0.0000,3.193563,3.178993,0.014570,0.99994
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,9,0.5833,1.0000,3.197599,3.178993,0.018606,0.99982
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,10,0.6667,2.0000,3.199427,3.178993,0.020434,0.99921
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,11,0.7500,3.0000,3.204810,3.178993,0.025817,0.9989
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,12,0.8333,4.0000,3.204416,3.178993,0.025423,0.9989
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,13,0.9167,5.0000,3.212761,3.178993,0.033768,0.99896
g1_tmoe_coarse_1e19,1e19,temporal,unmask_one,14,1.0000,6.0000,3.233701,3.178993,0.054708,0.99805
moe_coarse_1e19,1e19,full,impose_one,2,0.0000,6.0000,3.263515,3.129898,0.133617,1.0
moe_coarse_1e19,1e19,full,impose_one,3,0.0833,5.0000,3.256462,3.129898,0.126564,1.0
moe_coarse_1e19,1e19,full,impose_one,4,0.1667,4.0000,3.256639,3.129898,0.126741,1.0
moe_coarse_1e19,1e19,full,impose_one,5,0.2500,3.0000,3.266242,3.129898,0.136344,1.0
moe_coarse_1e19,1e19,full,impose_one,6,0.3333,2.0000,3.265794,3.129898,0.135896,1.0
moe_coarse_1e19,1e19,full,impose_one,7,0.4167,1.0000,3.260457,3.129898,0.130559,0.99994
moe_coarse_1e19,1e19,full,impose_one,8,0.5000,0.0000,3.267185,3.129898,0.137287,1.0
moe_coarse_1e19,1e19,full,impose_one,9,0.5833,1.0000,3.251446,3.129898,0.121548,1.0
moe_coarse_1e19,1e19,full,impose_one,10,0.6667,2.0000,3.249962,3.129898,0.120064,1.0
moe_coarse_1e19,1e19,full,impose_one,11,0.7500,3.0000,3.254039,3.129898,0.124141,0.99994
moe_coarse_1e19,1e19,full,impose_one,12,0.8333,4.0000,3.265206,3.129898,0.135308,0.99976
moe_coarse_1e19,1e19,full,impose_one,13,0.9167,5.0000,3.284120,3.129898,0.154222,0.99994
moe_coarse_1e19,1e19,full,impose_one,14,1.0000,6.0000,3.353621,3.129898,0.223723,0.99933
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,2,0.0000,3.5000,3.941193,3.907698,0.033495,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,3,0.1429,2.5000,3.946780,3.907698,0.039082,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,4,0.2857,1.5000,3.941781,3.907698,0.034083,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,5,0.4286,0.5000,3.940312,3.907698,0.032614,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,6,0.5714,0.5000,3.941173,3.907698,0.033475,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,7,0.7143,1.5000,3.942887,3.907698,0.035189,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,8,0.8571,2.5000,3.949108,3.907698,0.041410,
flame38m_g1_temporal_s2,1e18,temporal,unmask_one,9,1.0000,3.5000,3.979484,3.907698,0.071786,
flame38m_g3_temporal,1e18,temporal,unmask_one,2,0.0000,3.5000,4.013086,3.976890,0.036196,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,3,0.1429,2.5000,4.044459,3.976890,0.067569,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,4,0.2857,1.5000,4.015787,3.976890,0.038897,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,5,0.4286,0.5000,4.009855,3.976890,0.032965,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,6,0.5714,0.5000,4.008083,3.976890,0.031193,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,7,0.7143,1.5000,4.006176,3.976890,0.029286,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,8,0.8571,2.5000,4.007508,3.976890,0.030618,1.0
flame38m_g3_temporal,1e18,temporal,unmask_one,9,1.0000,3.5000,4.047778,3.976890,0.070888,1.0
flame38m_g3_moe,1e18,full,impose_one,2,0.0000,3.5000,4.864124,4.009125,0.854999,
flame38m_g3_moe,1e18,full,impose_one,3,0.1429,2.5000,4.705971,4.009125,0.696846,
flame38m_g3_moe,1e18,full,impose_one,4,0.2857,1.5000,4.486256,4.009125,0.477131,
flame38m_g3_moe,1e18,full,impose_one,5,0.4286,0.5000,4.414030,4.009125,0.404905,
flame38m_g3_moe,1e18,full,impose_one,6,0.5714,0.5000,4.375092,4.009125,0.365967,
flame38m_g3_moe,1e18,full,impose_one,7,0.7143,1.5000,4.318523,4.009125,0.309398,
flame38m_g3_moe,1e18,full,impose_one,8,0.8571,2.5000,4.364983,4.009125,0.355858,
flame38m_g3_moe,1e18,full,impose_one,9,1.0000,3.5000,5.313453,4.009125,1.304328,
