"# OLMoE-1B-7B: downstream cost of imposing rolling residency at R=8 of 64 (12.5% resident) with NO adaptation, gate_mass=preserve. 'preserve' selects the top-k from the masked distribution but takes weights from the unmasked one, so residency changes which experts serve and not how much they contribute; 'renorm' is the published behaviour, which on this norm_topk_prob=False model also rescales gate mass ~0.40 -> 1.0 and accounts for 91.6% of the measured BPB damage. Ten 0-shot tasks, same harness as olmoe_adapt_downstream.csv. Producer: analysis/residency/olmoe_downstream_naive.py"
task,metric,free,R8,free_stderr,R8_stderr,delta_R8_vs_free
arc_easy,acc,0.7698,0.6364,0.0086,0.0099,-0.1334
arc_easy,acc_norm,0.7677,0.6166,0.0087,0.0100,-0.1511
arc_challenge,acc,0.4667,0.3055,0.0146,0.0135,-0.1613
arc_challenge,acc_norm,0.4974,0.3430,0.0146,0.0139,-0.1544
hellaswag,acc,0.5847,0.4864,0.0049,0.0050,-0.0984
hellaswag,acc_norm,0.7809,0.6608,0.0041,0.0047,-0.1201
piqa,acc,0.7845,0.7242,0.0096,0.0104,-0.0604
piqa,acc_norm,0.7971,0.7203,0.0094,0.0105,-0.0767
winogrande,acc,0.6938,0.5691,0.0130,0.0139,-0.1247
openbookqa,acc,0.3260,0.2600,0.0210,0.0196,-0.0660
openbookqa,acc_norm,0.4440,0.3740,0.0222,0.0217,-0.0700
sciq,acc,0.9380,0.9150,0.0076,0.0088,-0.0230
sciq,acc_norm,0.9230,0.9110,0.0084,0.0090,-0.0120
boolq,acc,0.7012,0.6309,0.0080,0.0084,-0.0703
lambada_openai,acc,0.7056,0.4460,0.0063,0.0069,-0.2597
copa,acc,0.8500,0.7500,0.0359,0.0435,-0.1000

bpb_audited_slice,,0.670290,0.839290
