# COMPLETE captured-mass ladder — FULL 4096-token seqs (single cold-fill), per-token top-C candidate
# pruning (C=16, near-exact). 12 audited-slice seqs. Reward=base softmax mass (never renorm).
# mean served mass/token per layer. m in [1, 2, 4]. captured in [0,1]/token.
layer,static_best8,greedy_scan,minflow_m1,minflow_m2,minflow_m4,top8_bound
0,0.13423,0.20977,0.16923,0.25676,0.34133,0.35911
1,0.11585,0.18205,0.14833,0.22370,0.29439,0.30826
2,0.12834,0.21125,0.18308,0.26075,0.31520,0.32359
3,0.14352,0.22562,0.19668,0.27704,0.33616,0.34813
4,0.14827,0.23643,0.21932,0.28395,0.31716,0.32242
5,0.15433,0.25007,0.23013,0.29244,0.32399,0.33009
6,0.15856,0.24757,0.23160,0.29860,0.33702,0.34438
7,0.15714,0.25916,0.23932,0.30523,0.34733,0.35786
8,0.16305,0.24946,0.22360,0.30011,0.35625,0.37481
9,0.17274,0.26225,0.23232,0.31634,0.38787,0.41464
10,0.17794,0.27307,0.23496,0.33149,0.42324,0.45975
11,0.19225,0.30736,0.28960,0.37672,0.44670,0.46716
12,0.19024,0.31936,0.29374,0.39405,0.47770,0.50327
13,0.21206,0.34582,0.31521,0.41040,0.48863,0.51454
14,0.20544,0.33584,0.30227,0.40528,0.49052,0.52054
15,0.21223,0.34361,0.30761,0.41064,0.49845,0.52983
ALL,0.16664,0.26617,0.23856,0.32147,0.38637,0.40490
