run,k,baseline_a3_pct,horizon,oracle_a3_pct,delta_pct,oracle_eff,oracle_maxres_pct,oracle_union,oracle_swap_rate
flame38m_temporal_minlogit,6,30.42,next-token,38.98,8.56,49.55,39.96,52.62,0.999
flame38m_temporal_minlogit,6,30.42,discounted-g0.5,60.55,30.13,49.53,51.61,62.52,0.995
flame38m_temporal_minlogit,6,30.42,window-8,45.69,15.27,48.2,51.78,60.84,0.735
g3_moe_s0_1e16_auxfree,18,20.68,next-token,18.04,-2.64,139.79,73.92,71.44,0.999
g3_moe_s0_1e16_auxfree,18,20.68,discounted-g0.5,36.03,15.35,134.38,50.85,179.68,0.999
g3_moe_s0_1e16_auxfree,18,20.68,window-8,35.77,15.09,136.41,50.5,174.59,0.995
g3_moe_s0_1e16_auxfree_seed2,18,21.86,next-token,19.29,-2.57,134.24,95.31,70.59,0.999
g3_moe_s0_1e16_auxfree_seed2,18,21.86,discounted-g0.5,36.81,14.95,130.39,68.23,180.24,0.999
g3_moe_s0_1e16_auxfree_seed2,18,21.86,window-8,36.53,14.68,133.16,72.45,174.01,0.993
g3_moe_s0_1e16_sigmoid,18,20.23,next-token,16.77,-3.45,153.75,51.96,71.03,0.999
g3_moe_s0_1e16_sigmoid,18,20.23,discounted-g0.5,33.19,12.96,176.35,29.11,189.19,0.999
g3_moe_s0_1e16_sigmoid,18,20.23,window-8,33.03,12.81,177.23,27.62,187.01,0.996
g3_tmoe_s0_1e16,18,29.57,next-token,21.52,-8.05,157.15,41.05,77.88,0.999
g3_tmoe_s0_1e16,18,29.57,discounted-g0.5,48.22,18.65,178.31,19.4,180.47,0.999
g3_tmoe_s0_1e16,18,29.57,window-8,48.08,18.51,177.33,19.58,176.49,0.991
g3_tmoe_s0_1e16_auxfree,18,34.59,next-token,24.78,-9.81,137.05,65.63,77.58,0.999
g3_tmoe_s0_1e16_auxfree,18,34.59,discounted-g0.5,52.74,18.15,128.77,65.48,156.48,0.999
g3_tmoe_s0_1e16_auxfree,18,34.59,window-8,52.35,17.76,128.43,61.29,151.26,0.989
g3_tmoe_s0_1e16_karen,18,36.05,next-token,25.77,-10.27,139.18,72.42,78.49,0.999
g3_tmoe_s0_1e16_karen,18,36.05,discounted-g0.5,53.77,17.73,128.95,97.07,162.83,0.999
g3_tmoe_s0_1e16_karen,18,36.05,window-8,53.17,17.13,129.32,97.37,157.65,0.989
g3_tmoe_s0_1e16_karen2t,18,35.82,next-token,25.92,-9.9,123.21,95.74,77.49,0.999
g3_tmoe_s0_1e16_karen2t,18,35.82,discounted-g0.5,53.51,17.69,128.26,92.68,158.02,0.999
g3_tmoe_s0_1e16_karen2t,18,35.82,window-8,52.94,17.12,128.59,92.34,153.32,0.989
g3_tmoe_s0_1e16_karen_seed2,18,35.0,next-token,25.47,-9.53,129.38,71.88,76.47,0.999
g3_tmoe_s0_1e16_karen_seed2,18,35.0,discounted-g0.5,52.68,17.68,127.01,68.71,157.62,0.999
g3_tmoe_s0_1e16_karen_seed2,18,35.0,window-8,52.13,17.13,127.12,69.82,150.57,0.989
g3_tmoe_s0_1e16_karen_soft,18,35.92,next-token,25.34,-10.58,132.85,82.35,77.83,0.999
g3_tmoe_s0_1e16_karen_soft,18,35.92,discounted-g0.5,53.75,17.84,126.45,80.12,160.42,0.999
g3_tmoe_s0_1e16_karen_soft,18,35.92,window-8,53.14,17.23,126.31,78.2,154.98,0.987
g3_tmoe_s0_1e16_karen_soft_seed2,18,35.1,next-token,25.18,-9.92,140.67,53.12,76.28,0.999
g3_tmoe_s0_1e16_karen_soft_seed2,18,35.1,discounted-g0.5,52.91,17.81,134.49,57.54,161.07,0.999
g3_tmoe_s0_1e16_karen_soft_seed2,18,35.1,window-8,52.37,17.27,134.68,51.77,154.61,0.988
g3_tmoe_s0_1e16_momr_seed2,18,28.75,next-token,21.84,-6.91,151.57,45.31,76.66,0.999
g3_tmoe_s0_1e16_momr_seed2,18,28.75,discounted-g0.5,47.22,18.47,176.34,34.29,179.6,0.999
g3_tmoe_s0_1e16_momr_seed2,18,28.75,window-8,47.06,18.31,175.86,31.94,175.19,0.989
g3_tmoe_s0_1e16_seed3,18,28.65,next-token,22.7,-5.95,151.1,47.12,77.33,1.0
g3_tmoe_s0_1e16_seed3,18,28.65,discounted-g0.5,47.2,18.55,175.86,27.42,176.71,0.999
g3_tmoe_s0_1e16_seed3,18,28.65,window-8,47.08,18.43,175.04,23.43,172.22,0.991
g3_tmoe_s1_1e17,18,34.72,next-token,23.5,-11.22,87.34,100.0,79.48,1.0
g3_tmoe_s1_1e17,18,34.72,discounted-g0.5,52.72,18.0,172.91,43.3,173.89,0.999
