"# gemma4 per-layer damage d_l(R): solo layer l constrained at R, others free, base checkpoint; then fitted greedy allocation vs uniform at iso-memory slot budgets. Training-free, min_logit <=1 swap/token, model-convention gating. free_set: ALL = every layer free, all_but_l = solo cell. damage = bpb - free bpb. Producer: analysis/ple/granularity_ladder.py --perlayer"
stage,cell,R,free_set,R_map,bpb,damage,n_seq,secs
smoke,free,8,ALL,,0.644585,,16,9.6
smoke,R8_all,8,,,0.696165,+0.051580,16,5.9
smoke,R8_via_uniform_R_map,8,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8;16:8;17:8;18:8;19:8;20:8;21:8;22:8;23:8;24:8;25:8;26:8;27:8;28:8;29:8,0.696165,+0.051580,16,5.1
smoke,solo_L00_R8,8,all_but_0,,0.645395,+0.000810,16,4.5
layers,solo_L00_R12,12,all_but_0,,0.644527,-0.000058,16,4.5
layers,solo_L00_R16,16,all_but_0,,0.645772,+0.001187,16,4.5
layers,solo_L00_R24,24,all_but_0,,0.645119,+0.000534,16,4.5
layers,solo_L01_R8,8,all_but_1,,0.646956,+0.002371,16,4.5
layers,solo_L01_R12,12,all_but_1,,0.645155,+0.000570,16,4.5
layers,solo_L01_R16,16,all_but_1,,0.644292,-0.000293,16,4.5
layers,solo_L01_R24,24,all_but_1,,0.644033,-0.000551,16,4.5
layers,solo_L02_R8,8,all_but_2,,0.645497,+0.000912,16,4.5
layers,solo_L02_R12,12,all_but_2,,0.644457,-0.000128,16,4.5
layers,solo_L02_R16,16,all_but_2,,0.644378,-0.000207,16,4.5
layers,solo_L02_R24,24,all_but_2,,0.645136,+0.000551,16,4.5
layers,solo_L03_R8,8,all_but_3,,0.644362,-0.000223,16,4.5
layers,solo_L03_R12,12,all_but_3,,0.643824,-0.000761,16,4.5
layers,solo_L03_R16,16,all_but_3,,0.643423,-0.001162,16,4.5
layers,solo_L03_R24,24,all_but_3,,0.644364,-0.000221,16,4.5
layers,solo_L04_R8,8,all_but_4,,0.645650,+0.001065,16,4.5
layers,solo_L04_R12,12,all_but_4,,0.645554,+0.000969,16,4.5
layers,solo_L04_R16,16,all_but_4,,0.643870,-0.000715,16,4.5
layers,solo_L04_R24,24,all_but_4,,0.644421,-0.000164,16,4.5
layers,solo_L05_R8,8,all_but_5,,0.646551,+0.001966,16,4.5
layers,solo_L05_R12,12,all_but_5,,0.645108,+0.000523,16,4.5
layers,solo_L05_R16,16,all_but_5,,0.643394,-0.001191,16,4.5
layers,solo_L05_R24,24,all_but_5,,0.644109,-0.000475,16,4.5
layers,solo_L06_R8,8,all_but_6,,0.645108,+0.000523,16,4.5
layers,solo_L06_R12,12,all_but_6,,0.644796,+0.000212,16,4.5
layers,solo_L06_R16,16,all_but_6,,0.645525,+0.000940,16,4.5
layers,solo_L06_R24,24,all_but_6,,0.643892,-0.000692,16,4.5
layers,solo_L07_R8,8,all_but_7,,0.645447,+0.000862,16,4.5
layers,solo_L07_R12,12,all_but_7,,0.645776,+0.001191,16,4.5
layers,solo_L07_R16,16,all_but_7,,0.644396,-0.000189,16,4.5
layers,solo_L07_R24,24,all_but_7,,0.645151,+0.000566,16,4.5
layers,solo_L08_R8,8,all_but_8,,0.646442,+0.001857,16,4.5
layers,solo_L08_R12,12,all_but_8,,0.645472,+0.000887,16,4.5
layers,solo_L08_R16,16,all_but_8,,0.644978,+0.000393,16,4.5
layers,solo_L08_R24,24,all_but_8,,0.644937,+0.000352,16,4.5
layers,solo_L09_R8,8,all_but_9,,0.645676,+0.001091,16,4.5
layers,solo_L09_R12,12,all_but_9,,0.645293,+0.000708,16,4.5
layers,solo_L09_R16,16,all_but_9,,0.644579,-0.000006,16,4.5
layers,solo_L09_R24,24,all_but_9,,0.644054,-0.000531,16,4.5
layers,solo_L10_R8,8,all_but_10,,0.643485,-0.001100,16,4.5
layers,solo_L10_R12,12,all_but_10,,0.642841,-0.001744,16,4.5
layers,solo_L10_R16,16,all_but_10,,0.643026,-0.001559,16,4.5
layers,solo_L10_R24,24,all_but_10,,0.643570,-0.001015,16,4.5
layers,solo_L11_R8,8,all_but_11,,0.646157,+0.001572,16,4.5
layers,solo_L11_R12,12,all_but_11,,0.644687,+0.000102,16,4.5
layers,solo_L11_R16,16,all_but_11,,0.643120,-0.001464,16,4.5
layers,solo_L11_R24,24,all_but_11,,0.644029,-0.000556,16,4.5
layers,solo_L12_R8,8,all_but_12,,0.649109,+0.004524,16,4.5
layers,solo_L12_R12,12,all_but_12,,0.648524,+0.003939,16,4.5
layers,solo_L12_R16,16,all_but_12,,0.647545,+0.002960,16,4.5
layers,solo_L12_R24,24,all_but_12,,0.647339,+0.002754,16,4.5
layers,solo_L13_R8,8,all_but_13,,0.646509,+0.001924,16,4.5
layers,solo_L13_R12,12,all_but_13,,0.646530,+0.001945,16,4.5
layers,solo_L13_R16,16,all_but_13,,0.646476,+0.001891,16,4.5
layers,solo_L13_R24,24,all_but_13,,0.645379,+0.000794,16,4.5
layers,solo_L14_R8,8,all_but_14,,0.645382,+0.000797,16,4.5
layers,solo_L14_R12,12,all_but_14,,0.645102,+0.000517,16,4.5
layers,solo_L14_R16,16,all_but_14,,0.644968,+0.000383,16,4.5
layers,solo_L14_R24,24,all_but_14,,0.644791,+0.000207,16,4.5
layers,solo_L15_R8,8,all_but_15,,0.645452,+0.000867,16,4.5
layers,solo_L15_R12,12,all_but_15,,0.644901,+0.000316,16,4.5
layers,solo_L15_R16,16,all_but_15,,0.644913,+0.000328,16,4.5
layers,solo_L15_R24,24,all_but_15,,0.644640,+0.000056,16,4.5
layers,solo_L16_R8,8,all_but_16,,0.645301,+0.000716,16,4.5
layers,solo_L16_R12,12,all_but_16,,0.644962,+0.000377,16,4.5
layers,solo_L16_R16,16,all_but_16,,0.644752,+0.000167,16,4.5
layers,solo_L16_R24,24,all_but_16,,0.644666,+0.000081,16,4.5
layers,solo_L17_R8,8,all_but_17,,0.646158,+0.001573,16,4.5
layers,solo_L17_R12,12,all_but_17,,0.645667,+0.001082,16,4.5
layers,solo_L17_R16,16,all_but_17,,0.645515,+0.000930,16,4.5
layers,solo_L17_R24,24,all_but_17,,0.645033,+0.000448,16,4.5
layers,solo_L18_R8,8,all_but_18,,0.646049,+0.001464,16,4.5
layers,solo_L18_R12,12,all_but_18,,0.645581,+0.000996,16,4.5
layers,solo_L18_R16,16,all_but_18,,0.645277,+0.000692,16,4.5
layers,solo_L18_R24,24,all_but_18,,0.645134,+0.000549,16,4.5
layers,solo_L19_R8,8,all_but_19,,0.645577,+0.000992,16,4.5
layers,solo_L19_R12,12,all_but_19,,0.645468,+0.000883,16,4.5
