"# qwen3 per-layer damage d_l(R): solo layer l constrained at R, others free, base surface; then fitted greedy allocation vs uniform at iso-memory slot budgets, both surfaces. Training-free, min_logit <=1 swap/token, gate_mass=preserve. free_set column: ALL = every layer free, all_but_l = solo cell. Producer: analysis/ple/frontier_qwen.py --perlayer"
stage,surface,cell,R,free_set,R_map,bpb,swap_rate,n_seq,secs
smoke,base,free,8,ALL,,0.615448,0.0000,16,35.4
smoke,base,R8_s1,8,,,0.734118,0.9973,16,6.3
smoke,base,R8_via_uniform_R_map,8,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8;16:8;17:8;18:8;19:8;20:8;21:8;22:8;23:8;24:8;25:8;26:8;27:8;28:8;29:8;30:8;31:8;32:8;33:8;34:8;35:8;36:8;37:8;38:8;39:8;40:8;41:8;42:8;43:8;44:8;45:8;46:8;47:8,0.734352,0.9973,16,5.4
smoke,base,free,8,ALL,,0.615460,0.0000,16,15.4
smoke,base,R8_s1,8,,,0.732680,0.9973,16,6.0
smoke,base,R8_via_uniform_R_map,8,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8;16:8;17:8;18:8;19:8;20:8;21:8;22:8;23:8;24:8;25:8;26:8;27:8;28:8;29:8;30:8;31:8;32:8;33:8;34:8;35:8;36:8;37:8;38:8;39:8;40:8;41:8;42:8;43:8;44:8;45:8;46:8;47:8,0.733594,0.9972,16,5.3
smoke,base,solo_L00_R8,8,all_but_0,,0.617365,0.9997,16,4.7
layers,base,solo_L00_R12,12,all_but_0,,0.617469,1.0000,16,4.7
layers,base,solo_L00_R16,16,all_but_0,,0.616912,0.9999,16,4.7
layers,base,solo_L00_R24,24,all_but_0,,0.616176,1.0000,16,4.7
layers,base,solo_L01_R8,8,all_but_1,,0.616815,0.9999,16,4.7
layers,base,solo_L01_R12,12,all_but_1,,0.616635,1.0000,16,4.7
layers,base,solo_L01_R16,16,all_but_1,,0.616489,1.0000,16,4.7
layers,base,solo_L01_R24,24,all_but_1,,0.616004,1.0000,16,4.7
layers,base,solo_L02_R8,8,all_but_2,,0.616887,0.9998,16,4.7
layers,base,solo_L02_R12,12,all_but_2,,0.616515,0.9999,16,4.7
layers,base,solo_L02_R16,16,all_but_2,,0.616483,1.0000,16,4.7
layers,base,solo_L02_R24,24,all_but_2,,0.616303,1.0000,16,4.7
layers,base,solo_L03_R8,8,all_but_3,,0.616895,0.9998,16,4.7
layers,base,solo_L03_R12,12,all_but_3,,0.616549,0.9999,16,4.7
layers,base,solo_L03_R16,16,all_but_3,,0.616271,0.9999,16,4.7
layers,base,solo_L03_R24,24,all_but_3,,0.616111,1.0000,16,4.7
layers,base,solo_L04_R8,8,all_but_4,,0.616230,0.9997,16,4.7
layers,base,solo_L04_R12,12,all_but_4,,0.615995,0.9999,16,4.7
layers,base,solo_L04_R16,16,all_but_4,,0.615913,1.0000,16,4.7
