"# qwen3_5 per-layer damage d_l(R): solo layer l constrained at R, others free, base surface; then fitted greedy allocation vs uniform at iso-memory slot budgets, both surfaces. Training-free, min_logit <=1 swap/token, gate_mass=preserve. free_set column: ALL = every layer free, all_but_l = solo cell. Producer: analysis/residency/frontier_qwen.py --perlayer"
stage,surface,cell,R,free_set,R_map,bpb,swap_rate,n_seq,secs
smoke,base,free,8,ALL,,0.625099,0.0000,16,48.6
smoke,base,R8_s1,8,,,0.680360,0.9996,16,5.6
smoke,base,R8_via_uniform_R_map,8,,0:8;1:8;2:8;3:8;4:8;5:8;6:8;7:8;8:8;9:8;10:8;11:8;12:8;13:8;14:8;15:8;16:8;17:8;18:8;19:8;20:8;21:8;22:8;23:8;24:8;25:8;26:8;27:8;28:8;29:8;30:8;31:8;32:8;33:8;34:8;35:8;36:8;37:8;38:8;39:8,0.680832,0.9996,16,4.6
smoke,base,solo_L00_R8,8,all_but_0,,0.625893,1.0000,16,4.0
layers,base,solo_L00_R12,12,all_but_0,,0.625703,1.0000,16,4.0
layers,base,solo_L00_R16,16,all_but_0,,0.625873,1.0000,16,4.1
layers,base,solo_L00_R24,24,all_but_0,,0.625732,1.0000,16,4.0
layers,base,solo_L01_R8,8,all_but_1,,0.626258,1.0000,16,4.0
layers,base,solo_L01_R12,12,all_but_1,,0.626096,1.0000,16,4.0
layers,base,solo_L01_R16,16,all_but_1,,0.626092,1.0000,16,4.0
layers,base,solo_L01_R24,24,all_but_1,,0.625918,1.0000,16,4.0
layers,base,solo_L02_R8,8,all_but_2,,0.625911,1.0000,16,4.0
layers,base,solo_L02_R12,12,all_but_2,,0.625798,1.0000,16,4.0
layers,base,solo_L02_R16,16,all_but_2,,0.625665,1.0000,16,4.0
layers,base,solo_L02_R24,24,all_but_2,,0.625543,1.0000,16,4.0
layers,base,solo_L03_R8,8,all_but_3,,0.625475,1.0000,16,4.0
layers,base,solo_L03_R12,12,all_but_3,,0.625211,1.0000,16,4.0
layers,base,solo_L03_R16,16,all_but_3,,0.625338,1.0000,16,4.0
layers,base,solo_L03_R24,24,all_but_3,,0.625325,1.0000,16,4.0
layers,base,solo_L04_R8,8,all_but_4,,0.625951,1.0000,16,4.0
layers,base,solo_L04_R12,12,all_but_4,,0.625871,1.0000,16,4.0
layers,base,solo_L04_R16,16,all_but_4,,0.625940,1.0000,16,4.0
layers,base,solo_L04_R24,24,all_but_4,,0.625729,1.0000,16,4.0
layers,base,solo_L05_R8,8,all_but_5,,0.625699,0.9998,16,4.0
layers,base,solo_L05_R12,12,all_but_5,,0.625612,1.0000,16,4.0
layers,base,solo_L05_R16,16,all_but_5,,0.625420,1.0000,16,4.0
layers,base,solo_L05_R24,24,all_but_5,,0.625371,1.0000,16,4.0
layers,base,solo_L06_R8,8,all_but_6,,0.626060,0.9998,16,4.0
layers,base,solo_L06_R12,12,all_but_6,,0.625610,1.0000,16,4.0
layers,base,solo_L06_R16,16,all_but_6,,0.625648,1.0000,16,4.0
layers,base,solo_L06_R24,24,all_but_6,,0.625594,1.0000,16,4.0
layers,base,solo_L07_R8,8,all_but_7,,0.625962,0.9998,16,4.0
layers,base,solo_L07_R12,12,all_but_7,,0.625664,1.0000,16,4.0
layers,base,solo_L07_R16,16,all_but_7,,0.625635,1.0000,16,4.0
layers,base,solo_L07_R24,24,all_but_7,,0.625540,1.0000,16,4.0
layers,base,solo_L08_R8,8,all_but_8,,0.625531,0.9994,16,4.0
layers,base,solo_L08_R12,12,all_but_8,,0.625411,1.0000,16,4.0
layers,base,solo_L08_R16,16,all_but_8,,0.625362,1.0000,16,4.0
layers,base,solo_L08_R24,24,all_but_8,,0.625410,1.0000,16,4.0
layers,base,solo_L09_R8,8,all_but_9,,0.625566,0.9997,16,4.0
layers,base,solo_L09_R12,12,all_but_9,,0.625476,1.0000,16,4.0
layers,base,solo_L09_R16,16,all_but_9,,0.625586,1.0000,16,4.0
layers,base,solo_L09_R24,24,all_but_9,,0.625501,1.0000,16,4.0
layers,base,solo_L10_R8,8,all_but_10,,0.625877,0.9996,16,4.0
layers,base,solo_L10_R12,12,all_but_10,,0.625717,1.0000,16,4.0
layers,base,solo_L10_R16,16,all_but_10,,0.625492,1.0000,16,4.0
layers,base,solo_L10_R24,24,all_but_10,,0.625569,1.0000,16,4.0
layers,base,solo_L11_R8,8,all_but_11,,0.626196,1.0000,16,4.0
layers,base,solo_L11_R12,12,all_but_11,,0.625864,1.0000,16,4.0
layers,base,solo_L11_R16,16,all_but_11,,0.625864,1.0000,16,4.0
layers,base,solo_L11_R24,24,all_but_11,,0.625737,1.0000,16,4.0
layers,base,solo_L12_R8,8,all_but_12,,0.625532,0.9996,16,4.0
layers,base,solo_L12_R12,12,all_but_12,,0.625562,1.0000,16,4.0
layers,base,solo_L12_R16,16,all_but_12,,0.625554,1.0000,16,4.0
layers,base,solo_L12_R24,24,all_but_12,,0.625580,1.0000,16,4.0
layers,base,solo_L13_R8,8,all_but_13,,0.625591,0.9996,16,4.0
layers,base,solo_L13_R12,12,all_but_13,,0.625359,1.0000,16,4.0
layers,base,solo_L13_R16,16,all_but_13,,0.625403,1.0000,16,4.0
layers,base,solo_L13_R24,24,all_but_13,,0.625443,1.0000,16,4.0
layers,base,solo_L14_R8,8,all_but_14,,0.625597,0.9984,16,4.0
layers,base,solo_L14_R12,12,all_but_14,,0.625500,1.0000,16,4.0
layers,base,solo_L14_R16,16,all_but_14,,0.625314,1.0000,16,4.0
layers,base,solo_L14_R24,24,all_but_14,,0.625211,1.0000,16,4.0
layers,base,solo_L15_R8,8,all_but_15,,0.625432,0.9996,16,4.0
layers,base,solo_L15_R12,12,all_but_15,,0.625295,0.9999,16,4.0
layers,base,solo_L15_R16,16,all_but_15,,0.625261,1.0000,16,4.0
layers,base,solo_L15_R24,24,all_but_15,,0.625379,1.0000,16,4.0
layers,base,solo_L16_R8,8,all_but_16,,0.625496,0.9995,16,4.0
layers,base,solo_L16_R12,12,all_but_16,,0.625416,1.0000,16,4.0
layers,base,solo_L16_R16,16,all_but_16,,0.625497,1.0000,16,4.0
layers,base,solo_L16_R24,24,all_but_16,,0.625353,1.0000,16,4.0
layers,base,solo_L17_R8,8,all_but_17,,0.625592,0.9994,16,4.0
layers,base,solo_L17_R12,12,all_but_17,,0.625370,1.0000,16,4.0
layers,base,solo_L17_R16,16,all_but_17,,0.625303,1.0000,16,4.0
layers,base,solo_L17_R24,24,all_but_17,,0.625364,1.0000,16,4.0
layers,base,solo_L18_R8,8,all_but_18,,0.625572,0.9991,16,4.0
layers,base,solo_L18_R12,12,all_but_18,,0.625439,1.0000,16,4.0
layers,base,solo_L18_R16,16,all_but_18,,0.625320,1.0000,16,4.0
layers,base,solo_L18_R24,24,all_but_18,,0.625286,1.0000,16,4.0
layers,base,solo_L19_R8,8,all_but_19,,0.625540,0.9992,16,4.0
layers,base,solo_L19_R12,12,all_but_19,,0.625399,1.0000,16,4.0
layers,base,solo_L19_R16,16,all_but_19,,0.625497,1.0000,16,4.0
layers,base,solo_L19_R24,24,all_but_19,,0.625297,1.0000,16,4.0
layers,base,solo_L20_R8,8,all_but_20,,0.625494,0.9982,16,4.0
layers,base,solo_L20_R12,12,all_but_20,,0.625279,0.9999,16,4.0
layers,base,solo_L20_R16,16,all_but_20,,0.625318,1.0000,16,4.0
layers,base,solo_L20_R24,24,all_but_20,,0.625026,1.0000,16,4.0
layers,base,solo_L21_R8,8,all_but_21,,0.625439,0.9989,16,4.0
layers,base,solo_L21_R12,12,all_but_21,,0.625449,1.0000,16,4.0
layers,base,solo_L21_R16,16,all_but_21,,0.625503,1.0000,16,4.0
layers,base,solo_L21_R24,24,all_but_21,,0.625340,1.0000,16,4.0
layers,base,solo_L22_R8,8,all_but_22,,0.625734,0.9999,16,4.0
layers,base,solo_L22_R12,12,all_but_22,,0.625642,1.0000,16,4.0
layers,base,solo_L22_R16,16,all_but_22,,0.625573,1.0000,16,4.0
layers,base,solo_L22_R24,24,all_but_22,,0.625455,1.0000,16,4.0
layers,base,solo_L23_R8,8,all_but_23,,0.625906,1.0000,16,4.0
layers,base,solo_L23_R12,12,all_but_23,,0.625792,1.0000,16,4.0
layers,base,solo_L23_R16,16,all_but_23,,0.625683,1.0000,16,4.0
layers,base,solo_L23_R24,24,all_but_23,,0.625659,1.0000,16,4.0
layers,base,solo_L24_R8,8,all_but_24,,0.625561,0.9994,16,4.0
layers,base,solo_L24_R12,12,all_but_24,,0.625351,1.0000,16,4.0
layers,base,solo_L24_R16,16,all_but_24,,0.625398,1.0000,16,4.0
layers,base,solo_L24_R24,24,all_but_24,,0.625434,1.0000,16,4.0
layers,base,solo_L25_R8,8,all_but_25,,0.625282,0.9995,16,4.0
layers,base,solo_L25_R12,12,all_but_25,,0.625432,1.0000,16,4.0
layers,base,solo_L25_R16,16,all_but_25,,0.625358,1.0000,16,4.0
layers,base,solo_L25_R24,24,all_but_25,,0.625270,1.0000,16,4.0
layers,base,solo_L26_R8,8,all_but_26,,0.625367,0.9988,16,4.0
layers,base,solo_L26_R12,12,all_but_26,,0.625159,1.0000,16,4.0
layers,base,solo_L26_R16,16,all_but_26,,0.625241,1.0000,16,4.0
layers,base,solo_L26_R24,24,all_but_26,,0.625296,1.0000,16,4.0
layers,base,solo_L27_R8,8,all_but_27,,0.625487,0.9991,16,4.0
layers,base,solo_L27_R12,12,all_but_27,,0.625490,0.9999,16,4.0
layers,base,solo_L27_R16,16,all_but_27,,0.625454,1.0000,16,4.0
layers,base,solo_L27_R24,24,all_but_27,,0.625319,1.0000,16,4.0
layers,base,solo_L28_R8,8,all_but_28,,0.625751,0.9994,16,4.0
layers,base,solo_L28_R12,12,all_but_28,,0.625583,1.0000,16,4.0
layers,base,solo_L28_R16,16,all_but_28,,0.625533,1.0000,16,4.0
layers,base,solo_L28_R24,24,all_but_28,,0.625504,1.0000,16,4.0
layers,base,solo_L29_R8,8,all_but_29,,0.625881,0.9995,16,4.0
layers,base,solo_L29_R12,12,all_but_29,,0.625669,1.0000,16,4.0
layers,base,solo_L29_R16,16,all_but_29,,0.625623,1.0000,16,4.0
layers,base,solo_L29_R24,24,all_but_29,,0.625464,1.0000,16,4.0
layers,base,solo_L30_R8,8,all_but_30,,0.625921,0.9996,16,4.0
layers,base,solo_L30_R12,12,all_but_30,,0.625653,1.0000,16,4.0
layers,base,solo_L30_R16,16,all_but_30,,0.625667,1.0000,16,4.0
layers,base,solo_L30_R24,24,all_but_30,,0.625492,1.0000,16,4.0
layers,base,solo_L31_R8,8,all_but_31,,0.625996,0.9988,16,4.0
layers,base,solo_L31_R12,12,all_but_31,,0.625785,0.9999,16,4.0
layers,base,solo_L31_R16,16,all_but_31,,0.625671,1.0000,16,4.0
layers,base,solo_L31_R24,24,all_but_31,,0.625465,1.0000,16,4.0
layers,base,solo_L32_R8,8,all_but_32,,0.627507,0.9998,16,4.0
layers,base,solo_L32_R12,12,all_but_32,,0.626995,1.0000,16,4.0
layers,base,solo_L32_R16,16,all_but_32,,0.626720,1.0000,16,4.0
layers,base,solo_L32_R24,24,all_but_32,,0.626560,1.0000,16,4.0
layers,base,solo_L33_R8,8,all_but_33,,0.628465,0.9995,16,4.0
layers,base,solo_L33_R12,12,all_but_33,,0.627694,0.9999,16,4.0
layers,base,solo_L33_R16,16,all_but_33,,0.627376,1.0000,16,4.0
layers,base,solo_L33_R24,24,all_but_33,,0.627138,1.0000,16,4.0
layers,base,solo_L34_R8,8,all_but_34,,0.628563,0.9998,16,4.0
layers,base,solo_L34_R12,12,all_but_34,,0.627728,1.0000,16,4.0
layers,base,solo_L34_R16,16,all_but_34,,0.627467,1.0000,16,4.0
layers,base,solo_L34_R24,24,all_but_34,,0.626999,1.0000,16,4.0
layers,base,solo_L35_R8,8,all_but_35,,0.626465,0.9989,16,4.0
layers,base,solo_L35_R12,12,all_but_35,,0.626020,1.0000,16,4.0
layers,base,solo_L35_R16,16,all_but_35,,0.625882,1.0000,16,4.0
layers,base,solo_L35_R24,24,all_but_35,,0.625638,1.0000,16,4.0
layers,base,solo_L36_R8,8,all_but_36,,0.627113,0.9995,16,4.0
layers,base,solo_L36_R12,12,all_but_36,,0.626610,1.0000,16,4.0
layers,base,solo_L36_R16,16,all_but_36,,0.626401,1.0000,16,4.0
layers,base,solo_L36_R24,24,all_but_36,,0.626251,1.0000,16,4.0
layers,base,solo_L37_R8,8,all_but_37,,0.627103,0.9997,16,4.0
layers,base,solo_L37_R12,12,all_but_37,,0.626704,1.0000,16,4.0
layers,base,solo_L37_R16,16,all_but_37,,0.626430,1.0000,16,4.0
layers,base,solo_L37_R24,24,all_but_37,,0.626407,1.0000,16,4.0
layers,base,solo_L38_R8,8,all_but_38,,0.628215,0.9999,16,4.0
layers,base,solo_L38_R12,12,all_but_38,,0.627796,1.0000,16,4.0
layers,base,solo_L38_R16,16,all_but_38,,0.627486,1.0000,16,4.0
layers,base,solo_L38_R24,24,all_but_38,,0.627365,1.0000,16,4.0
layers,base,solo_L39_R8,8,all_but_39,,0.634952,0.9998,16,4.0
layers,base,solo_L39_R12,12,all_but_39,,0.633235,1.0000,16,4.0
layers,base,solo_L39_R16,16,all_but_39,,0.632757,1.0000,16,4.0
layers,base,solo_L39_R24,24,all_but_39,,0.632312,1.0000,16,4.0
alloc,base,fitted_B480,8,,0:8;1:9;2:11;3:8;4:8;5:11;6:10;7:11;8:8;9:8;10:10;11:11;12:8;13:8;14:12;15:8;16:8;17:8;18:10;19:8;20:13;21:8;22:9;23:8;24:8;25:8;26:8;27:8;28:8;29:11;30:11;31:13;32:19;33:24;34:26;35:17;36:18;37:16;38:19;39:45,0.665459,0.9998,16,4.6
alloc,base,uniform_B480,12,,,0.669046,1.0000,16,4.6
alloc,distill100M,fitted_B480,8,,0:8;1:9;2:11;3:8;4:8;5:11;6:10;7:11;8:8;9:8;10:10;11:11;12:8;13:8;14:12;15:8;16:8;17:8;18:10;19:8;20:13;21:8;22:9;23:8;24:8;25:8;26:8;27:8;28:8;29:11;30:11;31:13;32:19;33:24;34:26;35:17;36:18;37:16;38:19;39:45,0.658856,0.9999,16,4.6
alloc,distill100M,uniform_B480,12,,,0.658960,1.0000,16,4.6
alloc,base,fitted_B640,8,,0:8;1:14;2:15;3:8;4:10;5:14;6:15;7:15;8:8;9:8;10:14;11:16;12:8;13:8;14:15;15:8;16:8;17:10;18:13;19:11;20:14;21:8;22:13;23:12;24:8;25:8;26:8;27:10;28:11;29:16;30:16;31:18;32:28;33:36;34:38;35:22;36:26;37:24;38:29;39:69,0.660528,0.9999,16,4.6
alloc,base,uniform_B640,16,,,0.663470,1.0000,16,4.6
alloc,distill100M,fitted_B640,8,,0:8;1:14;2:15;3:8;4:10;5:14;6:15;7:15;8:8;9:8;10:14;11:16;12:8;13:8;14:15;15:8;16:8;17:10;18:13;19:11;20:14;21:8;22:13;23:12;24:8;25:8;26:8;27:10;28:11;29:16;30:16;31:18;32:28;33:36;34:38;35:22;36:26;37:24;38:29;39:69,0.656241,0.9999,16,4.6
alloc,distill100M,uniform_B640,16,,,0.657594,1.0000,16,4.6
