# Per-point final losses for the Phase-0 1e16/1e17 isoFLOP program (FINDINGS.md sections 2-6).
# ce_test_final/bpb_test_final = Megatron's END-OF-TRAINING TEST-SET eval ('validation loss at iter N on test set' line),
#   as captured by parse_run.py into results/phase0/log.md (temporal-moe-impl@66f786b7) - its 'final_val' field name is a
#   misnomer: the regex matches all three end lines and keeps the last (= test). Verified against raw train.log on the a6000.
# published_bpb = value in FINDINGS.md/plot_g3_curves.py. Where it differs (~+0.004 CE, 8 rows) it is the DURING-TRAINING
#   val eval (20-batch subsample, occasionally at a pre-final iteration). BPB = CE/2.7568 (16k-BPE).
run,method,grain,n_shared_or_const,evict,shape,N_active_M,budget,seed,ce_test_final,bpb_test_final,bpb_divisor,published_bpb,source,note
v16k_sweep_s1_1e17,moe,1,1,,s1,3.812,1e17,1234,3.5296,1.2803,2.7568,1.284,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
v16k_sweep_s2_1e17,moe,1,1,,s2,8.115,1e17,1234,3.4985,1.269,2.7568,1.269,log.md (temporal-moe-impl@66f786b7),
v16k_sweep_s3_1e17,moe,1,1,,s3,14.774,1e17,1234,3.5543,1.2893,2.7568,1.289,log.md (temporal-moe-impl@66f786b7),
v16k_sweep_s2_1e17_seed2,moe,1,1,,s2,8.115,1e17,2,3.5004,1.2697,2.7568,,log.md (temporal-moe-impl@66f786b7),"seed-2 repro run; PASS.md CE 3.5075 = during-training val at iter 3528/3917 (verified in train.log); test-final 3.5004 -> |d|=0.0019 vs seed-1, both pass the 0.03 bar"
v16k_d_sm1_1e16,moe,1,1,,sm1,0.77,1e16,1234,4.0706,1.4766,2.7568,1.478,log.md (temporal-moe-impl@66f786b7),"published value = during-training val eval (20-batch subsample, sometimes pre-final iter); this row's ce/bpb = end-of-training test-set eval (verified in train.log)"
v16k_d_s0_1e16,moe,1,1,,s0,1.361,1e16,1234,3.988,1.4466,2.7568,1.447,log.md (temporal-moe-impl@66f786b7),
v16k_d_s1_1e16,moe,1,1,,s1,3.812,1e16,1234,4.2449,1.5398,2.7568,1.54,log.md (temporal-moe-impl@66f786b7),
v16k_d_s2_1e16,moe,1,1,,s2,8.115,1e16,1234,5.0143,1.8189,2.7568,,log.md (temporal-moe-impl@66f786b7),
v16k_d_s3_1e16,moe,1,1,,s3,14.774,1e16,1234,6.028,2.1866,2.7568,,log.md (temporal-moe-impl@66f786b7),
s2e_s1_1e17,moe,1,2,,s1,3.812,1e17,1234,3.5311,1.2809,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_s2_1e17,moe,1,2,,s2,8.115,1e17,1234,3.5011,1.27,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_s3_1e17,moe,1,2,,s3,14.774,1e17,1234,3.538,1.2834,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_d_sm1_1e16,moe,1,2,,sm1,0.77,1e16,1234,4.066,1.4749,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_d_s0_1e16,moe,1,2,,s0,1.361,1e16,1234,3.9928,1.4483,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_d_s1_1e16,moe,1,2,,s1,3.812,1e16,1234,4.2148,1.5289,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_d_s2_1e16,moe,1,2,,s2,8.115,1e16,1234,4.9859,1.8086,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
s2e_d_s3_1e16,moe,1,2,,s3,14.774,1e16,1234,5.9823,2.17,2.7568,,log.md (temporal-moe-impl@66f786b7),"s=2 variant: 2 constant experts, top-5, FLOP-matched"
dense_sm1_1e16,dense,1,0,,sm1,0.77,1e16,1234,4.2289,1.534,2.7568,,log.md (temporal-moe-impl@66f786b7),
dense_s0_1e16,dense,1,0,,s0,1.361,1e16,1234,4.1881,1.5192,2.7568,,log.md (temporal-moe-impl@66f786b7),
dense_s1_1e16,dense,1,0,,s1,3.812,1e16,1234,4.3869,1.5913,2.7568,,log.md (temporal-moe-impl@66f786b7),
dense_s2_1e16,dense,1,0,,s2,8.115,1e16,1234,5.0934,1.8476,2.7568,,log.md (temporal-moe-impl@66f786b7),
