token_id,corpus_count_in_cell,eval_ce_nats,eval_loss_share
226,1016,4.457071,1.6079e-06
1185,260,21.357668,7.705e-06
1217,519,3.978543,1.4353e-06
1517,493,58.204456,2.09978e-05
2023,978,3.759438,1.3563e-06
2059,701,6.971472,2.515e-06
2705,140,3.184202,1.1487e-06
2724,8,0.0,0.0
3003,1015,70.182666,2.53191e-05
3005,93,0.0,0.0
3273,229,27.334309,9.8611e-06
3567,166,8.402384,3.0312e-06
5556,454,90.214418,3.25457e-05
5575,570,53.9981,1.94804e-05
7278,945,86.888607,3.13459e-05
7491,969,26.388349,9.5199e-06
7909,1018,19.152422,6.9094e-06
8095,165,0.0,0.0
8181,283,51.117461,1.84411e-05
8495,547,40.114565,1.44717e-05
8688,694,90.462027,3.26351e-05
8895,296,15.996382,5.7709e-06
9957,442,45.321159,1.63501e-05
10020,892,101.722626,3.66975e-05
10158,350,11.065317,3.9919e-06
10377,253,30.171424,1.08846e-05
11063,590,94.123443,3.3956e-05
11882,109,20.84606,7.5204e-06
12196,173,28.734615,1.03663e-05
12320,554,69.857841,2.52019e-05
12569,102,5.850102,2.1105e-06
12875,391,30.597568,1.10384e-05
13157,23,0.0,0.0
13217,95,0.0,0.0
13558,174,0.0,0.0
13605,108,14.919653,5.3824e-06
13665,661,76.333022,2.75379e-05
13765,566,71.689814,2.58628e-05
14563,128,16.402335,5.9173e-06
14785,383,8.681975,3.1321e-06
15194,154,0.026895,9.7e-09
15211,462,22.624294,8.1619e-06
15477,109,2.098624,7.571e-07
15683,167,17.777572,6.4134e-06
15693,470,60.067875,2.16701e-05
16070,101,0.0,0.0
16154,627,68.882402,2.485e-05
16450,70,0.0,0.0
17045,366,42.99643,1.55114e-05
17341,393,9.096487,3.2816e-06
17718,825,68.679488,2.47768e-05
17833,436,49.229886,1.77602e-05
17890,251,4.200736,1.5155e-06
18243,112,15.922534,5.7442e-06
18278,101,1.596241,5.759e-07
18335,205,14.021987,5.0586e-06
18362,250,0.159691,5.76e-08
18406,385,32.814516,1.18382e-05
18778,28,0.050739,1.83e-08
18840,21,0.0,0.0
19140,71,0.0,0.0
19486,436,88.105399,3.17849e-05
19893,173,15.457043,5.5763e-06
20076,265,24.588934,8.8707e-06
21088,259,9.887716,3.5671e-06
21212,89,3.99439,1.441e-06
21446,175,6.156748,2.2211e-06
21806,237,0.0,0.0
22123,107,3.078157,1.1105e-06
22560,402,13.875642,5.0058e-06
22644,217,4.115234,1.4846e-06
22653,224,13.134884,4.7385e-06
23145,309,8.385324,3.0251e-06
23272,73,10.338561,3.7297e-06
23350,285,49.854167,1.79854e-05
23944,356,10.788236,3.892e-06
24345,28,0.0,0.0
24428,456,31.901441,1.15088e-05
25480,130,26.303488,9.4892e-06
25690,5,0.0,0.0
26115,218,58.079225,2.09527e-05
26479,220,1.857407,6.701e-07
26730,2,1.789677,6.456e-07
27816,89,3.297721,1.1897e-06
28362,248,53.869308,1.94339e-05
28394,169,41.163958,1.48503e-05
28611,107,13.668272,4.931e-06
28843,15,7.316422,2.6395e-06
29335,77,0.147568,5.32e-08
29382,275,69.510433,2.50766e-05
29461,94,6.01281,2.1692e-06
29733,14,0.0,0.0
30044,98,0.0,0.0
30045,131,6.039393,2.1788e-06
30295,83,0.0,0.0
31384,201,11.501484,4.1493e-06
31393,154,0.0,0.0
31746,193,33.484941,1.208e-05
32297,114,10.577951,3.8161e-06
32368,115,12.578637,4.5379e-06
32404,155,0.0,0.0
32939,110,8.041617,2.9011e-06
33225,27,4.177931,1.5072e-06
33674,344,23.697536,8.5491e-06
33772,370,16.475989,5.9439e-06
33844,34,0.0,0.0
34469,155,15.402103,5.5565e-06
35695,216,15.017443,5.4177e-06
35727,2,0.0,0.0
35797,19,0.0,0.0
36021,108,5.731732,2.0678e-06
36098,121,10.111347,3.6478e-06
36408,122,5.893114,2.126e-06
36878,39,24.989869,9.0153e-06
37235,140,9.230651,3.33e-06
37352,72,10.352616,3.7348e-06
37535,148,27.142976,9.7921e-06
37550,123,12.789212,4.6138e-06
38252,118,0.0,0.0
38662,97,7.632104,2.7534e-06
38738,327,24.000079,8.6583e-06
38751,156,0.121007,4.37e-08
38991,20,0.0,0.0
39122,21,0.0,0.0
39170,10,0.0,0.0
39188,93,6.093953,2.1985e-06
39479,133,3.052777,1.1013e-06
39491,37,0.005478,2e-09
39528,86,2.954739,1.066e-06
39658,93,21.853356,7.8838e-06
39694,279,34.566571,1.24702e-05
40424,99,1.232487,4.446e-07
41877,10,0.0,0.0
42150,23,14.947562,5.3925e-06
42283,146,10.44012,3.7664e-06
42609,2,0.0,0.0
42620,183,28.746687,1.03707e-05
43100,36,0.0,0.0
43122,26,0.0,0.0
43140,11,0.0,0.0
44028,30,0.0,0.0
44562,6,0.0,0.0
44576,15,0.0,0.0
45408,4,19.374247,6.9895e-06
45461,4,0.0,0.0
45874,194,0.301663,1.088e-07
46212,2,0.0,0.0
47223,33,0.0,0.0
47324,19,0.0,0.0
47397,4,0.0,0.0
47569,80,0.0,0.0
47659,13,0.0,0.0
48114,36,0.0,0.0
48349,104,11.408485,4.1157e-06
48833,223,15.761528,5.6861e-06
48890,28,0.0,0.0
49245,38,0.0,0.0
49835,8,0.0,0.0
49942,17,0.0,0.0
50237,3,0.0,0.0
