tag,rank,train_tokens,mb,accum,lr,table_wd,adam8bit,flash_attention,lora,ple_start,calib_init,calib_ref,free_layers,ple_params,final_bpb,recovery_pct,recovery_pct_of_C_at_matched_budget,recovery_gain_vs_C50M_points,delta_vs_C50M,delta_vs_C250M,delta_vs_CE50M,beats_C50M_by_2sigma,ties_or_beats_C250M,token_efficiency_vs_C250M,beats_CE50M_by_2sigma,verdict,final_swap,final_entropy,divisor,curve_bpb
cal_full,full,50003968,4,4,0.0003,0.0,True,on,0,0,True,untrained,0,1648361488,0.857931,91.09,90.07,1.02,-0.021169,0.007431,0.031031,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999735,0.998454,3.1089070924799973,10M:0.910548|20M:0.883521|30M:0.873572|40M:0.866314|50M:0.857931
cal_r512,512,50003968,16,1,0.0003,0.0,True,on,0,0,True,untrained,0,42532880,0.854536,91.25,90.07,1.18,-0.024564,0.004036,0.027636,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.99973,0.998093,3.1089070924799973,10M:0.902648|20M:0.876085|30M:0.866914|40M:0.859288|50M:0.854536
cal_seq_512,512,100007936,16,1,0.0003,0.0,True,on,0,0,True,_at50M,0,42532880,0.850227,91.46,90.07,1.39,-0.028873,-0.000273,0.023327,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999773,0.998507,3.1089070924799973,10M:0.985355|20M:0.922313|30M:0.897830|40M:0.886032|50M:0.877859|60M:0.893191|70M:0.868809|80M:0.859919|90M:0.853555|100M:0.850227
calstack_full,full,50003968,4,4,0.0003,0.0,True,on,0,0,True,untrained,0,1648361488,0.873675,90.33,90.07,0.26,-0.005425,0.023175,0.046775,False,False,<5x,False,does not beat C@50M by 2 sigma,0.999736,0.998689,3.1089070924799973,10M:0.926625|20M:0.902901|30M:0.889798|40M:0.880575|50M:0.873675
ce_free2,off,50003968,16,1,0.0003,0.0,False,on,32,0,False,,2,0,0.81444,93.18,90.07,3.11,-0.06466,-0.03606,-0.01246,True,True,>5x,True,"first 2 MoE layer(s) UNCONSTRAINED: relaxes the constraint, costs +87.5% resident expert memory; not comparable to a full-residency number",0.999685,0.998008,3.1089070924799973,10M:0.839348|20M:0.825441|30M:0.819173|40M:0.816263|50M:0.814440
ce_ple_128,128,50003968,16,1,0.0003,0.0,True,on,32,0,False,,0,10633232,0.83273,92.3,90.07,2.23,-0.04637,-0.01777,0.00583,True,True,>5x,False,ties CE@50M within 2 sigma,0.999712,0.998261,3.1089070924799973,10M:0.864294|20M:0.847120|30M:0.839963|40M:0.835348|50M:0.832730
ce_ple_512,512,50003968,16,1,0.0003,0.0,True,on,32,0,False,,0,42532880,0.833799,92.25,90.07,2.18,-0.045301,-0.016701,0.006899,True,True,>5x,False,ties CE@50M within 2 sigma,0.999723,0.998522,3.1089070924799973,10M:0.865135|20M:0.847575|30M:0.841084|40M:0.836860|50M:0.833799
ladder_full,full,50003968,4,4,0.0003,0.0,True,on,0,0,False,,0,1648361488,0.858867,91.04,90.07,0.97,-0.020233,0.008367,0.031967,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999728,0.998432,3.1089070924799973,10M:0.914016|20M:0.884746|30M:0.872327|40M:0.865310|50M:0.858867
ladder_r128,128,50003968,16,1,0.0003,0.0,True,on,0,0,False,,0,10633232,0.854388,91.26,90.07,1.19,-0.024712,0.003888,0.027488,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999767,0.998361,3.1089070924799973,10M:0.911643|20M:0.880207|30M:0.865968|40M:0.859990|50M:0.854388
ladder_r32,32,50003968,16,1,0.0003,0.0,True,on,0,0,False,,0,2658320,0.864538,90.77,90.07,0.7,-0.014562,0.014038,0.037638,True,False,<5x,False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999789,0.997912,3.1089070924799973,10M:0.941262|20M:0.895522|30M:0.879195|40M:0.870500|50M:0.864538
ladder_r512,512,50003968,16,1,0.0003,0.0,True,on,0,0,False,,0,42532880,0.848854,91.52,90.07,1.46,-0.030246,-0.001646,0.021954,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999746,0.998251,3.1089070924799973,10M:0.895900|20M:0.870204|30M:0.859641|40M:0.853399|50M:0.848854
seq_ple_512,512,100007936,16,1,0.0003,0.0,True,on,0,50000000,False,,0,42532880,0.843163,91.8,90.07,1.73,-0.035937,-0.007337,0.016263,True,True,5x (ties C@250M at 50M),False,"beats C@50M, worse than LoRA (CE@50M) -- PLE is the weaker third mechanism",0.999796,0.998359,3.1089070924799973,10M:0.985355|20M:0.922313|30M:0.897830|40M:0.886032|50M:0.877859|60M:0.864519|70M:0.856386|80M:0.850499|90M:0.847099|100M:0.843163
REFERENCE,C@50M router+norms,50000000,,,,,,,,,,,,,0.8791,90.07,,,,,,,,,,,,,3.1089070924799973,
REFERENCE,C@250M router+norms,250000000,,,,,,,,,,,,,0.8505,91.44,,,,,,,,,,,,,3.1089070924799973,
REFERENCE,CE@50M router+norms+LoRA r32,50000000,,,,,,,,,,,,,0.8269,92.58,,,,,,,,,,,,,3.1089070924799973,
REFERENCE,F' full finetune 6.92B,250000000,,,,,,,,,,,,,0.8106,93.36,,,,,,,,,,,,,3.1089070924799973,
