group,name,metric,value,note
trained_cell,cal_full,final_bpb,0.857931,"calibrated PLE init, base norms"
trained_cell,cal_full,recovery_pct,91.09,"calibrated PLE init, base norms"
trained_cell,cal_full,train_tokens,50003968,
trained_cell,cal_full,rank,full,
trained_cell,cal_full,lora_r,0,
trained_cell,cal_full,free_set,,
trained_cell,cal_full,ple_params,1648361488,
trained_cell,cal_full,mb_x_accum,4x4,
trained_cell,cal_full,table_wd,0.0,
trained_cell,cal_full,calib_init,True,
trained_cell,cal_full,ple_start_tokens,0,
trained_cell,cal_full,final_swap_rate,0.999735,
trained_cell,cal_full,final_usage_entropy,0.998454,
trained_cell,cal_full,bpb_curve,10M:0.910548|20M:0.883521|30M:0.873572|40M:0.866314|50M:0.857931,
trained_cell,cal_full,train_bpb_curve,10M:1.043260|20M:0.929261|30M:0.905507|40M:0.895470|50M:0.891542,
trained_cell,cal_r512,final_bpb,0.854536,"calibrated PLE init, base norms"
trained_cell,cal_r512,recovery_pct,91.25,"calibrated PLE init, base norms"
trained_cell,cal_r512,train_tokens,50003968,
trained_cell,cal_r512,rank,512,
trained_cell,cal_r512,lora_r,0,
trained_cell,cal_r512,free_set,,
trained_cell,cal_r512,ple_params,42532880,
trained_cell,cal_r512,mb_x_accum,16x1,
trained_cell,cal_r512,table_wd,0.0,
trained_cell,cal_r512,calib_init,True,
trained_cell,cal_r512,ple_start_tokens,0,
trained_cell,cal_r512,final_swap_rate,0.99973,
trained_cell,cal_r512,final_usage_entropy,0.998093,
trained_cell,cal_r512,bpb_curve,10M:0.902648|20M:0.876085|30M:0.866914|40M:0.859288|50M:0.854536,
trained_cell,cal_r512,train_bpb_curve,10M:1.013990|20M:0.922338|30M:0.899679|40M:0.892243|50M:0.889285,
trained_cell,cal_seq_512,final_bpb,0.850227,"calibrated PLE init at 50M, delta captured vs the 50M surface"
trained_cell,cal_seq_512,recovery_pct,91.46,"calibrated PLE init at 50M, delta captured vs the 50M surface"
trained_cell,cal_seq_512,train_tokens,100007936,
trained_cell,cal_seq_512,rank,512,
trained_cell,cal_seq_512,lora_r,0,
trained_cell,cal_seq_512,free_set,,
trained_cell,cal_seq_512,ple_params,42532880,
trained_cell,cal_seq_512,mb_x_accum,16x1,
trained_cell,cal_seq_512,table_wd,0.0,
trained_cell,cal_seq_512,calib_init,True,
trained_cell,cal_seq_512,ple_start_tokens,0,
trained_cell,cal_seq_512,final_swap_rate,0.999773,
trained_cell,cal_seq_512,final_usage_entropy,0.998507,
trained_cell,cal_seq_512,bpb_curve,10M:0.985355|20M:0.922313|30M:0.897830|40M:0.886032|50M:0.877859|60M:0.893191|70M:0.868809|80M:0.859919|90M:0.853555|100M:0.850227,
trained_cell,cal_seq_512,train_bpb_curve,10M:1.305084|20M:0.986447|30M:0.939970|40M:0.922987|50M:0.915179|60M:0.957757|70M:0.907186|80M:0.894093|90M:0.891514|100M:0.884308,
trained_cell,calstack_full,final_bpb,0.873675,init from the PLE-then-norms training-free stack (53.13%)
trained_cell,calstack_full,recovery_pct,90.33,init from the PLE-then-norms training-free stack (53.13%)
trained_cell,calstack_full,train_tokens,50003968,
trained_cell,calstack_full,rank,full,
trained_cell,calstack_full,lora_r,0,
trained_cell,calstack_full,free_set,,
trained_cell,calstack_full,ple_params,1648361488,
trained_cell,calstack_full,mb_x_accum,4x4,
trained_cell,calstack_full,table_wd,0.0,
trained_cell,calstack_full,calib_init,True,
trained_cell,calstack_full,ple_start_tokens,0,
trained_cell,calstack_full,final_swap_rate,0.999736,
trained_cell,calstack_full,final_usage_entropy,0.998689,
trained_cell,calstack_full,bpb_curve,10M:0.926625|20M:0.902901|30M:0.889798|40M:0.880575|50M:0.873675,
trained_cell,calstack_full,train_bpb_curve,10M:1.010653|20M:0.949190|30M:0.925456|40M:0.914519|50M:0.908187,
trained_cell,ce_auxfix_50M,final_bpb,0.827549,
trained_cell,ce_auxfix_50M,recovery_pct,92.55,
trained_cell,ce_auxfix_50M,train_tokens,50003968,
trained_cell,ce_auxfix_50M,rank,off,
trained_cell,ce_auxfix_50M,lora_r,32,
trained_cell,ce_auxfix_50M,free_set,,
trained_cell,ce_auxfix_50M,ple_params,0,
trained_cell,ce_auxfix_50M,mb_x_accum,16x1,
trained_cell,ce_auxfix_50M,table_wd,0.0,
trained_cell,ce_auxfix_50M,calib_init,False,
trained_cell,ce_auxfix_50M,ple_start_tokens,0,
trained_cell,ce_auxfix_50M,final_swap_rate,0.999726,
