tag,table,csurf,lora,bucket,n_eval_tokens,bpb,recovery_pct,swap_rate,usage_entropy,divisor
trainfree_r512_init,calib_table_r512.pt,none,0,ALL,1048320,2.088235,31.88,0.999809,0.992347,3.1089070924799973
trainfree_full_init,calib_table_rfull.pt,none,0,ALL,1048320,1.973545,37.4,0.999812,0.992527,3.1089070924799973
trainfree_r512_at50M,calib_table_r512_at50M.pt,csurf_seq_ple_512_at50M.pt,0,ALL,1048320,2.214171,25.82,0.99983,0.994362,3.1089070924799973
trainfree_r512_at50M_fixed,calib_table_r512_at50M.pt,csurf_seq_ple_512_at50M.pt,0,ALL,1048320,1.639911,53.45,0.999754,0.993684,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,ALL,1048320,0.83273,92.3,0.999712,0.998261,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,0,1,2.484513,12.81,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,1-9,2,1.323893,68.66,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,10-99,79,1.434389,63.35,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,100-999,6268,1.123972,78.28,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,1000-9999,113687,1.258027,71.83,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,10000-99999,243363,1.11541,78.7,,,3.1089070924799973
p4_ce_ple_128,ple_table_ce_ple_128.pt,csurf_ce_ple_128_at50M.pt,32,100000+,684920,0.658958,100.66,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,ALL,1048320,0.843163,91.8,0.999796,0.998359,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,0,1,2.400888,16.83,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,1-9,2,1.214399,73.93,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,10-99,79,1.398838,65.06,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,100-999,6268,1.134324,77.79,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,1000-9999,113687,1.274183,71.05,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,10000-99999,243363,1.128199,78.08,,,3.1089070924799973
p4_seq_ple_512,ple_table_seq_ple_512.pt,csurf_seq_ple_512_at100M.pt,0,100000+,684920,0.66761,100.24,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,ALL,1048320,2.844982,-4.54,0.999869,0.996023,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,0,1,6.012263,-156.96,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,1-9,2,1.482137,61.05,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,10-99,79,4.24683,-72.0,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,100-999,6268,4.141479,-66.93,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,1000-9999,113687,3.773463,-49.22,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,10000-99999,243363,3.398561,-31.18,,,3.1089070924799973
calstack_norms_plus_ple_rfull,calib_table_rfull_cal0.pt,csurf_cal0norms.pt,0,100000+,684920,2.482145,12.92,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,ALL,1048320,2.767039,-0.79,0.99985,0.99577,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,0,1,3.391767,-30.85,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,1-9,2,3.52056,-37.05,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,10-99,79,4.306995,-74.89,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,100-999,6268,3.861039,-53.43,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,1000-9999,113687,3.643706,-42.97,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,10000-99999,243363,3.303207,-26.59,,,3.1089070924799973
calstack_norms_plus_ple_r512,calib_table_r512_cal0.pt,csurf_cal0norms.pt,0,100000+,684920,2.420823,15.87,,,3.1089070924799973
A_normcal_then_ple_samescale_rfull,calib_table_rfull_same.pt,csurf_cal0norms.pt,0,ALL,1048320,3.236982,-23.4,0.999863,0.995111,3.1089070924799973
A_normcal_then_ple_samescale_r512,calib_table_r512_same.pt,csurf_cal0norms.pt,0,ALL,1048320,3.087772,-16.22,0.999829,0.994592,3.1089070924799973
