"# Qwen3.5-35B-A3B-Base test-time residency cost, one model load, all cells on identical cached batches. E=256 layers=40, BPB divisor 3.1642666 on the audited slice re-tokenized to byte-identical text. Part A: price vs resident budget. Part B: joint value of free sets (solo damage is known not to predict this). Part C: shared-expert ablation, damage measured with it live and zeroed. free_baseline BPB 0.648087. Producer: analysis/ple/qwen_cost_curve.py"
part,cell,R,resident_routed_pct,shared_expert,bpb,n_seq,secs,damage_vs_free
A,free_baseline,8,3.12,on,0.648087,24,19.8,-0.000000
A,all_constrained_R4,4,1.56,on,0.764537,24,20.9,+0.116450
A,all_constrained_R8,8,3.12,on,0.703758,24,21.0,+0.055671
A,all_constrained_R16,16,6.25,on,0.686977,24,21.3,+0.038890
A,all_constrained_R32,32,12.50,on,0.678965,24,21.6,+0.030878
A,all_constrained_R64,64,25.00,on,0.670946,24,21.7,+0.022859
A,all_constrained_R128,128,50.00,on,0.663396,24,21.9,+0.015309
B,free_none_R8,8,3.12,on,0.703758,24,21.0,+0.055671
B,free_last1_R8,8,3.12,on,0.690505,24,21.0,+0.042418
B,free_last2_R8,8,3.12,on,0.686268,24,20.9,+0.038181
B,free_last4_R8,8,3.12,on,0.680868,24,20.9,+0.032781
B,free_last8_R8,8,3.12,on,0.667990,24,20.8,+0.019903
B,free_first2_R8,8,3.12,on,0.700679,24,20.9,+0.052592
B,free_first2_last2_R8,8,3.12,on,0.683381,24,21.1,+0.035294
B,free_first2_last4_R8,8,3.12,on,0.678109,24,21.2,+0.030022
B,free_none_R32,32,12.50,on,0.678965,24,21.5,+0.030878
B,free_last1_R32,32,12.50,on,0.669966,24,21.3,+0.021879
B,free_last2_R32,32,12.50,on,0.667496,24,21.6,+0.019409
B,free_last4_R32,32,12.50,on,0.664234,24,21.7,+0.016147
B,free_last8_R32,32,12.50,on,0.657170,24,21.6,+0.009083
B,free_first2_R32,32,12.50,on,0.676481,24,21.7,+0.028394
B,free_first2_last2_R32,32,12.50,on,0.665267,24,21.6,+0.017180
B,free_first2_last4_R32,32,12.50,on,0.662306,24,21.5,+0.014219
C,free_shared_on,8,3.12,on,0.648087,24,20.0,-0.000000
C,constrained_shared_on,8,3.12,on,0.703758,24,21.2,+0.055671
C,free_shared_off,8,3.12,zeroed,1.161288,24,19.6,+0.513201
C,constrained_shared_off,8,3.12,zeroed,1.344755,24,21.0,+0.696668
