"# qwen35 (qwen3_5, E=256, 40 layers): downstream cost of imposing rolling residency with NO adaptation. Ten 0-shot tasks, same harness and metric convention as olmoe_adapt_downstream.csv. 'free' is the published model; R8/R32 switch the constraint on at eval time only. BPB on the audited slice is recomputed per arm from the same configuration. Each task subsampled to 0 documents (0 = full); the stderr columns give the resulting precision. Producer: analysis/ple/qwen_downstream.py"
task,metric,free,R8,R32,free_stderr,R8_stderr,R32_stderr,delta_R8_vs_free,delta_R32_vs_free
arc_easy,acc,0.8468,0.8005,0.8152,0.0074,0.0082,0.0080,-0.0463,-0.0316
arc_easy,acc_norm,0.8190,0.7727,0.7900,0.0079,0.0086,0.0084,-0.0463,-0.0290
arc_challenge,acc,0.5913,0.5367,0.5725,0.0144,0.0146,0.0145,-0.0546,-0.0188
arc_challenge,acc_norm,0.6237,0.5623,0.5947,0.0142,0.0145,0.0143,-0.0614,-0.0290
hellaswag,acc,0.6431,0.6095,0.6248,0.0048,0.0049,0.0048,-0.0336,-0.0183
hellaswag,acc_norm,0.8358,0.8049,0.8197,0.0037,0.0040,0.0038,-0.0309,-0.0161
piqa,acc,0.8199,0.7753,0.7987,0.0090,0.0097,0.0094,-0.0446,-0.0212
piqa,acc_norm,0.8264,0.7894,0.8063,0.0088,0.0095,0.0092,-0.0370,-0.0201
winogrande,acc,0.7624,0.6811,0.7072,0.0120,0.0131,0.0128,-0.0813,-0.0552
openbookqa,acc,0.3460,0.3200,0.3100,0.0213,0.0209,0.0207,-0.0260,-0.0360
openbookqa,acc_norm,0.4460,0.4240,0.4080,0.0223,0.0221,0.0220,-0.0220,-0.0380
sciq,acc,0.9630,0.9550,0.9620,0.0060,0.0066,0.0060,-0.0080,-0.0010
sciq,acc_norm,0.9450,0.9410,0.9410,0.0072,0.0075,0.0075,-0.0040,-0.0040
boolq,acc,0.8719,0.8190,0.8416,0.0058,0.0067,0.0064,-0.0529,-0.0303
lambada_openai,acc,0.7469,0.6526,0.7202,0.0061,0.0066,0.0063,-0.0943,-0.0268
copa,acc,0.9100,0.8800,0.9100,0.0288,0.0327,0.0288,-0.0300,+0.0000

bpb_audited_slice,,0.586121,0.637653,0.612829
