"# Free-set damage on 3 disjoint blocks of 32 sequences each, R=8, Qwen3.5-35B-A3B-Base. Damage is measured against a per-block free baseline, so block difficulty cancels. The paired rows are the test that matters: block-to-block difficulty is common to both arms, so the per-block difference is far more sensitive than comparing two means. Producer: analysis/residency/qwen_freeset_precision.py"
free_set,mean_damage,sd_across_blocks,block0,block1,block2
free_none,0.057606,0.001743,0.056554,0.056646,0.059618
free_first2,0.054157,0.001513,0.053273,0.053293,0.055904
free_last2,0.040167,0.001647,0.039105,0.039331,0.042064
free_first2_last2,0.036733,0.001502,0.035774,0.035961,0.038464
free_last4,0.034443,0.001805,0.033404,0.033397,0.036527
free_last8,0.021150,0.001933,0.020108,0.019962,0.023380

paired_comparison,mean_diff,sd_diff,sign_consistent
free_last4 minus free_first2_last2,-0.002290,0.000321,True
free_last2 minus free_first2,-0.013990,0.000166,True
