"# Qwen3.5-35B-A3B-Base test-time residency suite, single model load, all cells replayed over identical cached batches. E=256 k=8 layers=40. BPB divisor 3.1642666 (ln2 x bytes/token) on the audited slice re-tokenized to byte-identical text. solo_Lxx = that layer constrained, all others free. 'damage' is that cell's BPB minus free_baseline (0.625133). resident_with_shared includes Qwen's always-on shared expert. Producer: analysis/residency/qwen_sweep.py"
cell,R,resident_routed_pct,resident_with_shared_pct,bpb,ce_nats,swap_rate,route_entropy,eff_load_med,n_seq,secs,damage_vs_free
free_baseline,8,3.12,3.50,0.625133,1.978087,0.0000,nan,91.64,16,14.2,+0.000000
constrained_all_R8,8,3.12,3.50,0.679937,2.151503,0.9996,0.9970,63.67,16,16.2,+0.054804
constrained_all_R32,32,12.50,12.84,0.655061,2.072787,1.0000,0.9972,73.14,16,16.5,+0.029928
recipe_free_0_1_last2,8,3.12,3.50,0.660238,2.089170,0.9995,0.9967,,16,14.5,+0.035105
solo_L00_R8,8,3.12,3.50,0.625917,1.980567,1.0000,0.8602,,16,13.7,+0.000784
solo_L01_R8,8,3.12,3.50,0.626275,1.981703,1.0000,0.9348,,16,13.8,+0.001142
solo_L02_R8,8,3.12,3.50,0.625904,1.980527,1.0000,0.9730,,16,13.7,+0.000771
solo_L03_R8,8,3.12,3.50,0.625451,1.979095,1.0000,0.9512,,16,13.8,+0.000318
solo_L04_R8,8,3.12,3.50,0.625980,1.980768,1.0000,0.9386,,16,13.5,+0.000847
solo_L05_R8,8,3.12,3.50,0.625741,1.980012,0.9998,0.9467,,16,13.7,+0.000608
solo_L06_R8,8,3.12,3.50,0.625862,1.980396,0.9998,0.9483,,16,13.6,+0.000729
solo_L07_R8,8,3.12,3.50,0.625802,1.980203,0.9998,0.9438,,16,13.4,+0.000669
solo_L08_R8,8,3.12,3.50,0.625283,1.978563,0.9994,0.9251,,16,13.4,+0.000150
solo_L09_R8,8,3.12,3.50,0.625552,1.979412,0.9997,0.9309,,16,13.5,+0.000419
solo_L10_R8,8,3.12,3.50,0.625870,1.980418,0.9997,0.9405,,16,13.2,+0.000737
solo_L11_R8,8,3.12,3.50,0.626168,1.981363,1.0000,0.9389,,16,13.6,+0.001035
solo_L12_R8,8,3.12,3.50,0.625694,1.979864,0.9996,0.9364,,16,13.3,+0.000561
solo_L13_R8,8,3.12,3.50,0.625634,1.979672,0.9995,0.9325,,16,13.2,+0.000501
solo_L14_R8,8,3.12,3.50,0.625573,1.979481,0.9987,0.9415,,16,13.3,+0.000440
solo_L15_R8,8,3.12,3.50,0.625363,1.978816,0.9996,0.9316,,16,13.2,+0.000230
solo_L16_R8,8,3.12,3.50,0.625370,1.978837,0.9997,0.9465,,16,13.2,+0.000237
solo_L17_R8,8,3.12,3.50,0.625649,1.979721,0.9994,0.9393,,16,13.3,+0.000516
solo_L18_R8,8,3.12,3.50,0.625440,1.979058,0.9991,0.9442,,16,13.2,+0.000307
solo_L19_R8,8,3.12,3.50,0.625365,1.978823,0.9990,0.9371,,16,13.2,+0.000232
solo_L20_R8,8,3.12,3.50,0.625279,1.978551,0.9981,0.9228,,16,13.3,+0.000146
solo_L21_R8,8,3.12,3.50,0.625409,1.978962,0.9988,0.9277,,16,13.2,+0.000276
solo_L22_R8,8,3.12,3.50,0.625611,1.979599,0.9999,0.9388,,16,13.2,+0.000478
solo_L23_R8,8,3.12,3.50,0.625813,1.980238,1.0000,0.9321,,16,13.3,+0.000680
solo_L24_R8,8,3.12,3.50,0.625505,1.979264,0.9994,0.9349,,16,13.2,+0.000372
solo_L25_R8,8,3.12,3.50,0.625353,1.978782,0.9996,0.9327,,16,13.2,+0.000220
solo_L26_R8,8,3.12,3.50,0.625167,1.978194,0.9987,0.9422,,16,13.3,+0.000034
solo_L27_R8,8,3.12,3.50,0.625561,1.979440,0.9989,0.9310,,16,13.3,+0.000428
solo_L28_R8,8,3.12,3.50,0.625753,1.980049,0.9994,0.9442,,16,13.3,+0.000620
solo_L29_R8,8,3.12,3.50,0.625815,1.980247,0.9995,0.9349,,16,13.3,+0.000682
solo_L30_R8,8,3.12,3.50,0.625858,1.980380,0.9994,0.9357,,16,13.2,+0.000725
solo_L31_R8,8,3.12,3.50,0.625952,1.980679,0.9987,0.9332,,16,13.2,+0.000819
solo_L32_R8,8,3.12,3.50,0.627595,1.985879,0.9998,0.9098,,16,13.2,+0.002462
solo_L33_R8,8,3.12,3.50,0.628282,1.988053,0.9995,0.8936,,16,13.2,+0.003149
solo_L34_R8,8,3.12,3.50,0.628488,1.988702,0.9998,0.9016,,16,13.1,+0.003355
solo_L35_R8,8,3.12,3.50,0.626365,1.981986,0.9989,0.9099,,16,13.2,+0.001232
solo_L36_R8,8,3.12,3.50,0.626966,1.983887,0.9995,0.9025,,16,13.2,+0.001833
