"# Qwen3.5-35B-A3B-Base test-time residency suite, single model load, all cells replayed over identical cached batches. E=128 k=8 layers=48. BPB divisor 3.1998611 (ln2 x bytes/token) on the audited slice re-tokenized to byte-identical text. solo_Lxx = that layer constrained, all others free. 'damage' is that cell's BPB minus free_baseline (0.615371). resident_with_shared includes Qwen's always-on shared expert. Producer: analysis/ple/qwen_sweep.py"
cell,R,resident_routed_pct,resident_with_shared_pct,bpb,ce_nats,swap_rate,route_entropy,eff_load_med,n_seq,secs,damage_vs_free
free_baseline,8,6.25,6.98,0.615371,1.969103,0.0000,nan,47.03,16,5.6,-0.000000
constrained_all_R8,8,6.25,6.98,0.733527,2.347185,0.9973,0.9933,37.20,16,7.9,+0.118156
constrained_all_R32,32,25.00,25.58,0.640988,2.051074,1.0000,0.9958,42.61,16,8.0,+0.025617
recipe_free_0_1_last2,8,6.25,6.98,0.680555,2.177681,0.9970,0.9931,,16,8.8,+0.065184
solo_L00_R8,8,6.25,6.98,0.617638,1.976354,0.9998,0.8771,,16,24.3,+0.002267
solo_L01_R8,8,6.25,6.98,0.616811,1.973710,0.9999,0.9144,,16,23.1,+0.001440
solo_L02_R8,8,6.25,6.98,0.616930,1.974090,0.9998,0.8963,,16,5.4,+0.001559
solo_L03_R8,8,6.25,6.98,0.616661,1.973230,0.9998,0.8933,,16,5.5,+0.001290
solo_L04_R8,8,6.25,6.98,0.616235,1.971866,0.9997,0.9071,,16,5.4,+0.000864
solo_L05_R8,8,6.25,6.98,0.616452,1.972559,0.9980,0.9108,,16,5.5,+0.001081
solo_L06_R8,8,6.25,6.98,0.615961,1.970990,0.9946,0.9020,,16,5.6,+0.000590
solo_L07_R8,8,6.25,6.98,0.615822,1.970544,0.9936,0.9111,,16,5.4,+0.000451
solo_L08_R8,8,6.25,6.98,0.616519,1.972776,0.9984,0.9264,,16,5.4,+0.001148
solo_L09_R8,8,6.25,6.98,0.616206,1.971773,0.9974,0.9066,,16,5.4,+0.000835
solo_L10_R8,8,6.25,6.98,0.615720,1.970218,0.9985,0.8942,,16,5.4,+0.000349
solo_L11_R8,8,6.25,6.98,0.616048,1.971266,0.9992,0.8982,,16,5.4,+0.000677
solo_L12_R8,8,6.25,6.98,0.615638,1.969957,0.9984,0.8823,,16,5.6,+0.000267
solo_L13_R8,8,6.25,6.98,0.616060,1.971305,0.9995,0.8691,,16,5.4,+0.000689
solo_L14_R8,8,6.25,6.98,0.615915,1.970841,0.9986,0.8870,,16,5.4,+0.000544
solo_L15_R8,8,6.25,6.98,0.615449,1.969352,0.9973,0.8834,,16,5.4,+0.000078
solo_L16_R8,8,6.25,6.98,0.615720,1.970217,0.9985,0.8784,,16,5.4,+0.000349
solo_L17_R8,8,6.25,6.98,0.615679,1.970088,0.9989,0.8742,,16,5.4,+0.000308
solo_L18_R8,8,6.25,6.98,0.615808,1.970501,0.9859,0.8999,,16,5.5,+0.000437
solo_L19_R8,8,6.25,6.98,0.615591,1.969804,0.9843,0.9060,,16,5.4,+0.000220
solo_L20_R8,8,6.25,6.98,0.615849,1.970630,0.9965,0.9169,,16,5.4,+0.000478
solo_L21_R8,8,6.25,6.98,0.615857,1.970657,0.9961,0.8967,,16,5.4,+0.000486
solo_L22_R8,8,6.25,6.98,0.616216,1.971804,0.9984,0.8997,,16,10.0,+0.000845
solo_L23_R8,8,6.25,6.98,0.616189,1.971718,0.9984,0.8968,,16,23.9,+0.000818
solo_L24_R8,8,6.25,6.98,0.616130,1.971531,0.9978,0.8825,,16,20.3,+0.000759
solo_L25_R8,8,6.25,6.98,0.616607,1.973058,0.9988,0.8728,,16,5.4,+0.001236
solo_L26_R8,8,6.25,6.98,0.616385,1.972347,0.9978,0.8853,,16,5.4,+0.001014
solo_L27_R8,8,6.25,6.98,0.616341,1.972206,0.9958,0.8860,,16,5.4,+0.000970
solo_L28_R8,8,6.25,6.98,0.616422,1.972465,0.9980,0.8807,,16,5.4,+0.001051
solo_L29_R8,8,6.25,6.98,0.616245,1.971899,0.9985,0.8702,,16,5.4,+0.000874
solo_L30_R8,8,6.25,6.98,0.615938,1.970917,0.9856,0.9054,,16,5.4,+0.000567
solo_L31_R8,8,6.25,6.98,0.615789,1.970439,0.9791,0.9075,,16,5.4,+0.000418
